uic,gare,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,vitesse_gc_rapide_kmh,remarque,stop_lat,stop_lon
87295006,Maubeuge,13,3,4,3,71.0,70.0,05:12,21:14,16.0,Flandres,K60,12,4,20:35,0,65.0,,50.272952,3.966765
87313072,Albert,13,4,3,3,57.0,56.0,06:09,20:10,14.0,Flandres,"K44, K45",14,4,19:53,0,82.0,,50.005395,2.644481
87295048,Fourmies,12,4,3,3,95.0,73.0,05:20,20:20,15.0,Flandres,K61,11,3,20:05,0,81.0,,50.015392,4.053593
88857040,Mouscron,12,3,3,4,21.0,21.0,06:30,21:30,15.0,Flandres,K80,11,3,22:09,3,45.0,,50.738,3.225
88960080,Courtrai,12,3,3,3,37.0,37.0,06:14,21:14,15.0,Flandres,K80,11,3,22:09,0,40.0,,50.824,3.26
87295063,Hirson,12,4,3,3,107.0,82.0,05:08,20:07,15.0,Flandres,K61,11,3,20:05,0,79.0,,49.914558,4.084285
87295733,Avesnes-sur-Helpe,12,3,3,3,82.0,62.0,05:33,20:33,15.0,Flandres,K61,11,3,20:05,0,81.0,,50.126755,3.932902
87343210,Le Poirier Université,11,3,2,2,42.0,41.0,06:13,21:14,15.0,Flandres,K61,11,3,20:05,0,67.0,,50.330077,3.502635
87295709,Sains-du-Nord,11,3,2,3,88.0,88.0,05:27,20:27,15.0,Flandres,K61,10,2,20:05,0,61.0,,50.088914,4.001668
87345520,Cambrai,11,3,3,3,60.0,59.0,05:38,20:38,15.0,Flandres,K40,11,3,20:23,0,53.0,,50.176582,3.241197
87345561,Caudry,11,3,3,3,82.0,81.0,05:16,20:16,15.0,Flandres,K40,11,3,20:23,0,47.0,,50.111473,3.40971
87345314,Somain,11,4,3,2,37.0,36.0,06:01,20:59,15.0,Flandres,K40,11,3,20:23,0,58.0,,50.355699,3.277319
87345306,Montigny-en-Ostrevent,11,4,3,2,31.0,29.0,06:08,21:05,15.0,Flandres,K40,11,3,20:23,0,66.0,,50.36151,3.188369
87342402,Beuvry lès Béthune,11,3,3,4,50.0,50.0,05:54,19:54,14.0,Flandres,C50,12,3,20:16,0,35.0,,50.535523,2.692329
87342410,Cuinchy,11,3,3,4,45.0,45.0,05:59,19:59,14.0,Flandres,C50,12,3,20:16,0,35.0,,50.521851,2.74743
