code_insee,commune,dep,PMUN,dans_MEL,dpe_n,part_passoires_pct,part_dpe_g_pct,part_dpe_abc_pct,dpe_cout_moyen_eur,dpe_conso_ep_m2,dpe_ges_m2,dpe_echantillon_faible
59064,Bellaing,59,1329,False,309,12.6,2.6,31.4,1489.0,198.0,34.6,False
59071,Bersée,59,2296,False,237,11.8,4.6,24.9,2252.0,226.0,24.2,False
59079,Beuvrages,59,6784,False,1688,4.9,1.1,39.3,1606.0,193.0,33.1,False
59080,Beuvry-la-Forêt,59,2834,False,269,16.4,8.6,42.0,2013.0,217.0,26.1,False
59082,Bierne,59,1772,False,173,9.2,5.2,40.5,1927.0,197.0,25.8,False
59084,Blaringhem,59,2043,False,325,8.9,4.9,58.5,1563.0,166.0,17.6,False
59086,Boeschepe,59,2179,False,196,18.4,7.1,28.6,2312.0,235.0,29.9,False
59088,Bois-Grenier,59,1793,True,174,7.5,2.9,52.9,1925.0,182.0,22.5,False
59089,Bollezeele,59,1423,False,153,11.8,3.9,24.8,2186.0,228.0,29.0,False
59090,Bondues,59,9713,True,1566,4.9,1.4,37.7,2131.0,189.0,25.7,False
59094,Bourbourg,59,7023,False,1284,9.4,3.0,35.1,1696.0,209.0,28.8,False
59096,Bourghelles,59,1673,False,162,11.1,7.4,32.7,2249.0,216.0,31.7,False
59098,Bousbecque,59,4847,True,711,8.9,1.3,43.2,1848.0,186.0,29.3,False
59105,Bouvignies,59,1548,False,118,18.6,5.9,30.5,2384.0,237.0,26.7,False
59112,Bruay-sur-l'Escaut,59,11309,False,2668,9.9,2.1,26.8,1732.0,212.0,38.0,False
59114,Bruille-Saint-Amand,59,1682,False,159,12.6,6.9,34.6,1992.0,220.0,25.4,False
59113,Bruille-lez-Marchiennes,59,1350,False,139,20.9,14.4,28.1,2170.0,245.0,33.1,False
59117,Bugnicourt,59,1074,False,118,19.5,3.4,43.2,1845.0,218.0,32.3,False
59122,Cambrai,59,31425,False,10143,14.2,4.2,26.3,1966.0,232.0,32.2,False
59123,Camphin-en-Carembault,59,1714,False,190,16.3,5.3,31.6,2141.0,222.0,27.1,False
59124,Camphin-en-Pévèle,59,2501,False,264,4.5,2.7,39.0,1818.0,189.0,26.0,False
59126,Cantin,59,1770,False,287,9.4,3.5,55.1,1656.0,178.0,28.8,False
59128,Capinghem,59,2474,True,598,4.2,1.7,76.1,1133.0,138.0,19.5,False
59129,Cappelle-en-Pévèle,59,2262,False,248,4.4,1.6,49.2,1816.0,179.0,21.6,False
59133,Carnin,59,1076,True,105,6.7,1.9,35.2,1722.0,194.0,24.6,False
59135,Cassel,59,2227,False,434,11.1,5.1,26.7,2300.0,222.0,27.7,False
59120,Caëstre,59,2006,False,167,7.2,1.8,37.7,2066.0,204.0,22.3,False
59146,Chéreng,59,3001,True,399,8.0,3.5,45.6,1721.0,188.0,25.0,False
59152,Comines,59,12671,True,2392,8.7,1.9,32.9,1880.0,209.0,34.1,False
59153,Condé-sur-l'Escaut,59,9396,False,2818,12.9,4.1,33.2,1624.0,212.0,37.9,False
59155,Coudekerque-Branche,59,20765,False,4174,6.7,1.7,33.8,1776.0,196.0,33.6,False
59156,Courchelettes,59,2881,False,400,7.8,3.0,49.0,1621.0,196.0,36.2,False
59158,Coutiches,59,3246,False,355,7.3,3.4,49.9,1672.0,184.0,19.9,False
59163,Croix,59,20778,True,6003,6.1,1.6,35.9,2278.0,210.0,32.1,False
59165,Cuincy,59,6472,False,1382,7.6,2.0,38.9,1967.0,195.0,32.1,False
59166,Curgies,59,1347,False,131,11.5,5.3,30.5,2284.0,222.0,34.9,False
59168,Cysoing,59,4722,False,809,11.0,3.7,40.2,1764.0,204.0,28.2,False
59170,Dechy,59,5351,False,1246,7.1,2.4,45.5,1455.0,179.0,31.4,False
59172,Denain,59,20640,False,5396,9.5,2.7,34.3,1623.0,208.0,31.4,False
59173,Deûlémont,59,1819,True,198,2.5,0.5,52.0,1718.0,173.0,21.4,False
59670,Don,59,1412,True,207,7.2,1.4,46.4,2036.0,183.0,23.9,False
59178,Douai,59,39648,False,15464,8.8,2.8,36.5,1967.0,207.0,29.6,False
59179,Douchy-les-Mines,59,10207,False,2679,8.3,1.3,29.2,2104.0,216.0,20.5,False
59183,Dunkerque,59,86788,False,22198,8.4,2.3,26.7,1942.0,218.0,34.1,False
59189,Eecke,59,1221,False,118,8.5,5.9,48.3,1918.0,197.0,19.4,False
59193,Emmerin,59,3053,True,353,17.0,7.9,33.4,2023.0,226.0,29.5,False
59196,Ennetières-en-Weppes,59,1293,True,141,10.6,4.3,43.3,2259.0,194.0,25.2,False
59197,Ennevelin,59,2356,False,265,11.3,6.0,40.0,2048.0,201.0,27.0,False
59202,Erquinghem-Lys,59,5356,True,873,7.4,2.1,57.6,1552.0,175.0,26.3,False
59203,Erre,59,1574,False,169,13.0,6.5,31.4,1967.0,218.0,30.2,False
59205,Escaudain,59,9253,False,2401,12.8,3.4,30.3,1613.0,213.0,38.1,False
59207,Escautpont,59,4152,False,1316,7.1,2.4,45.4,1480.0,182.0,35.1,False
59210,Esquelbecq,59,2134,False,202,13.9,6.9,32.2,2061.0,222.0,26.9,False
59212,Estaires,59,6496,False,879,12.2,3.8,34.4,1929.0,215.0,28.3,False
59214,Estrées,59,1116,False,93,12.9,7.5,29.0,2231.0,219.0,26.7,False
59220,Faches-Thumesnil,59,18110,True,3114,8.4,2.2,37.2,1790.0,204.0,29.9,False
59221,Famars,59,2475,False,672,10.0,3.3,38.8,1542.0,211.0,25.1,False
59222,Faumont,59,2251,False,296,12.5,5.4,33.1,2061.0,230.0,22.6,False
59227,Fenain,59,5529,False,1109,15.7,5.0,39.9,1676.0,212.0,38.0,False
59234,Flers-en-Escrebieux,59,5642,False,1172,8.8,2.6,35.3,1617.0,199.0,35.5,False
59239,Flines-lez-Raches,59,5610,False,727,12.4,3.7,29.8,2235.0,219.0,26.6,False
59238,Flines-lès-Mortagne,59,1649,False,124,19.4,6.5,27.4,2192.0,238.0,31.9,False
59244,Fontaine-Notre-Dame,59,1763,False,195,19.0,7.7,17.9,2188.0,245.0,34.5,False
59247,Forest-sur-Marque,59,1659,True,252,3.6,1.2,32.9,1625.0,193.0,28.5,False
59250,Fournes-en-Weppes,59,2190,True,280,10.0,4.3,28.9,2051.0,206.0,30.0,False
59252,Frelinghien,59,2581,True,477,5.9,0.8,48.2,1834.0,185.0,22.9,False
59253,Fresnes-sur-Escaut,59,7486,False,1443,10.9,2.9,26.4,1793.0,215.0,37.4,False
59256,Fretin,59,3227,True,468,9.4,3.0,23.5,1902.0,218.0,27.7,False
59257,Fromelles,59,1076,True,97,11.3,2.1,48.5,2061.0,189.0,24.3,False
59224,Féchain,59,1658,False,243,17.7,8.6,27.2,2024.0,231.0,31.9,False
59228,Férin,59,1447,False,133,6.8,3.0,36.8,1718.0,203.0,26.9,False
59258,Genech,59,2825,False,355,5.9,2.5,42.0,1768.0,203.0,22.9,False
59260,Ghyvelde,59,4119,False,391,11.5,3.6,31.7,2060.0,214.0,27.9,False
59262,Godewaersvelde,59,2053,False,213,14.6,7.0,38.0,1992.0,210.0,27.3,False
59265,Gommegnies,59,2300,False,200,23.0,6.0,19.5,2222.0,244.0,37.1,False
59266,Gondecourt,59,4050,False,482,8.3,3.1,40.9,1762.0,203.0,26.1,False
59271,Grande-Synthe,59,20331,False,4307,4.0,1.2,40.0,2194.0,182.0,33.0,False
59275,Gruson,59,1237,True,171,5.8,1.8,49.1,1972.0,178.0,26.1,False
59276,Guesnain,59,4656,False,1305,11.2,1.7,27.7,1520.0,210.0,36.7,False
59263,Gœulzin,59,1042,False,126,13.5,5.6,39.7,2382.0,215.0,32.0,False
59278,Hallennes-lez-Haubourdin,59,4718,True,610,6.9,2.5,55.2,1658.0,172.0,22.8,False
59279,Halluin,59,20829,True,3871,6.4,2.0,41.8,1797.0,198.0,25.9,False
59281,Hantay,59,1259,True,134,11.2,5.2,43.3,1912.0,205.0,28.8,False
59284,Hasnon,59,3874,False,486,9.7,4.1,37.4,1891.0,205.0,26.8,False
59286,Haubourdin,59,14757,True,2765,8.4,2.2,39.5,1584.0,199.0,28.3,False
59292,Haveluy,59,3250,False,955,9.6,3.4,26.1,1455.0,219.0,42.6,False
59293,Haverskerque,59,1401,False,117,19.7,10.3,23.1,2364.0,248.0,29.4,False
59295,Hazebrouck,59,21498,False,4146,11.6,3.4,35.1,1845.0,212.0,30.2,False
59299,Hem,59,18713,True,3727,5.8,0.9,35.5,1764.0,201.0,36.5,False
59301,Hergnies,59,4463,False,438,11.6,5.0,44.7,1929.0,198.0,28.5,False
59303,Herlies,59,2323,True,261,8.8,3.1,31.4,1895.0,201.0,29.7,False
59305,Herzeele,59,1634,False,165,9.7,6.1,44.8,1925.0,203.0,23.5,False
59309,Hondschoote,59,4026,False,604,7.8,3.1,39.1,1818.0,191.0,28.2,False
59314,Hornaing,59,3535,False,768,10.8,3.0,30.6,1628.0,206.0,38.3,False
59316,Houplin-Ancoisne,59,3275,True,556,10.6,4.7,47.5,1745.0,197.0,27.0,False
59317,Houplines,59,7897,True,1170,7.7,2.3,31.4,1783.0,207.0,31.4,False
59297,Hélesmes,59,1921,False,143,15.4,7.0,23.8,2149.0,239.0,31.0,False
59302,Hérin,59,4129,False,864,5.9,1.6,36.5,1596.0,190.0,32.6,False
59320,Illies,59,1664,True,207,10.1,2.4,36.2,1835.0,208.0,26.5,False
59051,La Bassée,59,6622,True,1968,9.1,2.5,34.6,2089.0,205.0,32.6,False
59143,La Chapelle-d'Armentières,59,8719,True,1272,8.8,2.8,36.2,2041.0,209.0,27.1,False
59268,La Gorgue,59,5599,False,937,7.8,2.0,33.5,1771.0,202.0,25.6,False
59368,La Madeleine,59,22488,True,8401,6.7,1.8,38.5,1943.0,197.0,30.5,False
59564,La Sentinelle,59,3143,False,910,8.7,1.3,23.7,1587.0,217.0,31.4,False
59327,Lallaing,59,6250,False,1981,8.0,2.6,41.6,1414.0,187.0,32.0,False
59328,Lambersart,59,27121,True,6441,7.3,1.5,32.4,2046.0,215.0,30.3,False
59329,Lambres-lez-Douai,59,4926,False,1065,9.0,3.0,35.9,1764.0,204.0,31.7,False
59330,Landas,59,2447,False,229,15.3,7.4,32.3,2158.0,227.0,25.0,False
59332,Lannoy,59,1800,True,616,3.1,1.0,44.2,2005.0,173.0,26.7,False
59334,Lauwin-Planque,59,1582,False,203,10.8,0.5,25.1,1813.0,205.0,31.1,False
59180,Le Doulieu,59,1454,False,105,13.3,5.7,44.8,2020.0,201.0,20.3,False
59335,Lecelles,59,3004,False,232,15.9,6.9,33.2,2317.0,222.0,29.4,False
59339,Leers,59,9588,True,1278,4.5,0.9,45.4,1651.0,186.0,28.3,False
59340,Leffrinckoucke,59,4124,False,610,8.7,0.5,38.0,1602.0,197.0,33.7,False
59343,Lesquin,59,9241,True,1959,3.5,1.0,61.0,1454.0,160.0,24.6,False
59345,Lewarde,59,2403,False,377,9.0,2.4,34.2,1744.0,203.0,26.5,False
59346,Lezennes,59,3019,True,581,6.7,1.9,28.4,1577.0,214.0,30.3,False
59348,Lieu-Saint-Amand,59,1461,False,189,11.1,6.3,44.4,1573.0,194.0,27.7,False
59350,Lille,59,236710,True,88606,8.9,2.9,37.7,1650.0,220.0,23.9,False
59352,Linselles,59,8192,True,1532,9.3,3.5,36.9,1974.0,196.0,31.7,False
59356,Lompret,59,2182,True,207,10.1,2.9,23.7,2305.0,220.0,27.9,False
59360,Loos,59,23013,True,6684,6.0,1.8,48.4,1493.0,191.0,28.6,False
59361,Lourches,59,3814,False,991,6.2,1.3,25.5,1573.0,211.0,34.3,False
59367,Lys-lez-Lannoy,59,13793,True,3029,3.4,0.6,38.9,1719.0,189.0,28.7,False
59369,Maing,59,4004,False,607,15.2,5.9,30.8,1800.0,236.0,31.4,False
59375,Marchiennes,59,4539,False,680,10.0,3.8,26.2,1904.0,214.0,28.3,False
59378,Marcq-en-Barœul,59,39356,True,10376,5.9,1.4,40.8,1977.0,191.0,29.8,False
59382,Maretz,59,1417,False,183,24.0,10.4,19.7,2479.0,263.0,34.6,False
59383,Marly,59,12024,False,2810,6.8,1.8,30.9,1956.0,208.0,36.9,False
59387,Marquette-en-Ostrevant,59,1931,False,249,17.7,7.2,27.7,2028.0,233.0,35.5,False
59386,Marquette-lez-Lille,59,11213,True,2368,4.3,1.1,47.3,1706.0,182.0,30.8,False
59388,Marquillies,59,1982,True,314,8.0,2.2,42.0,1422.0,199.0,30.6,False
59390,Masny,59,4056,False,1138,10.0,1.9,39.4,1421.0,195.0,35.2,False
59392,Maubeuge,59,29066,False,7692,9.2,2.7,36.8,2086.0,210.0,32.3,False
59399,Merris,59,1049,False,102,8.8,2.0,37.3,2265.0,197.0,20.9,False
59400,Merville,59,9652,False,1448,9.9,3.9,30.4,1830.0,217.0,27.6,False
59408,Moncheaux,59,1703,False,182,17.6,7.7,38.5,2178.0,213.0,33.1,False
59409,Monchecourt,59,2501,False,343,14.9,5.2,18.4,2076.0,243.0,29.1,False
59410,Mons-en-Barœul,59,21467,True,5944,6.4,1.1,48.4,1665.0,181.0,25.9,False
59411,Mons-en-Pévèle,59,2089,False,218,15.6,8.3,31.7,2323.0,224.0,29.7,False
59414,Montigny-en-Ostrevent,59,4681,False,1232,8.4,3.1,18.3,1599.0,229.0,39.4,False
59416,Morbecque,59,2509,False,298,18.5,6.4,26.2,2428.0,230.0,31.7,False
59418,Mortagne-du-Nord,59,1584,False,310,11.3,3.2,19.7,1842.0,226.0,37.3,False
59419,Mouchin,59,1441,False,177,13.0,5.6,36.7,1936.0,210.0,21.4,False
59421,Mouvaux,59,13173,True,2509,5.0,1.2,47.6,1877.0,180.0,27.0,False
59398,Mérignies,59,3360,False,417,5.5,2.9,61.6,1852.0,166.0,20.5,False
59401,Méteren,59,2256,False,216,10.6,3.7,30.6,2051.0,217.0,27.2,False
59423,Neuf-Berquin,59,1403,False,126,14.3,7.9,47.6,1966.0,197.0,27.7,False
59426,Neuville-en-Ferrain,59,10160,True,1542,12.1,2.3,40.3,1971.0,200.0,32.1,False
59431,Nieppe,59,7606,False,1120,12.1,2.9,29.6,1955.0,219.0,35.2,False
59434,Nivelle,59,1379,False,122,13.9,8.2,54.1,2159.0,199.0,27.6,False
59435,Nomain,59,2585,False,334,12.0,3.9,38.0,2091.0,211.0,24.1,False
59447,Onnaing,59,8719,False,2689,11.2,3.9,39.1,1512.0,208.0,37.2,False
59449,Orchies,59,8455,False,2123,7.6,2.3,46.1,1596.0,186.0,25.2,False
59452,Ostricourt,59,5829,False,1368,8.8,3.4,28.9,1636.0,201.0,35.3,False
59456,Pecquencourt,59,6232,False,1881,5.2,1.8,44.1,1330.0,175.0,32.4,False
59459,Petite-Forêt,59,5058,False,916,4.5,1.5,45.2,1709.0,177.0,30.5,False
59462,Phalempin,59,4849,False,627,8.5,2.2,32.9,2046.0,207.0,28.2,False
59466,Pont-à-Marcq,59,2883,False,678,5.5,1.9,40.9,1901.0,178.0,29.7,False
59475,Prouvy,59,2173,False,330,10.3,5.2,35.5,1946.0,208.0,32.2,False
59477,Provin,59,4469,True,655,8.2,3.2,51.3,1735.0,186.0,27.6,False
59470,Prémesques,59,2060,True,190,8.4,4.2,35.3,2003.0,207.0,21.8,False
59471,Préseau,59,2065,False,221,17.2,4.5,34.8,1899.0,220.0,35.8,False
59457,Pérenchies,59,8519,True,1546,6.1,1.6,37.1,1631.0,205.0,29.4,False
59458,Péronne-en-Mélantois,59,1004,True,122,8.2,4.9,48.4,1638.0,191.0,22.1,False
59479,Quarouble,59,3131,False,432,17.6,8.8,34.3,1864.0,230.0,35.9,False
59482,Quesnoy-sur-Deûle,59,6920,True,1016,8.2,2.4,33.1,1832.0,200.0,30.2,False
59485,Quiévy,59,1801,False,230,23.5,9.6,18.7,2311.0,255.0,33.9,False
59487,Radinghem-en-Weppes,59,1393,True,136,10.3,2.2,47.1,2181.0,183.0,25.4,False
59489,Raimbeaucourt,59,4015,False,595,17.0,6.6,21.7,1973.0,234.0,37.3,False
59491,Raismes,59,12055,False,3688,9.8,2.6,38.5,1671.0,202.0,34.7,False
59497,Renescure,59,2128,False,251,20.3,9.6,21.9,2353.0,247.0,29.1,False
59499,Rexpoëde,59,1992,False,243,7.0,3.3,45.3,1864.0,186.0,21.5,False
59501,Rieulay,59,1243,False,191,11.5,3.7,21.5,1953.0,223.0,29.5,False
59502,Rieux-en-Cambrésis,59,1438,False,197,20.8,9.1,23.4,2222.0,240.0,36.2,False
59507,Ronchin,59,19437,True,4878,15.1,1.3,31.6,2057.0,217.0,38.1,False
59508,Roncq,59,13784,True,2358,3.9,1.6,46.4,1747.0,183.0,25.7,False
59509,Roost-Warendin,59,5976,False,1440,7.4,2.4,34.0,1560.0,200.0,33.9,False
59511,Rosult,59,1973,False,151,15.9,5.3,39.1,2202.0,216.0,27.9,False
59512,Roubaix,59,98892,True,25107,7.1,2.2,46.2,1704.0,200.0,25.3,False
59519,Rumegies,59,1740,False,159,13.8,8.2,27.7,2223.0,227.0,30.9,False
59486,Râches,59,2660,False,384,9.1,3.6,27.6,1789.0,213.0,30.3,False
59504,Rœulx,59,3779,False,618,9.9,3.9,38.3,1747.0,207.0,32.4,False
59522,Sailly-lez-Lannoy,59,1949,True,268,4.1,1.1,43.7,1776.0,181.0,27.9,False
59523,Sainghin-en-Mélantois,59,2848,True,415,7.0,2.7,35.2,1919.0,198.0,28.4,False
59524,Sainghin-en-Weppes,59,5641,True,893,10.9,3.5,30.1,1766.0,212.0,31.4,False
59526,Saint-Amand-les-Eaux,59,15980,False,3810,9.6,2.8,35.8,1799.0,206.0,30.2,False
59527,Saint-André-lez-Lille,59,12942,True,3379,5.4,1.1,49.2,1774.0,186.0,27.4,False
59535,Saint-Jans-Cappel,59,1642,False,115,9.6,5.2,35.7,1967.0,210.0,27.6,False
59544,Saint-Saulve,59,11117,False,2894,6.0,1.5,25.7,2462.0,203.0,34.9,False
59546,Saint-Sylvestre-Cappel,59,1154,False,94,16.0,3.2,35.1,2229.0,223.0,25.4,False
59550,Salomé,59,3051,True,447,14.3,5.8,28.6,1899.0,233.0,33.3,False
59551,Saméon,59,1738,False,154,15.6,6.5,44.2,2194.0,214.0,29.7,False
59553,Santes,59,5660,True,632,10.9,4.7,38.8,1934.0,205.0,30.3,False
59557,Saultain,59,2553,False,420,5.0,1.0,42.4,1596.0,184.0,26.2,False
59559,Sebourg,59,1977,False,199,17.6,7.0,30.7,2502.0,227.0,33.1,False
59560,Seclin,59,12834,True,2880,5.5,1.1,43.2,1786.0,190.0,26.5,False
59566,Sequedin,59,4762,True,427,8.9,1.2,33.3,1692.0,207.0,29.3,False
59569,Sin-le-Noble,59,15603,False,3623,8.9,2.4,35.5,1695.0,204.0,31.7,False
59574,Somain,59,11790,False,3151,10.1,3.0,28.0,1710.0,215.0,35.6,False
59578,Steenbecque,59,1650,False,227,10.1,4.0,34.4,1836.0,210.0,22.5,False
59580,Steenvoorde,59,4324,False,562,13.3,5.9,27.6,2047.0,227.0,26.1,False
59581,Steenwerck,59,3540,False,502,11.2,4.6,40.4,1811.0,203.0,23.5,False
59585,Templemars,59,3635,True,621,10.8,2.7,45.1,1836.0,197.0,28.6,False
59586,Templeuve-en-Pévèle,59,6705,False,1153,7.7,2.9,49.4,1652.0,181.0,23.5,False
59592,Thumeries,59,4029,False,540,16.5,6.3,39.8,1804.0,210.0,31.6,False
59594,Thun-Saint-Amand,59,1110,False,94,13.8,7.4,35.1,2051.0,220.0,28.9,False
59598,Toufflers,59,3910,True,558,4.5,1.1,48.4,1574.0,184.0,32.0,False
59599,Tourcoing,59,99011,True,20602,6.7,1.9,43.2,1877.0,195.0,30.4,False
59602,Tressin,59,1395,True,188,8.5,5.9,34.6,1810.0,198.0,31.1,False
59603,Trith-Saint-Léger,59,6124,False,1333,8.9,1.5,33.9,1576.0,214.0,31.0,False
59588,Téteghem-Coudekerque-Village,59,8384,False,884,4.5,0.7,55.5,1781.0,162.0,23.3,False
59606,Valenciennes,59,42991,False,17275,8.9,2.9,42.8,1724.0,211.0,26.4,False
59609,Vendeville,59,1546,True,154,11.0,4.5,35.1,2415.0,214.0,25.4,False
59610,Verchain-Maugré,59,1102,False,89,16.9,3.4,38.2,2302.0,225.0,31.9,False
59611,Verlinghem,59,2673,True,284,7.7,2.1,41.2,2143.0,194.0,26.5,False
59615,Vieux-Berquin,59,2649,False,274,14.6,4.7,43.8,2094.0,209.0,26.3,False
59616,Vieux-Condé,59,10446,False,2803,16.1,3.0,27.6,1718.0,223.0,39.8,False
59009,Villeneuve-d'Ascq,59,62067,True,16504,4.7,1.1,46.7,1930.0,181.0,30.0,False
59622,Villers-en-Cauchies,59,1161,False,120,22.5,7.5,27.5,2182.0,242.0,33.8,False
59629,Vred,59,1311,False,139,13.7,5.0,28.1,2152.0,229.0,27.7,False
59630,Wahagnies,59,2605,False,376,10.6,3.5,32.2,1966.0,211.0,32.2,False
59632,Wallers,59,5598,False,1266,9.7,3.1,31.5,1591.0,206.0,37.1,False
59636,Wambrechies,59,10798,True,2478,6.2,2.3,54.6,1668.0,174.0,26.2,False
59637,Wandignies-Hamage,59,1318,False,102,18.6,5.9,30.4,2244.0,229.0,26.1,False
59638,Wannehain,59,1331,False,102,3.9,3.9,42.2,2046.0,185.0,23.6,False
59639,Wargnies-le-Grand,59,1101,False,133,14.3,6.8,30.8,2085.0,220.0,29.5,False
59641,Warhem,59,2022,False,161,9.3,5.6,37.3,2162.0,215.0,22.1,False
59646,Wasquehal,59,20836,True,4515,4.7,1.5,39.7,1910.0,187.0,30.4,False
59647,Watten,59,2577,False,310,18.1,6.5,20.0,1897.0,235.0,31.5,False
59648,Wattignies,59,15531,True,3048,5.2,1.2,48.6,2384.0,186.0,27.0,False
59650,Wattrelos,59,40836,True,11424,6.7,1.3,25.9,1822.0,210.0,36.6,False
59651,Wavrechain-sous-Denain,59,1616,False,380,9.7,3.2,33.2,1635.0,219.0,34.7,False
59653,Wavrin,59,7773,True,1118,8.3,2.1,37.7,1749.0,205.0,29.3,False
59654,Waziers,59,7354,False,1741,9.6,3.2,34.6,1545.0,204.0,36.1,False
59656,Wervicq-Sud,59,5299,True,1065,6.0,3.1,35.6,2177.0,202.0,32.5,False
59660,Willems,59,2996,True,557,5.7,1.8,43.3,1688.0,179.0,30.0,False
59662,Winnezeele,59,1300,False,107,22.4,12.1,27.1,2312.0,234.0,29.6,False
59663,Wormhout,59,5705,False,685,7.7,2.0,36.8,1924.0,206.0,22.8,False
59185,Écaillon,59,1910,False,731,15.5,1.9,15.6,1713.0,246.0,39.7,False
62004,Achicourt,62,7938,False,2304,7.4,2.7,32.3,1988.0,203.0,29.7,False
62013,Agny,62,1879,False,236,14.8,6.4,15.7,2135.0,226.0,39.2,False
62014,Aire-sur-la-Lys,62,9585,False,1746,13.7,4.1,26.7,2178.0,226.0,30.1,False
62019,Aix-Noulette,62,3913,False,741,7.4,2.6,33.2,1876.0,200.0,32.3,False
62032,Angres,62,4842,False,1155,17.2,4.1,39.3,1660.0,208.0,39.3,False
62033,Annay,62,4517,False,674,10.5,4.2,37.8,1713.0,201.0,29.7,False
62034,Annequin,62,2145,False,524,4.2,0.8,22.7,1714.0,219.0,31.9,False
62035,Annezin,62,5813,False,929,14.0,4.7,26.2,1883.0,229.0,32.4,False
62037,Anzin-Saint-Aubin,62,2806,False,416,7.2,3.1,45.9,1923.0,184.0,31.5,False
62040,Arques,62,9655,False,1358,15.0,6.7,27.5,2016.0,227.0,34.3,False
62041,Arras,62,42600,False,18062,12.0,2.1,27.0,2128.0,224.0,31.4,False
62042,Athies,62,1059,False,92,16.3,7.6,28.3,2191.0,227.0,38.4,False
62048,Auchel,62,10062,False,2571,14.0,4.0,25.6,1892.0,226.0,38.6,False
62051,Auchy-les-Mines,62,4623,False,961,8.9,3.6,24.7,1726.0,221.0,37.7,False
62065,Avion,62,17672,False,5503,17.4,4.7,24.1,1895.0,229.0,43.0,False
62073,Bailleul-Sir-Berthoult,62,1430,False,152,12.5,4.6,43.4,1949.0,197.0,30.3,False
62083,Barlin,62,7366,False,2663,7.8,1.5,29.9,1542.0,211.0,40.3,False
62099,Beaurains,62,5515,False,1194,7.1,1.3,38.3,1748.0,196.0,34.2,False
62471,Bellinghem,62,1087,False,98,9.2,7.1,34.7,2032.0,210.0,23.8,False
62126,Beuvry,62,9111,False,1594,8.5,3.3,37.6,1878.0,207.0,26.7,False
62128,Biache-Saint-Vaast,62,4481,False,520,16.2,8.1,31.2,1926.0,224.0,32.8,False
62132,Billy-Berclau,62,5059,False,642,12.5,3.7,50.0,1679.0,191.0,26.2,False
62133,Billy-Montigny,62,8117,False,2551,13.1,3.4,36.9,2120.0,208.0,35.1,False
62160,Boulogne-sur-Mer,62,40910,False,15156,9.9,3.0,37.5,1829.0,215.0,27.1,False
62164,Bourlon,62,1140,False,145,24.1,12.4,22.1,2709.0,260.0,37.2,False
62170,Bouvigny-Boyeffles,62,2371,False,282,13.5,6.0,25.5,1920.0,225.0,35.8,False
62173,Brebières,62,5169,False,955,7.5,1.9,34.6,1717.0,197.0,28.7,False
