code_insee,commune,dep,PMUN,dans_MEL,acces_supermarche_moy_min,acces_supermarche_min_min,acces_epicerie_moy_min,acces_epicerie_min_min,acces_boulangerie_moy_min,acces_boulangerie_min_min,acces_boucherie_moy_min,acces_boucherie_min_min,acces_poste_moy_min,acces_poste_min_min,acces_decheterie_moy_min,acces_decheterie_min_min,commerces_essentiels_sur_place,n_resto,resto_pour_1000hab
59024,Auberchicourt,59,4626,False,2.2,1.0,2.5,1.1,1.6,1.0,2.4,1.0,1.8,1.0,5.2,3.6,5,5,1.08
59025,Aubers,59,1722,True,6.4,4.1,1.8,1.0,2.0,1.0,1.7,1.0,1.8,1.0,6.0,2.7,5,2,1.16
59026,Aubigny-au-Bac,59,1159,False,2.3,1.0,5.2,3.7,1.4,1.0,14.8,11.7,1.4,1.0,8.7,6.7,4,4,3.45
59027,Aubry-du-Hainaut,59,1726,False,3.2,1.4,2.2,1.0,1.4,1.0,4.2,2.2,2.8,1.0,7.0,5.2,1,4,2.32
59028,Auby,59,7188,False,4.2,1.0,1.9,1.0,1.7,1.0,1.7,1.0,2.2,1.0,7.6,3.2,7,5,0.7
59029,Auchy-lez-Orchies,59,1486,False,6.4,4.2,4.3,2.3,2.2,1.0,5.0,3.0,5.3,3.4,6.8,4.4,1,3,2.02
59032,Aulnoy-lez-Valenciennes,59,7183,False,2.0,1.0,1.8,1.0,1.8,1.0,1.8,1.0,2.3,1.0,6.2,4.2,7,10,1.39
59034,Avelin,59,2600,False,3.3,1.0,2.5,1.0,2.4,1.0,2.9,1.0,2.3,1.0,8.7,5.8,6,10,3.85
59038,Avesnes-le-Sec,59,1447,False,6.4,5.2,1.1,1.0,5.9,4.6,7.3,6.0,1.2,1.0,8.2,5.6,3,0,0.0
59042,Bachy,59,1883,False,6.0,4.3,6.9,5.2,3.5,1.8,7.2,5.6,2.8,1.0,12.4,10.0,1,1,0.53
59043,Bailleul,59,14869,False,2.7,1.0,5.9,1.4,2.1,1.0,2.9,1.0,3.1,1.0,6.5,1.0,6,32,2.15
59044,Baisieux,59,5177,True,1.8,1.0,2.6,1.0,1.6,1.0,1.6,1.0,2.3,1.0,15.2,12.5,7,9,1.74
59052,Bauvin,59,4999,True,2.0,1.0,2.0,1.0,1.5,1.0,1.9,1.0,1.6,1.0,8.1,6.5,6,1,0.2
59054,Bavinchove,59,1046,False,6.0,4.3,4.8,3.1,1.5,1.0,1.6,1.0,5.2,3.5,10.0,6.9,1,2,1.91
59064,Bellaing,59,1329,False,2.3,1.0,2.9,1.3,2.9,1.0,1.6,1.0,3.3,2.0,7.7,6.3,4,0,0.0
59071,Bersée,59,2296,False,3.2,1.0,2.0,1.0,3.9,1.0,4.1,1.0,2.0,1.0,10.9,8.7,3,5,2.18
59079,Beuvrages,59,6784,False,2.1,1.0,1.6,1.0,1.6,1.0,1.6,1.0,2.1,1.0,3.6,1.0,6,4,0.59
59080,Beuvry-la-Forêt,59,2834,False,3.2,1.0,7.8,3.2,3.0,1.0,4.7,1.0,2.8,1.0,9.7,5.4,5,6,2.12
59082,Bierne,59,1772,False,4.0,1.8,4.5,2.1,1.7,1.0,4.2,1.4,4.9,2.7,2.9,1.0,1,2,1.13
59084,Blaringhem,59,2043,False,2.2,1.0,8.0,2.8,1.9,1.0,6.6,1.8,2.3,1.0,6.3,2.3,4,2,0.98
59086,Boeschepe,59,2179,False,11.7,7.4,12.6,8.1,2.9,1.0,2.8,1.0,3.0,1.0,11.0,6.2,4,5,2.29
59088,Bois-Grenier,59,1793,True,5.7,2.6,5.5,2.7,1.4,1.0,1.4,1.0,5.8,3.1,5.3,2.2,3,5,2.79
59089,Bollezeele,59,1423,False,2.9,1.0,6.5,3.4,1.7,1.0,2.8,1.0,1.6,1.0,6.8,1.9,7,3,2.11
59090,Bondues,59,9713,True,3.3,1.0,3.0,1.0,2.4,1.0,3.0,1.0,3.5,1.0,9.2,4.7,7,35,3.6
59094,Bourbourg,59,7023,False,1.5,1.0,5.0,1.0,1.5,1.0,1.5,1.0,1.7,1.0,7.6,3.4,6,13,1.85
59096,Bourghelles,59,1673,False,3.6,1.9,4.5,2.8,2.2,1.0,4.9,3.2,4.0,1.7,10.6,9.1,2,3,1.79
59098,Bousbecque,59,4847,True,2.7,1.0,5.5,3.2,1.6,1.0,2.1,1.0,2.1,1.0,3.1,1.0,6,5,1.03
59105,Bouvignies,59,1548,False,7.6,4.5,7.8,4.7,6.2,3.5,7.8,4.5,6.6,3.9,9.0,6.1,0,0,0.0
59112,Bruay-sur-l'Escaut,59,11309,False,2.4,1.0,1.7,1.0,1.7,1.0,2.3,1.0,2.9,1.0,6.7,2.3,7,15,1.33
59114,Bruille-Saint-Amand,59,1682,False,7.2,5.2,7.0,4.4,2.6,1.0,2.7,1.0,5.7,3.1,8.0,5.7,3,3,1.78
59113,Bruille-lez-Marchiennes,59,1350,False,5.4,2.2,3.8,2.4,4.5,3.2,5.2,3.5,1.2,1.0,6.7,4.5,1,1,0.74
59117,Bugnicourt,59,1074,False,1.7,1.0,4.8,3.8,5.0,3.1,10.0,9.0,4.8,3.1,5.6,4.2,1,0,0.0
59122,Cambrai,59,31425,False,2.3,1.0,2.2,1.0,1.7,1.0,2.4,1.0,2.2,1.0,4.5,1.0,7,121,3.85
59123,Camphin-en-Carembault,59,1714,False,5.4,3.2,4.9,3.1,1.9,1.0,5.3,2.9,1.9,1.0,9.3,4.9,3,1,0.58
59124,Camphin-en-Pévèle,59,2501,False,5.1,1.9,2.3,1.0,2.0,1.0,4.8,1.6,7.3,4.1,16.8,14.4,2,3,1.2
59126,Cantin,59,1770,False,5.2,2.9,1.4,1.0,7.0,3.8,7.5,4.7,1.5,1.0,5.0,2.9,3,1,0.56
59128,Capinghem,59,2474,True,3.0,1.0,4.5,2.7,2.6,1.0,2.4,1.0,4.2,2.3,10.6,7.8,3,6,2.43
59129,Cappelle-en-Pévèle,59,2262,False,4.0,1.5,4.7,2.7,2.0,1.0,2.0,1.0,2.2,1.0,9.1,6.8,4,3,1.33
59133,Carnin,59,1076,True,4.2,2.8,3.8,2.4,3.9,2.5,4.0,2.6,4.2,2.8,5.0,3.5,0,1,0.93
59135,Cassel,59,2227,False,2.4,1.0,2.1,1.0,2.0,1.0,4.6,2.2,2.4,1.0,10.2,6.7,6,14,6.29
59120,Caëstre,59,2006,False,1.7,1.0,6.2,3.8,1.4,1.0,1.8,1.0,1.8,1.0,9.4,7.9,5,5,2.49
59146,Chéreng,59,3001,True,5.0,2.3,1.9,1.0,1.5,1.0,2.0,1.0,2.4,1.0,15.1,13.5,5,1,0.33
59152,Comines,59,12671,True,2.9,1.0,2.3,1.0,1.7,1.0,2.3,1.0,3.0,1.0,9.8,5.5,7,12,0.95
59153,Condé-sur-l'Escaut,59,9396,False,2.3,1.0,3.8,1.0,1.9,1.0,2.3,1.0,3.1,1.0,4.6,1.0,7,24,2.55
59155,Coudekerque-Branche,59,20765,False,1.8,1.0,1.5,1.0,1.1,1.0,1.3,1.0,2.3,1.0,5.0,1.0,7,27,1.3
59156,Courchelettes,59,2881,False,1.6,1.0,3.4,1.1,1.5,1.0,3.3,1.1,2.7,1.0,9.7,7.1,3,2,0.69
59158,Coutiches,59,3246,False,6.7,3.5,3.0,1.0,2.5,1.0,2.9,1.0,3.1,1.0,9.0,5.2,6,2,0.62
59163,Croix,59,20778,True,1.7,1.0,1.3,1.0,1.4,1.0,1.8,1.0,1.8,1.0,8.0,5.0,7,43,2.07
59165,Cuincy,59,6472,False,1.8,1.0,2.7,1.0,2.0,1.0,4.3,2.2,2.6,1.0,6.1,1.2,6,11,1.7
59166,Curgies,59,1347,False,5.1,4.0,1.2,1.0,2.9,1.7,2.7,1.5,1.2,1.0,10.2,9.0,2,1,0.74
59168,Cysoing,59,4722,False,2.4,1.0,1.8,1.0,1.7,1.0,1.9,1.0,2.1,1.0,7.6,3.0,7,17,3.6
59170,Dechy,59,5351,False,2.1,1.0,1.9,1.0,1.8,1.0,2.0,1.0,1.9,1.0,6.5,4.3,5,7,1.31
59172,Denain,59,20640,False,2.7,1.0,1.4,1.0,1.9,1.0,2.4,1.0,2.8,1.0,4.6,2.4,7,61,2.96
59173,Deûlémont,59,1819,True,2.7,1.0,4.7,2.8,4.8,1.0,2.5,1.0,4.2,1.6,8.2,3.8,1,2,1.1
59670,Don,59,1412,True,4.4,2.9,1.6,1.0,2.7,1.8,3.8,2.3,1.8,1.0,5.7,3.9,3,2,1.42
59178,Douai,59,39648,False,2.0,1.0,1.7,1.0,1.8,1.0,2.5,1.0,2.6,1.0,7.6,3.0,7,144,3.63
59179,Douchy-les-Mines,59,10207,False,2.0,1.0,4.0,1.0,1.5,1.0,1.6,1.0,2.0,1.0,4.0,1.0,6,10,0.98
59183,Dunkerque,59,86788,False,1.6,1.0,1.8,1.0,1.4,1.0,1.4,1.0,1.9,1.0,5.6,1.0,7,327,3.77
59189,Eecke,59,1221,False,3.6,1.5,8.2,5.6,3.0,1.0,1.4,1.0,3.9,1.8,6.2,3.3,1,2,1.64
59193,Emmerin,59,3053,True,1.6,1.0,4.6,2.4,1.6,1.0,5.9,3.7,2.0,1.0,8.9,5.9,4,2,0.66
59196,Ennetières-en-Weppes,59,1293,True,5.9,2.7,3.4,1.0,3.5,1.0,4.8,1.0,5.7,2.3,7.7,3.6,3,4,3.09
59197,Ennevelin,59,2356,False,6.0,1.6,5.0,2.6,4.8,1.0,6.1,2.1,5.4,1.9,10.8,6.1,2,2,0.85
59202,Erquinghem-Lys,59,5356,True,2.3,1.0,4.2,2.0,1.7,1.0,2.1,1.0,2.1,1.0,5.3,3.3,5,11,2.05
59203,Erre,59,1574,False,2.3,1.0,1.3,1.0,1.4,1.0,2.3,1.0,1.4,1.0,3.5,1.0,3,2,1.27
59205,Escaudain,59,9253,False,1.7,1.0,1.7,1.0,1.9,1.0,2.1,1.0,2.2,1.0,6.0,2.1,7,9,0.97
59207,Escautpont,59,4152,False,3.0,1.0,2.1,1.0,1.5,1.0,4.2,1.9,2.6,1.0,8.1,6.0,5,3,0.72
59210,Esquelbecq,59,2134,False,4.2,2.3,1.5,1.0,1.5,1.0,1.4,1.0,1.6,1.0,7.2,4.3,5,5,2.34
59212,Estaires,59,6496,False,2.0,1.0,1.6,1.0,1.5,1.0,1.7,1.0,1.9,1.0,4.5,1.0,7,9,1.39
59214,Estrées,59,1116,False,5.1,3.8,1.4,1.0,5.6,4.3,8.1,5.8,5.4,3.9,8.6,7.3,1,0,0.0
59220,Faches-Thumesnil,59,18110,True,2.1,1.0,1.7,1.0,1.8,1.0,1.9,1.0,2.7,1.0,6.3,2.4,7,39,2.15
59221,Famars,59,2475,False,1.7,1.0,3.5,1.3,1.7,1.0,3.3,1.2,4.0,2.2,3.4,1.0,3,3,1.21
59222,Faumont,59,2251,False,4.7,2.6,5.5,3.2,2.6,1.0,2.5,1.0,2.6,1.0,10.4,6.7,3,5,2.22
59227,Fenain,59,5529,False,1.8,1.0,1.9,1.0,1.8,1.0,1.8,1.0,1.7,1.0,5.4,3.4,7,4,0.72
59234,Flers-en-Escrebieux,59,5642,False,3.2,1.2,2.2,1.0,1.8,1.0,2.6,1.0,2.2,1.0,7.0,3.8,6,15,2.66
59239,Flines-lez-Raches,59,5610,False,3.2,1.0,2.6,1.0,2.9,1.0,2.9,1.0,4.2,1.0,11.5,6.2,7,8,1.43
59238,Flines-lès-Mortagne,59,1649,False,4.6,1.1,12.7,7.4,10.3,4.1,10.3,4.1,4.8,1.5,6.3,2.6,1,5,3.03
59244,Fontaine-Notre-Dame,59,1763,False,5.6,1.7,3.9,2.2,1.4,1.0,6.7,2.8,6.4,3.5,6.7,1.7,2,4,2.27
59247,Forest-sur-Marque,59,1659,True,5.0,3.9,5.8,4.8,1.4,1.0,1.8,1.0,5.7,4.4,10.0,8.9,3,4,2.41
59250,Fournes-en-Weppes,59,2190,True,3.1,1.0,5.8,3.5,2.0,1.0,5.3,3.2,1.8,1.0,6.1,3.7,5,5,2.28
59252,Frelinghien,59,2581,True,5.3,3.2,2.1,1.0,1.9,1.0,4.6,1.0,2.1,1.0,8.2,4.5,4,2,0.77
59253,Fresnes-sur-Escaut,59,7486,False,3.9,1.0,1.9,1.0,1.7,1.0,2.5,1.0,2.8,1.0,6.9,3.2,7,10,1.34
59256,Fretin,59,3227,True,7.9,2.4,2.0,1.0,1.9,1.0,7.6,3.9,2.5,1.0,11.5,8.8,5,11,3.41
59257,Fromelles,59,1076,True,4.5,2.0,4.5,2.5,4.0,2.0,3.9,2.0,4.4,2.6,3.3,1.0,0,1,0.93
59224,Féchain,59,1658,False,1.6,1.0,8.4,6.9,1.5,1.0,10.7,8.8,1.5,1.0,10.8,7.9,4,2,1.21
59228,Férin,59,1447,False,4.3,1.7,3.4,1.0,4.5,2.1,4.6,2.1,5.1,2.4,10.5,7.9,4,10,6.91
59258,Genech,59,2825,False,8.8,5.4,2.3,1.0,2.0,1.0,6.9,4.5,1.7,1.0,4.4,1.6,4,4,1.42
59260,Ghyvelde,59,4119,False,3.8,1.0,2.4,1.0,2.5,1.0,2.3,1.0,2.4,1.0,3.8,1.0,5,8,1.94
59262,Godewaersvelde,59,2053,False,7.1,4.1,10.8,7.6,1.6,1.0,1.9,1.0,1.8,1.0,6.1,2.6,4,12,5.85
59265,Gommegnies,59,2300,False,9.1,2.6,2.9,1.0,3.6,1.0,9.3,2.6,4.1,1.0,9.8,3.4,4,4,1.74
59266,Gondecourt,59,4050,False,2.0,1.0,2.0,1.0,2.1,1.0,2.0,1.0,2.2,1.0,7.4,4.9,6,5,1.23
59271,Grande-Synthe,59,20331,False,1.9,1.0,1.6,1.0,1.3,1.0,1.5,1.0,2.0,1.0,6.2,1.0,7,32,1.57
59275,Gruson,59,1237,True,6.3,2.7,5.6,4.0,5.5,4.3,5.2,3.8,5.8,3.3,14.1,10.6,0,2,1.62
59276,Guesnain,59,4656,False,1.8,1.0,1.8,1.0,1.7,1.0,2.8,1.0,1.6,1.0,7.6,5.5,5,6,1.29
59263,Gœulzin,59,1042,False,5.3,2.9,4.3,2.1,5.6,3.3,5.6,3.3,5.0,2.6,9.3,7.1,0,1,0.96
59278,Hallennes-lez-Haubourdin,59,4718,True,2.6,1.0,4.1,1.6,2.4,1.0,3.0,1.0,3.7,1.4,8.9,6.9,3,16,3.39
59279,Halluin,59,20829,True,1.5,1.0,2.2,1.0,1.6,1.0,2.1,1.0,2.3,1.0,3.9,1.0,6,32,1.54
59281,Hantay,59,1259,True,6.5,4.6,4.4,2.5,4.5,2.8,5.7,3.8,4.1,3.1,7.9,5.8,0,2,1.59
59284,Hasnon,59,3874,False,2.6,1.0,7.6,4.3,1.9,1.0,6.3,4.1,2.8,1.0,6.0,3.4,4,5,1.29
59286,Haubourdin,59,14757,True,1.9,1.0,2.0,1.0,1.7,1.0,2.2,1.0,2.2,1.0,8.8,5.8,7,18,1.22
59292,Haveluy,59,3250,False,1.2,1.0,1.3,1.0,2.5,1.0,3.9,1.8,1.6,1.0,2.4,1.1,4,5,1.54
59293,Haverskerque,59,1401,False,5.3,1.8,7.1,4.4,2.0,1.0,6.7,3.9,4.2,1.2,5.3,2.5,1,2,1.43
59295,Hazebrouck,59,21498,False,2.0,1.0,2.0,1.0,1.6,1.0,1.7,1.0,2.4,1.0,4.4,1.0,7,48,2.23
59299,Hem,59,18713,True,2.2,1.0,2.4,1.0,1.4,1.0,1.9,1.0,2.5,1.0,7.8,5.3,7,16,0.86
59301,Hergnies,59,4463,False,7.4,3.5,4.5,1.0,2.3,1.0,2.3,1.0,2.9,1.0,9.1,5.2,4,3,0.67
59303,Herlies,59,2323,True,6.0,4.0,5.2,2.5,1.6,1.0,1.5,1.0,4.5,2.6,5.0,2.7,3,4,1.72
59305,Herzeele,59,1634,False,1.8,1.0,6.5,3.6,1.5,1.0,6.3,3.5,1.7,1.0,5.0,1.4,4,3,1.84
59309,Hondschoote,59,4026,False,2.0,1.0,2.5,1.0,1.5,1.0,2.0,1.0,2.0,1.0,3.3,1.0,7,6,1.49
59314,Hornaing,59,3535,False,1.7,1.0,2.7,1.0,1.7,1.0,1.7,1.0,1.7,1.0,4.6,1.4,6,4,1.13
59316,Houplin-Ancoisne,59,3275,True,3.4,1.0,6.8,3.0,1.9,1.0,6.0,2.9,3.1,1.0,6.8,3.5,4,1,0.31
59317,Houplines,59,7897,True,2.6,1.0,1.7,1.0,2.7,1.0,3.1,1.0,2.1,1.0,9.0,4.5,5,5,0.63
59297,Hélesmes,59,1921,False,3.3,1.1,2.0,1.0,3.4,1.2,3.2,1.0,1.7,1.0,7.2,5.1,3,1,0.52
59302,Hérin,59,4129,False,5.0,2.0,4.9,1.0,2.0,1.0,1.4,1.0,2.0,1.0,3.4,1.0,4,4,0.97
59320,Illies,59,1664,True,2.0,1.0,6.1,2.6,5.6,2.0,5.6,2.8,1.8,1.0,6.1,3.4,2,2,1.2
59051,La Bassée,59,6622,True,2.0,1.0,1.7,1.0,1.7,1.0,2.0,1.0,2.0,1.0,8.1,6.3,7,23,3.47
59143,La Chapelle-d'Armentières,59,8719,True,2.2,1.0,3.4,1.0,1.5,1.0,2.1,1.0,3.0,1.0,6.0,2.0,7,14,1.61
59268,La Gorgue,59,5599,False,2.0,1.0,2.7,1.0,1.9,1.0,2.0,1.0,2.3,1.0,5.7,1.0,6,10,1.79
59368,La Madeleine,59,22488,True,1.5,1.0,1.3,1.0,1.4,1.0,1.6,1.0,2.1,1.0,3.5,1.0,7,57,2.53
59564,La Sentinelle,59,3143,False,2.5,1.0,1.7,1.0,1.6,1.0,1.4,1.0,1.7,1.0,6.3,4.2,7,12,3.82
59327,Lallaing,59,6250,False,3.1,1.0,2.1,1.0,2.0,1.0,3.5,1.0,2.3,1.0,6.0,2.5,7,8,1.28
59328,Lambersart,59,27121,True,1.7,1.0,1.9,1.0,1.6,1.0,1.8,1.0,1.7,1.0,7.6,4.4,7,39,1.44
59329,Lambres-lez-Douai,59,4926,False,2.0,1.0,2.6,1.0,2.1,1.0,2.2,1.0,2.3,1.0,8.0,2.1,7,16,3.25
59330,Landas,59,2447,False,4.7,1.4,7.7,2.3,2.8,1.0,2.8,1.0,2.9,1.0,10.1,5.1,4,2,0.82
59332,Lannoy,59,1800,True,1.3,1.0,1.2,1.0,1.1,1.0,1.2,1.0,1.3,1.0,6.6,5.8,6,6,3.33
59334,Lauwin-Planque,59,1582,False,3.0,1.0,3.6,1.9,2.5,1.0,2.1,1.0,3.3,1.5,7.5,5.3,3,2,1.26
59180,Le Doulieu,59,1454,False,8.7,5.1,6.2,2.0,6.7,2.2,2.4,1.0,7.8,2.0,5.8,1.0,1,2,1.38
59335,Lecelles,59,3004,False,6.2,1.7,2.6,1.0,2.6,1.0,2.6,1.0,2.9,1.0,7.7,4.1,5,4,1.33
59339,Leers,59,9588,True,3.6,1.0,1.6,1.0,1.5,1.0,1.7,1.0,2.5,1.0,5.0,1.6,7,16,1.67
59340,Leffrinckoucke,59,4124,False,1.9,1.0,4.7,3.1,2.3,1.0,2.2,1.0,2.1,1.0,7.7,5.0,5,9,2.18
59343,Lesquin,59,9241,True,2.1,1.0,5.3,2.4,2.5,1.0,3.0,1.0,2.2,1.0,8.9,7.2,7,41,4.44
59345,Lewarde,59,2403,False,2.6,1.2,2.1,1.0,1.3,1.0,4.3,2.8,1.3,1.0,8.2,6.6,4,3,1.25
59346,Lezennes,59,3019,True,2.7,1.0,4.5,2.4,1.5,1.0,5.4,3.5,1.4,1.0,6.7,5.0,5,64,21.2
59348,Lieu-Saint-Amand,59,1461,False,2.6,1.0,6.0,3.9,1.5,1.0,2.7,1.0,4.2,1.7,4.1,1.8,2,3,2.05
59350,Lille,59,236710,True,1.6,1.0,1.4,1.0,1.4,1.0,2.0,1.0,2.1,1.0,5.7,1.0,7,1634,6.9
59352,Linselles,59,8192,True,2.4,1.0,3.6,1.0,1.8,1.0,2.0,1.0,2.2,1.0,7.1,4.3,6,8,0.98
59356,Lompret,59,2182,True,3.7,1.4,3.1,1.0,2.2,1.0,5.0,2.1,3.4,1.7,11.3,8.4,2,1,0.46
59360,Loos,59,23013,True,1.7,1.0,2.0,1.0,1.8,1.0,2.7,1.0,1.8,1.0,5.6,3.1,7,63,2.74
59361,Lourches,59,3814,False,2.4,1.0,1.3,1.0,1.4,1.0,4.2,3.0,1.5,1.0,3.7,1.5,5,5,1.31
59367,Lys-lez-Lannoy,59,13793,True,2.0,1.0,1.8,1.0,1.4,1.0,1.5,1.0,2.4,1.0,5.6,2.9,7,28,2.03
59369,Maing,59,4004,False,2.5,1.0,1.9,1.0,4.5,1.0,1.9,1.0,1.7,1.0,6.3,1.0,6,5,1.25
59375,Marchiennes,59,4539,False,2.5,1.0,7.2,3.7,2.0,1.0,7.4,3.1,2.2,1.0,4.1,1.0,6,10,2.2
59378,Marcq-en-Barœul,59,39356,True,2.0,1.0,1.7,1.0,1.5,1.0,1.8,1.0,2.2,1.0,5.1,1.6,7,108,2.74
59382,Maretz,59,1417,False,11.5,9.0,1.4,1.0,1.4,1.0,1.4,1.0,1.4,1.0,8.2,6.3,3,0,0.0
59383,Marly,59,12024,False,2.1,1.0,2.3,1.0,1.9,1.0,1.8,1.0,2.4,1.0,7.3,4.8,7,11,0.91
59387,Marquette-en-Ostrevant,59,1931,False,6.2,4.0,1.2,1.0,1.3,1.0,7.1,5.1,1.2,1.0,10.7,8.7,4,1,0.52
59386,Marquette-lez-Lille,59,11213,True,1.6,1.0,2.1,1.0,1.7,1.0,2.2,1.0,2.4,1.0,4.4,1.0,7,23,2.05
59388,Marquillies,59,1982,True,4.9,3.4,5.7,4.7,2.8,1.0,5.9,3.8,1.4,1.0,3.1,1.0,3,2,1.01
59390,Masny,59,4056,False,2.3,1.0,1.7,1.0,2.2,1.0,5.2,3.5,2.1,1.0,7.1,4.0,5,7,1.73
59392,Maubeuge,59,29066,False,2.0,1.0,1.9,1.0,1.6,1.0,2.0,1.0,2.0,1.0,5.3,1.1,7,72,2.48
59399,Merris,59,1049,False,8.6,5.0,4.5,1.0,2.8,1.0,8.8,4.3,5.1,2.1,11.1,8.3,2,3,2.86
59400,Merville,59,9652,False,2.4,1.0,2.8,1.0,1.9,1.0,2.6,1.0,2.7,1.0,5.3,1.0,7,23,2.38
59408,Moncheaux,59,1703,False,4.0,2.4,4.0,2.0,3.3,1.8,1.7,1.0,1.5,1.0,4.2,2.2,3,3,1.76
59409,Monchecourt,59,2501,False,5.9,3.1,2.1,1.0,1.7,1.0,7.4,5.6,1.7,1.0,10.6,8.5,4,1,0.4
59410,Mons-en-Barœul,59,21467,True,1.9,1.0,1.4,1.0,1.3,1.0,1.9,1.0,2.0,1.0,4.2,2.2,7,23,1.07
59411,Mons-en-Pévèle,59,2089,False,2.9,1.0,4.9,2.1,2.4,1.0,2.4,1.0,2.6,1.0,7.1,1.8,5,4,1.91
59414,Montigny-en-Ostrevent,59,4681,False,1.9,1.0,3.1,1.0,3.0,1.0,4.0,2.0,2.5,1.0,3.2,1.6,5,5,1.07
59416,Morbecque,59,2509,False,7.0,2.5,4.1,1.0,3.6,1.0,6.9,2.3,3.8,1.0,4.7,1.0,3,4,1.59
59418,Mortagne-du-Nord,59,1584,False,1.3,1.0,9.5,6.8,7.8,4.9,7.8,4.9,1.5,1.0,2.1,1.0,3,4,2.53
59419,Mouchin,59,1441,False,8.2,5.0,6.8,3.2,6.5,3.3,6.3,3.5,7.0,3.9,11.6,8.2,1,2,1.39
59421,Mouvaux,59,13173,True,2.1,1.0,1.7,1.0,1.5,1.0,2.0,1.0,2.9,1.0,9.9,6.9,7,19,1.44
59398,Mérignies,59,3360,False,4.2,1.6,5.1,2.7,1.7,1.0,2.5,1.0,4.3,2.1,12.7,9.0,3,5,1.49
59401,Méteren,59,2256,False,5.6,2.9,2.4,1.0,1.8,1.0,2.2,1.0,2.2,1.0,8.3,5.5,5,6,2.66
59423,Neuf-Berquin,59,1403,False,5.6,3.4,1.7,1.0,1.4,1.0,5.2,2.7,4.1,2.1,5.9,1.3,2,1,0.71
59426,Neuville-en-Ferrain,59,10160,True,2.2,1.0,3.4,1.4,1.9,1.0,2.2,1.0,3.0,1.0,7.3,5.1,6,20,1.97
59431,Nieppe,59,7606,False,3.7,1.0,2.5,1.0,1.5,1.0,1.6,1.0,2.1,1.0,4.2,1.0,7,14,1.84
59434,Nivelle,59,1379,False,5.3,2.2,5.4,2.8,2.4,1.0,2.3,1.0,6.8,3.9,7.6,5.2,2,2,1.45
59435,Nomain,59,2585,False,6.6,1.6,6.7,2.0,2.4,1.0,2.6,1.0,2.7,1.0,9.3,4.9,4,3,1.16
59447,Onnaing,59,8719,False,2.3,1.0,3.5,1.0,1.6,1.0,2.1,1.0,2.2,1.0,3.5,1.0,7,10,1.15
59449,Orchies,59,8455,False,2.2,1.0,2.4,1.0,1.6,1.0,2.7,1.0,2.9,1.0,5.3,1.0,7,28,3.31
59452,Ostricourt,59,5829,False,2.5,1.0,1.4,1.0,1.4,1.0,2.0,1.0,1.7,1.0,5.1,1.9,6,6,1.03
59456,Pecquencourt,59,6232,False,2.1,1.0,1.6,1.0,2.8,1.0,1.8,1.0,2.2,1.0,3.8,1.0,7,7,1.12
59459,Petite-Forêt,59,5058,False,2.0,1.0,2.2,1.0,1.7,1.0,3.1,1.1,2.0,1.0,7.4,4.7,5,18,3.56
59462,Phalempin,59,4849,False,2.7,1.0,6.5,2.2,1.6,1.0,2.4,1.0,2.2,1.0,11.1,5.8,6,6,1.24
59466,Pont-à-Marcq,59,2883,False,1.9,1.0,5.1,3.3,1.2,1.0,1.4,1.0,1.5,1.0,10.8,9.0,6,7,2.43
