code_insee,commune,dep,PMUN,dans_MEL,taux_taxe_fonciere_bati,taux_taxe_habitation,surtaxe_residence_secondaire_pct
59170,Dechy,59,5351,False,52.42,30.79,0.0
59172,Denain,59,20640,False,48.13,37.3,0.0
59173,Deûlémont,59,1819,True,43.22,42.27,0.0
59670,Don,59,1412,True,49.0,38.09,0.0
59178,Douai,59,39648,False,52.97,42.16,0.0
59179,Douchy-les-Mines,59,10207,False,48.44,32.31,0.0
59183,Dunkerque,59,86788,False,51.49,46.57,0.0
59189,Eecke,59,1221,False,45.69,22.8,0.0
59193,Emmerin,59,3053,True,58.92,49.66,0.0
59196,Ennetières-en-Weppes,59,1293,True,31.86,30.53,0.0
59197,Ennevelin,59,2356,False,44.86,31.7,0.0
59202,Erquinghem-Lys,59,5356,True,43.38,39.52,0.0
59203,Erre,59,1574,False,55.09,33.55,0.0
59205,Escaudain,59,9253,False,42.04,35.55,0.0
59207,Escautpont,59,4152,False,49.81,41.56,0.0
59210,Esquelbecq,59,2134,False,43.49,36.06,0.0
59212,Estaires,59,6496,False,38.7,34.95,0.0
59214,Estrées,59,1116,False,39.74,25.28,0.0
59220,Faches-Thumesnil,59,18110,True,60.81,54.36,0.0
59221,Famars,59,2475,False,32.74,25.75,0.0
59222,Faumont,59,2251,False,47.3,34.88,0.0
59227,Fenain,59,5529,False,47.18,32.27,0.0
59234,Flers-en-Escrebieux,59,5642,False,55.12,34.8,0.0
59239,Flines-lez-Raches,59,5610,False,41.5,27.52,0.0
59238,Flines-lès-Mortagne,59,1649,False,37.02,31.36,0.0
59244,Fontaine-Notre-Dame,59,1763,False,40.49,29.13,0.0
59247,Forest-sur-Marque,59,1659,True,42.4,35.9,0.0
59250,Fournes-en-Weppes,59,2190,True,37.37,38.39,0.0
59252,Frelinghien,59,2581,True,36.06,30.94,0.0
59253,Fresnes-sur-Escaut,59,7486,False,58.18,49.47,0.0
59256,Fretin,59,3227,True,31.68,32.31,0.0
59257,Fromelles,59,1076,True,35.04,29.89,0.0
59224,Féchain,59,1658,False,38.32,27.91,0.0
59228,Férin,59,1447,False,40.07,29.19,0.0
59258,Genech,59,2825,False,44.12,30.88,0.0
59260,Ghyvelde,59,4119,False,39.21,30.23,0.0
59262,Godewaersvelde,59,2053,False,50.75,29.49,0.0
59265,Gommegnies,59,2300,False,38.56,28.76,0.0
59266,Gondecourt,59,4050,False,46.02,22.59,0.0
59271,Grande-Synthe,59,20331,False,39.24,40.22,0.0
59275,Gruson,59,1237,True,49.44,41.8,0.0
59276,Guesnain,59,4656,False,54.55,26.82,0.0
59263,Gœulzin,59,1042,False,40.71,24.94,0.0
59278,Hallennes-lez-Haubourdin,59,4718,True,42.9,40.86,0.0
59279,Halluin,59,20829,True,52.0,41.75,0.0
59281,Hantay,59,1259,True,50.53,43.59,0.0
59284,Hasnon,59,3874,False,44.03,33.06,0.0
59286,Haubourdin,59,14757,True,51.1,57.18,0.0
59292,Haveluy,59,3250,False,52.43,32.66,0.0
59293,Haverskerque,59,1401,False,39.11,32.95,0.0
59295,Hazebrouck,59,21498,False,44.28,36.41,0.0
59299,Hem,59,18713,True,46.79,44.06,0.0
59301,Hergnies,59,4463,False,53.75,40.08,0.0
59303,Herlies,59,2323,True,37.08,43.37,0.0
59305,Herzeele,59,1634,False,44.73,34.34,0.0
59309,Hondschoote,59,4026,False,49.37,42.67,0.0
59314,Hornaing,59,3535,False,41.46,38.04,0.0
59316,Houplin-Ancoisne,59,3275,True,50.24,43.63,0.0
59317,Houplines,59,7897,True,45.49,38.93,0.0
59297,Hélesmes,59,1921,False,29.66,24.82,0.0
59302,Hérin,59,4129,False,46.57,38.36,0.0
59320,Illies,59,1664,True,50.89,45.3,0.0
59051,La Bassée,59,6622,True,39.44,43.79,0.0
59143,La Chapelle-d'Armentières,59,8719,True,39.44,39.0,0.0
59268,La Gorgue,59,5599,False,39.72,32.44,0.0
59368,La Madeleine,59,22488,True,43.79,37.99,0.0
59564,La Sentinelle,59,3143,False,51.86,29.48,0.0
59327,Lallaing,59,6250,False,51.7,32.49,0.0
59328,Lambersart,59,27121,True,51.33,50.78,0.0
59329,Lambres-lez-Douai,59,4926,False,49.58,27.23,0.0
59330,Landas,59,2447,False,38.31,29.04,0.0
59332,Lannoy,59,1800,True,46.42,41.4,0.0
59334,Lauwin-Planque,59,1582,False,51.42,28.93,0.0
59180,Le Doulieu,59,1454,False,49.42,33.66,0.0
59335,Lecelles,59,3004,False,37.84,28.95,0.0
59339,Leers,59,9588,True,50.0,47.85,0.0
59340,Leffrinckoucke,59,4124,False,59.8,39.97,0.0
59343,Lesquin,59,9241,True,47.99,33.06,0.0
59345,Lewarde,59,2403,False,46.58,32.9,0.0
59346,Lezennes,59,3019,True,39.76,37.18,0.0
59348,Lieu-Saint-Amand,59,1461,False,31.14,23.56,0.0
59350,Lille,59,236710,True,48.91,46.61,0.0
59352,Linselles,59,8192,True,49.87,43.14,0.0
59356,Lompret,59,2182,True,38.25,38.36,0.0
59360,Loos,59,23013,True,52.32,49.47,0.0
59361,Lourches,59,3814,False,50.54,33.14,0.0
59367,Lys-lez-Lannoy,59,13793,True,49.8,40.76,0.0
59369,Maing,59,4004,False,37.13,35.07,0.0
59375,Marchiennes,59,4539,False,51.71,50.92,0.0
59378,Marcq-en-Barœul,59,39356,True,34.75,41.9,0.0
59382,Maretz,59,1417,False,43.01,26.67,0.0
59383,Marly,59,12024,False,49.6,32.18,0.0
59387,Marquette-en-Ostrevant,59,1931,False,33.38,27.21,0.0
59386,Marquette-lez-Lille,59,11213,True,57.72,46.12,50.0
59388,Marquillies,59,1982,True,43.37,38.03,0.0
59390,Masny,59,4056,False,50.0,35.24,0.0
59392,Maubeuge,59,29066,False,53.13,42.47,0.0
59399,Merris,59,1049,False,42.5,28.61,0.0
59400,Merville,59,9652,False,43.49,33.28,0.0
59408,Moncheaux,59,1703,False,42.35,31.78,0.0
59409,Monchecourt,59,2501,False,46.68,32.49,0.0
59410,Mons-en-Barœul,59,21467,True,41.16,34.1,0.0
59411,Mons-en-Pévèle,59,2089,False,39.83,27.02,0.0
59414,Montigny-en-Ostrevent,59,4681,False,46.5,28.1,0.0
59416,Morbecque,59,2509,False,38.66,31.33,0.0
59418,Mortagne-du-Nord,59,1584,False,38.84,33.42,0.0
59419,Mouchin,59,1441,False,45.92,27.62,0.0
59421,Mouvaux,59,13173,True,47.05,47.71,0.0
59398,Mérignies,59,3360,False,44.33,26.93,0.0
59401,Méteren,59,2256,False,39.58,26.97,0.0
59423,Neuf-Berquin,59,1403,False,44.15,34.6,0.0
59426,Neuville-en-Ferrain,59,10160,True,54.52,35.72,0.0
59431,Nieppe,59,7606,False,52.74,44.03,0.0
59434,Nivelle,59,1379,False,43.45,34.81,0.0
59435,Nomain,59,2585,False,40.27,28.97,0.0
59447,Onnaing,59,8719,False,45.75,32.21,0.0
59449,Orchies,59,8455,False,52.48,36.54,0.0
59452,Ostricourt,59,5829,False,49.26,29.07,0.0
59456,Pecquencourt,59,6232,False,44.37,33.92,0.0
59459,Petite-Forêt,59,5058,False,43.71,31.61,0.0
59462,Phalempin,59,4849,False,50.11,36.74,0.0
59466,Pont-à-Marcq,59,2883,False,40.89,27.45,0.0
59475,Prouvy,59,2173,False,40.06,29.76,0.0
59477,Provin,59,4469,True,45.93,34.95,0.0
59470,Prémesques,59,2060,True,43.27,33.48,0.0
59471,Préseau,59,2065,False,44.52,33.48,0.0
59457,Pérenchies,59,8519,True,54.24,41.38,0.0
59458,Péronne-en-Mélantois,59,1004,True,38.97,35.54,0.0
59479,Quarouble,59,3131,False,43.99,29.84,0.0
59482,Quesnoy-sur-Deûle,59,6920,True,43.2,40.96,0.0
59485,Quiévy,59,1801,False,45.99,28.9,0.0
59487,Radinghem-en-Weppes,59,1393,True,36.87,32.6,0.0
59489,Raimbeaucourt,59,4015,False,47.6,33.55,0.0
59491,Raismes,59,12055,False,59.72,33.75,0.0
59497,Renescure,59,2128,False,38.69,21.04,0.0
59499,Rexpoëde,59,1992,False,45.76,35.78,0.0
59501,Rieulay,59,1243,False,50.38,39.53,0.0
59502,Rieux-en-Cambrésis,59,1438,False,38.36,22.81,0.0
59507,Ronchin,59,19437,True,46.27,45.47,0.0
59508,Roncq,59,13784,True,50.87,45.18,0.0
59509,Roost-Warendin,59,5976,False,44.07,32.35,0.0
59511,Rosult,59,1973,False,44.4,32.02,0.0
59512,Roubaix,59,98892,True,51.97,44.66,0.0
59519,Rumegies,59,1740,False,39.72,31.26,0.0
59486,Râches,59,2660,False,47.32,32.82,0.0
59504,Rœulx,59,3779,False,41.83,29.08,0.0
59522,Sailly-lez-Lannoy,59,1949,True,43.64,39.78,0.0
59523,Sainghin-en-Mélantois,59,2848,True,34.35,30.06,0.0
59524,Sainghin-en-Weppes,59,5641,True,44.25,39.05,0.0
59526,Saint-Amand-les-Eaux,59,15980,False,54.33,37.66,0.0
59527,Saint-André-lez-Lille,59,12942,True,46.7,51.98,0.0
59535,Saint-Jans-Cappel,59,1642,False,44.8,28.91,0.0
59544,Saint-Saulve,59,11117,False,47.99,30.84,0.0
59546,Saint-Sylvestre-Cappel,59,1154,False,40.92,27.25,0.0
59550,Salomé,59,3051,True,54.77,41.31,0.0
59551,Saméon,59,1738,False,40.81,26.55,0.0
59553,Santes,59,5660,True,43.27,40.66,0.0
59557,Saultain,59,2553,False,32.13,28.35,0.0
59559,Sebourg,59,1977,False,40.1,32.15,0.0
59560,Seclin,59,12834,True,47.85,38.06,0.0
59566,Sequedin,59,4762,True,40.43,30.54,0.0
59569,Sin-le-Noble,59,15603,False,46.46,38.16,0.0
59574,Somain,59,11790,False,48.8,33.9,0.0
59578,Steenbecque,59,1650,False,38.31,24.06,0.0
59580,Steenvoorde,59,4324,False,43.69,30.69,0.0
59581,Steenwerck,59,3540,False,60.5,42.23,0.0
59585,Templemars,59,3635,True,37.02,38.67,0.0
59586,Templeuve-en-Pévèle,59,6705,False,45.24,36.42,0.0
59592,Thumeries,59,4029,False,52.73,37.76,0.0
59594,Thun-Saint-Amand,59,1110,False,46.41,34.86,0.0
59598,Toufflers,59,3910,True,39.42,35.81,60.0
59599,Tourcoing,59,99011,True,51.55,45.36,0.0
59602,Tressin,59,1395,True,42.95,38.32,0.0
59603,Trith-Saint-Léger,59,6124,False,49.72,29.11,0.0
59588,Téteghem-Coudekerque-Village,59,8384,False,45.25,37.26,0.0
59606,Valenciennes,59,42991,False,49.44,47.6,0.0
59609,Vendeville,59,1546,True,37.1,41.34,25.0
59610,Verchain-Maugré,59,1102,False,33.62,28.03,0.0
59611,Verlinghem,59,2673,True,36.65,40.98,0.0
59615,Vieux-Berquin,59,2649,False,45.62,27.73,0.0
59616,Vieux-Condé,59,10446,False,58.8,46.01,0.0
59009,Villeneuve-d'Ascq,59,62067,True,51.23,45.53,60.0
59622,Villers-en-Cauchies,59,1161,False,45.47,25.89,0.0
59629,Vred,59,1311,False,54.01,35.56,0.0
59630,Wahagnies,59,2605,False,52.13,32.39,0.0
59632,Wallers,59,5598,False,41.07,28.68,0.0
59636,Wambrechies,59,10798,True,53.93,48.51,0.0
59637,Wandignies-Hamage,59,1318,False,50.38,38.56,0.0
59638,Wannehain,59,1331,False,49.96,30.51,0.0
59639,Wargnies-le-Grand,59,1101,False,45.67,32.91,0.0
59641,Warhem,59,2022,False,42.59,33.6,0.0
59646,Wasquehal,59,20836,True,50.49,48.94,0.0
59647,Watten,59,2577,False,57.18,29.34,0.0
59648,Wattignies,59,15531,True,44.82,43.25,0.0
59650,Wattrelos,59,40836,True,67.76,47.51,0.0
59651,Wavrechain-sous-Denain,59,1616,False,50.64,39.7,0.0
59653,Wavrin,59,7773,True,41.47,40.15,0.0
59654,Waziers,59,7354,False,59.77,38.15,0.0
59656,Wervicq-Sud,59,5299,True,51.28,48.03,0.0
59660,Willems,59,2996,True,41.88,41.54,0.0
59662,Winnezeele,59,1300,False,37.03,21.34,0.0
59663,Wormhout,59,5705,False,44.08,35.63,0.0
59185,Écaillon,59,1910,False,55.05,35.03,0.0
62004,Achicourt,62,7938,False,56.87,35.41,0.0
62013,Agny,62,1879,False,41.96,30.18,0.0
62014,Aire-sur-la-Lys,62,9585,False,56.63,40.39,0.0
62019,Aix-Noulette,62,3913,False,55.69,36.89,0.0
62032,Angres,62,4842,False,66.46,27.88,0.0
62033,Annay,62,4517,False,46.33,32.91,0.0
62034,Annequin,62,2145,False,49.01,32.38,0.0
62035,Annezin,62,5813,False,51.38,32.37,0.0
62037,Anzin-Saint-Aubin,62,2806,False,50.33,33.75,0.0
62040,Arques,62,9655,False,49.57,34.54,0.0
62041,Arras,62,42600,False,54.27,39.84,0.0
62042,Athies,62,1059,False,45.08,26.8,0.0
62048,Auchel,62,10062,False,68.11,45.78,0.0
62051,Auchy-les-Mines,62,4623,False,56.76,33.68,0.0
62065,Avion,62,17672,False,62.67,38.14,0.0
62073,Bailleul-Sir-Berthoult,62,1430,False,47.06,35.7,0.0
62083,Barlin,62,7366,False,53.87,34.79,0.0
62099,Beaurains,62,5515,False,54.07,39.17,0.0
62471,Bellinghem,62,1087,False,42.62,26.91,0.0
62126,Beuvry,62,9111,False,58.83,39.19,0.0
62128,Biache-Saint-Vaast,62,4481,False,40.58,35.52,0.0
62132,Billy-Berclau,62,5059,False,61.36,31.76,0.0
62133,Billy-Montigny,62,8117,False,54.84,32.04,0.0
62160,Boulogne-sur-Mer,62,40910,False,57.59,44.32,0.0
62164,Bourlon,62,1140,False,39.1,29.56,0.0
62170,Bouvigny-Boyeffles,62,2371,False,55.32,33.46,0.0
62173,Brebières,62,5169,False,40.85,37.13,0.0
62178,Bruay-la-Buissière,62,21827,False,68.48,39.35,0.0
62181,Bucquoy,62,1480,False,42.16,23.76,0.0
62186,Bully-les-Mines,62,12221,False,62.87,33.49,0.0
62188,Burbure,62,2819,False,55.82,33.19,0.0
62190,Busnes,62,1245,False,50.59,34.6,0.0
62119,Béthune,62,24992,False,82.34,51.82,0.0
62193,Calais,62,67380,False,48.75,42.59,0.0
62194,Calonne-Ricouart,62,5463,False,48.99,31.97,0.0
62195,Calonne-sur-la-Lys,62,1560,False,51.32,31.53,0.0
62200,Cambrin,62,1228,False,40.86,35.09,0.0
62215,Carvin,62,17852,False,62.94,32.23,0.0
62224,Chocques,62,2824,False,62.73,45.85,0.0
62240,Corbehem,62,2266,False,40.69,34.28,0.0
62249,Courcelles-lès-Lens,62,8213,False,46.41,27.59,0.0
62250,Courrières,62,10199,False,55.91,30.79,0.0
62262,Cuinchy,62,1754,False,45.51,32.8,0.0
62263,Dainville,62,5703,False,50.68,31.6,0.0
62274,Dourges,62,5997,False,53.75,27.85,0.0
62276,Douvrin,62,5795,False,70.29,44.78,0.0
62277,Drocourt,62,2943,False,60.82,31.85,0.0
62279,Duisans,62,1383,False,37.62,27.69,0.0
62310,Essars,62,1755,False,52.54,33.87,0.0
62311,Estevelles,62,2024,False,59.28,30.25,0.0
62323,Fampoux,62,1219,False,45.65,28.51,0.0
62330,Festubert,62,1266,False,40.53,31.26,0.0
62331,Feuchy,62,1015,False,48.08,31.25,0.0
62338,Fleurbaix,62,2862,False,48.56,35.18,0.0
62349,Fouquereuil,62,1632,False,56.11,44.31,0.0
62350,Fouquières-lès-Béthune,62,1115,False,49.69,33.05,0.0
62351,Fouquières-lès-Lens,62,6233,False,50.86,26.89,0.0
62371,Givenchy-en-Gohelle,62,2026,False,52.04,32.55,0.0
62373,Givenchy-lès-la-Bassée,62,1006,False,39.39,31.03,0.0
62376,Gonnehem,62,2507,False,58.64,39.83,0.0
62383,Gouy-sous-Bellonne,62,1396,False,41.1,32.78,0.0
62386,Grenay,62,6704,False,66.03,36.79,0.0
62391,Guarbecque,62,1369,False,46.75,36.5,0.0
62400,Haillicourt,62,4884,False,53.76,32.71,0.0
62401,Haisnes,62,4427,False,48.44,34.49,0.0
62412,Hardinghen,62,1219,False,31.22,29.9,0.0
62413,Harnes,62,12317,False,53.6,24.85,0.0
62443,Hersin-Coupigny,62,6147,False,54.46,36.9,0.0
62452,Heuringhem,62,1379,False,45.31,29.29,0.0
62454,Hinges,62,2417,False,53.55,38.86,0.0
62457,Houdain,62,7030,False,59.32,40.42,0.0
62464,Hulluch,62,3367,False,46.57,30.23,0.0
62427,Hénin-Beaumont,62,26035,False,65.02,33.08,0.0
62476,Izel-lès-Équerchin,62,1058,False,44.04,34.01,0.0
62252,La Couture,62,2616,False,46.92,39.93,0.0
62479,Labeuvrière,62,1654,False,46.08,30.22,0.0
62480,Labourse,62,2894,False,54.3,34.41,0.0
62489,Lapugnoy,62,3518,False,66.48,42.53,0.0
62491,Laventie,62,4969,False,52.1,37.35,0.0
62497,Leforest,62,7179,False,62.42,33.26,0.0
62498,Lens,62,32618,False,64.57,35.11,0.0
62502,Lestrem,62,5073,False,43.22,31.15,0.0
62907,Libercourt,62,8138,False,52.28,26.75,0.0
62516,Lillers,62,9988,False,76.04,41.34,0.0
62510,Liévin,62,30149,False,69.69,38.17,0.0
62520,Locon,62,2342,False,46.1,35.29,0.0
62523,Loison-sous-Lens,62,5255,False,56.19,38.04,0.0
62525,Longuenesse,62,10568,False,47.78,35.1,0.0
62528,Loos-en-Gohelle,62,6896,False,60.13,31.51,0.0
62529,Lorgies,62,1609,False,53.82,39.89,0.0
62540,Maisnil-lès-Ruitz,62,1691,False,50.49,32.21,0.0
62543,Mametz,62,1998,False,42.18,27.55,0.0
62557,Marœuil,62,2441,False,57.7,39.28,0.0
62563,Mazingarbe,62,8068,False,58.08,30.63,0.0
62573,Meurchin,62,3717,False,58.98,39.46,0.0
62584,Mont-Bernanchon,62,1316,False,54.28,30.81,0.0
62587,Montigny-en-Gohelle,62,9870,False,63.02,35.61,0.0
62570,Méricourt,62,11431,False,66.98,33.45,0.0
62606,Neuve-Chapelle,62,1419,False,42.49,29.99,0.0
62609,Neuville-Saint-Vaast,62,1603,False,47.62,36.17,0.0
62620,Norrent-Fontes,62,1362,False,58.77,38.6,0.0
62624,Noyelles-Godault,62,5906,False,48.15,23.4,0.0
62626,Noyelles-lès-Vermelles,62,2294,False,71.22,41.58,0.0
62628,Noyelles-sous-Lens,62,6659,False,63.64,28.12,0.0
62617,Nœux-les-Mines,62,11520,False,66.12,29.24,0.0
62637,Oignies,62,10210,False,65.29,29.6,0.0
62638,Oisy-le-Verger,62,1188,False,37.9,27.93,0.0
62666,Pont-à-Vendin,62,3136,False,45.74,37.71,0.0
62684,Racquinghem,62,2214,False,46.62,28.35,0.0
62693,Rebreuve-Ranchicourt,62,1071,False,56.46,34.63,0.0
62706,Richebourg,62,2618,False,53.43,38.21,0.0
62712,Rivière,62,1124,False,39.42,28.74,0.0
62713,Robecq,62,1329,False,51.48,31.7,0.0
62724,Rouvroy,62,8797,False,57.01,30.89,0.0
62727,Ruitz,62,1509,False,38.86,27.3,0.0
62718,Rœux,62,1390,False,54.64,38.8,0.0
62735,Sailly-Labourse,62,2577,False,65.3,42.21,0.0
62736,Sailly-sur-la-Lys,62,3883,False,49.97,31.34,0.0
62737,Sains-en-Gohelle,62,5995,False,69.77,34.7,0.0
62753,Saint-Laurent-Blangy,62,6507,False,44.38,38.28,0.0
62764,Saint-Nicolas,62,4603,False,44.12,31.69,0.0
62765,Saint-Omer,62,14661,False,52.68,40.58,0.0
62770,Saint-Venant,62,3022,False,54.99,44.52,0.0
62744,Sainte-Catherine,62,3594,False,45.8,33.61,0.0
62771,Sallaumines,62,9650,False,68.94,33.76,0.0
62793,Servins,62,1134,False,50.98,34.34,0.0
62801,Souchez,62,2658,False,59.36,35.75,0.0
62810,Thélus,62,1271,False,49.99,31.35,0.0
62817,Tilloy-lès-Mofflaines,62,1519,False,46.57,30.04,0.0
62836,Vaudricourt,62,1104,False,54.23,36.64,0.0
62842,Vendin-le-Vieil,62,8381,False,53.34,30.32,0.0
62841,Vendin-lès-Béthune,62,2393,False,62.55,39.32,0.0
62846,Vermelles,62,4748,False,50.79,34.56,0.0
62847,Verquigneul,62,2016,False,63.21,41.12,0.0
62848,Verquin,62,3459,False,69.53,51.03,0.0
62861,Vimy,62,4307,False,52.93,32.8,0.0
62863,Violaines,62,3831,False,39.57,32.48,0.0
62865,Vitry-en-Artois,62,4787,False,52.15,39.96,0.0
62869,Wailly,62,1081,False,44.29,29.74,0.0
62875,Wardrecques,62,1346,False,36.3,27.92,0.0
62895,Wingles,62,8742,False,46.7,30.26,0.0
62905,Zudausques,62,1040,False,44.05,27.91,0.0
62284,Écourt-Saint-Quentin,62,1691,False,42.8,32.73,0.0
62291,Éleu-dit-Leauwette,62,2829,False,63.64,34.01,0.0
62321,Évin-Malmaison,62,4674,False,54.64,30.51,0.0
