code_insee,commune,dep,PMUN,dans_MEL,cyclable_util_km,cyclable_util_km_1000hab,pistes_protegees_km_1000hab,part_amenagements_proteges_pct,voie_verte_km_1000hab,cyclable_util_km_2022,cyclable_util_evol_km,cyclable_util_evol_pct
59032,Aulnoy-lez-Valenciennes,59,7183,False,0.72,0.1,0.04,41.0,0.77,0.0,0.72,inf
59034,Avelin,59,2600,False,14.08,5.47,2.8,51.0,2.1,14.3,-0.23,-2.0
59038,Avesnes-le-Sec,59,1447,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59042,Bachy,59,1883,False,5.22,2.76,0.0,0.0,0.0,5.76,-0.54,-9.0
59043,Bailleul,59,14869,False,23.52,1.6,0.08,5.0,0.02,22.02,1.5,7.0
59044,Baisieux,59,5177,True,13.04,2.43,1.34,55.0,0.73,11.72,1.33,11.0
59052,Bauvin,59,4999,True,1.45,0.28,0.0,0.0,0.82,0.0,1.45,inf
59054,Bavinchove,59,1046,False,0.0,0.0,0.0,,0.12,0.0,0.0,
59064,Bellaing,59,1329,False,5.52,4.19,1.59,38.0,1.48,4.31,1.21,28.0
59071,Bersée,59,2296,False,5.95,2.6,0.06,2.0,2.32,5.82,0.13,2.0
59079,Beuvrages,59,6784,False,1.14,0.17,0.0,0.0,0.0,0.17,0.97,583.0
59080,Beuvry-la-Forêt,59,2834,False,11.31,3.97,1.2,30.0,1.74,11.42,-0.12,-1.0
59082,Bierne,59,1772,False,7.5,4.3,4.3,100.0,1.05,8.01,-0.51,-6.0
59084,Blaringhem,59,2043,False,0.0,0.0,0.0,,2.09,0.0,0.0,
59086,Boeschepe,59,2179,False,1.15,0.52,0.52,100.0,0.12,0.04,1.12,3100.0
59088,Bois-Grenier,59,1793,True,0.38,0.21,0.21,100.0,0.0,0.26,0.12,46.0
59089,Bollezeele,59,1423,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59090,Bondues,59,9713,True,27.22,2.82,1.42,50.0,0.27,24.59,2.63,11.0
59094,Bourbourg,59,7023,False,1.92,0.28,0.0,0.0,0.57,0.42,1.5,361.0
59096,Bourghelles,59,1673,False,5.25,3.13,1.13,36.0,0.36,4.78,0.47,10.0
59098,Bousbecque,59,4847,True,12.52,2.53,0.47,19.0,0.67,10.88,1.64,15.0
59105,Bouvignies,59,1548,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59112,Bruay-sur-l'Escaut,59,11309,False,6.01,0.52,0.1,20.0,1.37,6.7,-0.69,-10.0
59114,Bruille-Saint-Amand,59,1682,False,2.55,1.51,0.07,5.0,0.0,2.09,0.45,22.0
59113,Bruille-lez-Marchiennes,59,1350,False,1.72,1.28,0.07,5.0,0.39,1.69,0.04,2.0
59117,Bugnicourt,59,1074,False,1.23,1.13,1.13,100.0,0.0,1.23,0.0,0.0
59122,Cambrai,59,31425,False,24.47,0.78,0.33,42.0,0.77,20.95,3.52,17.0
59123,Camphin-en-Carembault,59,1714,False,4.84,2.81,0.0,0.0,0.27,5.61,-0.77,-14.0
59124,Camphin-en-Pévèle,59,2501,False,0.0,0.0,0.0,,0.01,0.0,0.0,
59126,Cantin,59,1770,False,5.22,2.97,1.49,50.0,0.25,5.21,0.0,0.0
59128,Capinghem,59,2474,True,4.2,1.61,0.82,51.0,0.0,1.99,2.21,111.0
59129,Cappelle-en-Pévèle,59,2262,False,10.31,4.56,3.47,76.0,1.01,10.66,-0.35,-3.0
59133,Carnin,59,1076,True,0.31,0.29,0.0,0.0,0.0,0.0,0.31,inf
59135,Cassel,59,2227,False,0.0,0.0,0.0,,0.28,0.0,0.0,
59120,Caëstre,59,2006,False,4.79,2.42,0.0,0.0,0.0,4.79,0.0,0.0
59146,Chéreng,59,3001,True,6.15,2.02,1.4,69.0,1.38,12.32,-6.17,-50.0
59152,Comines,59,12671,True,21.05,1.66,0.31,19.0,0.27,22.89,-1.84,-8.0
59153,Condé-sur-l'Escaut,59,9396,False,12.84,1.38,1.02,74.0,1.75,15.23,-2.39,-16.0
59155,Coudekerque-Branche,59,20765,False,15.37,0.74,0.32,44.0,1.22,14.99,0.38,3.0
59156,Courchelettes,59,2881,False,0.2,0.07,0.07,100.0,0.01,0.2,0.0,0.0
59158,Coutiches,59,3246,False,1.79,0.54,0.24,45.0,0.14,1.9,-0.11,-6.0
59163,Croix,59,20778,True,10.53,0.5,0.09,19.0,0.17,8.93,1.6,18.0
59165,Cuincy,59,6472,False,4.3,0.66,0.4,60.0,0.24,2.93,1.37,47.0
59166,Curgies,59,1347,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59168,Cysoing,59,4722,False,10.39,2.2,0.69,31.0,0.4,9.91,0.49,5.0
59170,Dechy,59,5351,False,3.86,0.72,0.48,66.0,2.63,3.69,0.16,4.0
59172,Denain,59,20640,False,10.96,0.53,0.37,69.0,0.84,16.73,-5.77,-34.0
59173,Deûlémont,59,1819,True,6.85,3.8,2.6,68.0,9.29,5.76,1.09,19.0
59670,Don,59,1412,True,2.94,2.1,0.39,19.0,2.23,0.16,2.78,1705.0
59178,Douai,59,39648,False,78.59,1.97,0.64,32.0,0.9,78.07,0.52,1.0
59179,Douchy-les-Mines,59,10207,False,4.53,0.45,0.44,99.0,0.0,5.01,-0.48,-10.0
59183,Dunkerque,59,86788,False,163.68,1.88,0.58,31.0,0.99,174.03,-10.35,-6.0
59189,Eecke,59,1221,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59193,Emmerin,59,3053,True,9.01,2.98,2.68,90.0,1.16,5.68,3.33,59.0
59196,Ennetières-en-Weppes,59,1293,True,7.22,5.6,2.18,39.0,0.0,7.25,-0.03,-0.0
59197,Ennevelin,59,2356,False,5.08,2.1,1.57,75.0,0.97,5.96,-0.88,-15.0
59202,Erquinghem-Lys,59,5356,True,2.05,0.38,0.07,18.0,0.71,1.31,0.74,57.0
59203,Erre,59,1574,False,0.04,0.03,0.0,0.0,1.4,0.0,0.04,inf
59205,Escaudain,59,9253,False,7.49,0.83,0.2,24.0,1.11,8.1,-0.61,-8.0
59207,Escautpont,59,4152,False,4.24,1.02,0.03,3.0,2.27,4.01,0.23,6.0
59210,Esquelbecq,59,2134,False,2.99,1.4,1.4,100.0,0.0,0.34,2.65,774.0
59212,Estaires,59,6496,False,4.44,0.68,0.05,7.0,0.2,4.5,-0.06,-1.0
59214,Estrées,59,1116,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59220,Faches-Thumesnil,59,18110,True,6.59,0.36,0.02,7.0,0.33,5.08,1.5,30.0
59221,Famars,59,2475,False,2.8,1.14,1.13,99.0,3.77,2.24,0.55,25.0
59222,Faumont,59,2251,False,11.07,4.91,1.96,40.0,1.81,9.82,1.25,13.0
59227,Fenain,59,5529,False,0.7,0.13,0.13,100.0,0.56,0.7,0.0,0.0
59234,Flers-en-Escrebieux,59,5642,False,6.84,1.24,0.8,65.0,0.81,13.54,-6.7,-49.0
59239,Flines-lez-Raches,59,5610,False,8.09,1.42,1.32,93.0,0.48,9.56,-1.47,-15.0
59238,Flines-lès-Mortagne,59,1649,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59244,Fontaine-Notre-Dame,59,1763,False,4.87,2.77,0.9,32.0,0.96,4.03,0.84,21.0
59247,Forest-sur-Marque,59,1659,True,1.02,0.62,0.22,36.0,0.93,0.68,0.34,50.0
59250,Fournes-en-Weppes,59,2190,True,9.63,4.44,3.48,78.0,0.0,11.89,-2.26,-19.0
59252,Frelinghien,59,2581,True,8.05,3.08,0.16,5.0,2.6,5.77,2.28,40.0
59253,Fresnes-sur-Escaut,59,7486,False,9.57,1.28,0.27,21.0,1.96,7.7,1.87,24.0
59256,Fretin,59,3227,True,5.58,1.73,1.33,77.0,1.43,5.64,-0.06,-1.0
59257,Fromelles,59,1076,True,0.0,0.0,0.0,,0.0,0.0,0.0,
59224,Féchain,59,1658,False,0.0,0.0,0.0,,0.11,0.0,0.0,
59228,Férin,59,1447,False,2.57,1.78,1.15,65.0,0.0,2.69,-0.12,-5.0
59258,Genech,59,2825,False,0.64,0.23,0.0,0.0,0.57,0.5,0.15,29.0
59260,Ghyvelde,59,4119,False,2.44,0.59,0.16,28.0,0.25,1.68,0.77,46.0
59262,Godewaersvelde,59,2053,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59265,Gommegnies,59,2300,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59266,Gondecourt,59,4050,False,3.11,0.76,0.71,94.0,0.34,3.54,-0.43,-12.0
59271,Grande-Synthe,59,20331,False,19.66,0.97,0.54,56.0,1.36,31.92,-12.26,-38.0
59275,Gruson,59,1237,True,1.49,1.22,0.09,7.0,2.26,1.71,-0.22,-13.0
59276,Guesnain,59,4656,False,3.41,0.73,0.0,0.0,0.56,4.17,-0.75,-18.0
59263,Gœulzin,59,1042,False,1.9,1.82,1.72,95.0,0.0,1.68,0.22,13.0
59278,Hallennes-lez-Haubourdin,59,4718,True,12.67,2.67,1.71,64.0,0.07,12.67,-0.0,-0.0
59279,Halluin,59,20829,True,24.4,1.18,0.37,31.0,0.61,24.57,-0.17,-1.0
59281,Hantay,59,1259,True,0.43,0.35,0.0,0.0,0.03,0.0,0.43,inf
59284,Hasnon,59,3874,False,8.02,2.08,1.44,69.0,3.52,8.71,-0.69,-8.0
59286,Haubourdin,59,14757,True,23.16,1.55,0.39,25.0,0.82,19.95,3.21,16.0
59292,Haveluy,59,3250,False,0.79,0.24,0.24,100.0,0.0,0.69,0.09,14.0
59293,Haverskerque,59,1401,False,0.67,0.48,0.0,0.0,2.01,0.67,-0.0,-0.0
59295,Hazebrouck,59,21498,False,27.98,1.28,0.31,24.0,0.03,19.96,8.02,40.0
59299,Hem,59,18713,True,19.81,1.07,0.23,21.0,0.34,14.19,5.62,40.0
59301,Hergnies,59,4463,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59303,Herlies,59,2323,True,5.49,2.4,2.4,100.0,0.17,6.55,-1.06,-16.0
59305,Herzeele,59,1634,False,0.13,0.08,0.08,100.0,0.37,0.13,0.0,0.0
59309,Hondschoote,59,4026,False,3.38,0.84,0.0,1.0,0.0,3.36,0.02,1.0
59314,Hornaing,59,3535,False,0.78,0.22,0.0,0.0,0.0,0.0,0.78,inf
59316,Houplin-Ancoisne,59,3275,True,0.87,0.26,0.0,0.0,2.79,0.41,0.46,111.0
59317,Houplines,59,7897,True,12.63,1.6,0.73,45.0,0.61,10.19,2.44,24.0
59297,Hélesmes,59,1921,False,0.0,0.0,0.0,,0.0,0.43,-0.43,-100.0
59302,Hérin,59,4129,False,1.9,0.45,0.45,100.0,0.71,0.0,1.9,inf
59320,Illies,59,1664,True,5.34,3.16,2.71,86.0,1.46,3.96,1.38,35.0
59051,La Bassée,59,6622,True,9.71,1.45,1.0,69.0,0.76,12.26,-2.56,-21.0
59143,La Chapelle-d'Armentières,59,8719,True,11.08,1.26,0.35,28.0,0.6,14.72,-3.63,-25.0
59268,La Gorgue,59,5599,False,0.68,0.12,0.12,100.0,0.03,0.68,0.0,0.0
59368,La Madeleine,59,22488,True,22.02,0.99,0.43,43.0,0.12,18.26,3.76,21.0
59564,La Sentinelle,59,3143,False,1.52,0.48,0.43,90.0,0.97,2.71,-1.19,-44.0
59327,Lallaing,59,6250,False,3.38,0.54,0.54,100.0,1.7,3.81,-0.43,-11.0
59328,Lambersart,59,27121,True,27.64,1.02,0.21,20.0,0.19,20.89,6.75,32.0
59329,Lambres-lez-Douai,59,4926,False,10.29,2.1,1.59,76.0,1.15,11.54,-1.25,-11.0
59330,Landas,59,2447,False,1.27,0.51,0.0,0.0,0.0,1.75,-0.48,-27.0
59332,Lannoy,59,1800,True,0.37,0.2,0.0,0.0,0.0,0.38,-0.02,-5.0
59334,Lauwin-Planque,59,1582,False,6.49,4.07,3.42,84.0,1.56,7.2,-0.71,-10.0
59180,Le Doulieu,59,1454,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59335,Lecelles,59,3004,False,14.18,4.65,2.76,59.0,0.0,12.76,1.42,11.0
59339,Leers,59,9588,True,6.75,0.71,0.24,35.0,0.33,5.86,0.89,15.0
59340,Leffrinckoucke,59,4124,False,9.08,2.21,1.07,48.0,2.16,7.8,1.28,16.0
59343,Lesquin,59,9241,True,20.44,2.18,1.94,89.0,0.03,17.97,2.46,14.0
59345,Lewarde,59,2403,False,1.91,0.8,0.08,10.0,2.5,1.92,-0.01,-1.0
59346,Lezennes,59,3019,True,11.16,3.76,2.69,71.0,0.18,12.69,-1.54,-12.0
59348,Lieu-Saint-Amand,59,1461,False,0.93,0.64,0.64,100.0,1.09,0.94,-0.01,-1.0
59350,Lille,59,236710,True,261.34,1.09,0.26,24.0,0.14,244.4,16.94,7.0
59352,Linselles,59,8192,True,11.23,1.37,0.1,8.0,0.06,10.65,0.58,5.0
59356,Lompret,59,2182,True,0.53,0.25,0.0,0.0,0.33,0.53,0.0,0.0
59360,Loos,59,23013,True,28.84,1.26,0.4,32.0,0.04,26.7,2.14,8.0
59361,Lourches,59,3814,False,0.51,0.14,0.0,0.0,0.21,0.6,-0.09,-15.0
59367,Lys-lez-Lannoy,59,13793,True,6.5,0.46,0.27,58.0,0.19,8.41,-1.92,-23.0
59369,Maing,59,4004,False,6.32,1.59,0.66,41.0,0.13,5.54,0.79,14.0
59375,Marchiennes,59,4539,False,8.74,1.94,0.0,0.0,2.56,8.64,0.1,1.0
59378,Marcq-en-Barœul,59,39356,True,41.21,1.03,0.55,53.0,0.32,40.59,0.62,2.0
59382,Maretz,59,1417,False,1.71,1.22,0.0,0.0,0.0,2.1,-0.39,-19.0
59383,Marly,59,12024,False,15.5,1.29,0.6,46.0,0.06,12.33,3.17,26.0
59387,Marquette-en-Ostrevant,59,1931,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59386,Marquette-lez-Lille,59,11213,True,7.94,0.68,0.15,23.0,0.7,9.54,-1.6,-17.0
59388,Marquillies,59,1982,True,1.98,1.0,1.0,100.0,0.0,0.0,1.98,inf
59390,Masny,59,4056,False,5.21,1.29,0.46,35.0,1.34,5.56,-0.35,-6.0
59392,Maubeuge,59,29066,False,19.47,0.67,0.09,14.0,0.37,18.31,1.16,6.0
59399,Merris,59,1049,False,0.71,0.66,0.0,0.0,0.0,0.71,0.0,1.0
59400,Merville,59,9652,False,3.83,0.39,0.15,38.0,0.53,3.73,0.1,3.0
59408,Moncheaux,59,1703,False,0.91,0.54,0.42,78.0,2.04,0.7,0.2,29.0
59409,Monchecourt,59,2501,False,0.0,0.0,0.0,,0.85,0.0,0.0,
59410,Mons-en-Barœul,59,21467,True,11.71,0.55,0.03,6.0,0.0,10.28,1.43,14.0
59411,Mons-en-Pévèle,59,2089,False,4.83,2.32,0.07,3.0,5.17,3.06,1.76,58.0
59414,Montigny-en-Ostrevent,59,4681,False,5.59,1.22,0.82,67.0,0.04,3.31,2.28,69.0
59416,Morbecque,59,2509,False,2.12,0.84,0.03,3.0,1.53,2.06,0.06,3.0
59418,Mortagne-du-Nord,59,1584,False,1.77,1.12,0.72,64.0,0.92,1.77,0.0,0.0
59419,Mouchin,59,1441,False,9.39,6.41,0.2,3.0,0.0,9.39,0.0,0.0
59421,Mouvaux,59,13173,True,11.19,0.85,0.64,76.0,0.05,16.27,-5.07,-31.0
59398,Mérignies,59,3360,False,6.15,1.77,1.43,81.0,1.98,10.01,-3.86,-39.0
59401,Méteren,59,2256,False,7.43,3.33,0.98,30.0,0.0,7.03,0.4,6.0
59423,Neuf-Berquin,59,1403,False,2.26,1.59,0.38,24.0,0.0,2.3,-0.04,-2.0
59426,Neuville-en-Ferrain,59,10160,True,10.75,1.06,0.62,58.0,0.05,11.62,-0.87,-7.0
59431,Nieppe,59,7606,False,10.91,1.42,0.35,24.0,0.74,12.11,-1.2,-10.0
59434,Nivelle,59,1379,False,4.75,3.41,2.3,67.0,2.44,5.46,-0.71,-13.0
59435,Nomain,59,2585,False,7.39,2.82,0.29,10.0,0.0,7.88,-0.49,-6.0
59447,Onnaing,59,8719,False,5.74,0.67,0.63,93.0,0.1,7.69,-1.95,-25.0
59449,Orchies,59,8455,False,18.38,2.19,1.05,48.0,0.5,17.79,0.59,3.0
59452,Ostricourt,59,5829,False,4.45,0.74,0.53,71.0,0.63,3.94,0.52,13.0
59456,Pecquencourt,59,6232,False,11.02,1.79,1.04,58.0,2.63,17.5,-6.48,-37.0
59459,Petite-Forêt,59,5058,False,2.74,0.54,0.52,96.0,0.19,2.14,0.6,28.0
59462,Phalempin,59,4849,False,6.47,1.33,0.7,52.0,0.13,4.25,2.22,52.0
59466,Pont-à-Marcq,59,2883,False,7.18,2.35,1.67,71.0,0.81,5.11,2.08,41.0
59475,Prouvy,59,2173,False,1.03,0.47,0.44,95.0,0.47,2.23,-1.2,-54.0
59477,Provin,59,4469,True,2.19,0.49,0.09,18.0,0.0,0.0,2.19,inf
59470,Prémesques,59,2060,True,2.23,1.1,0.25,23.0,0.0,2.31,-0.07,-3.0
59471,Préseau,59,2065,False,2.4,1.15,0.0,0.0,0.0,2.83,-0.43,-15.0
59457,Pérenchies,59,8519,True,2.95,0.35,0.0,1.0,0.0,2.92,0.03,1.0
59458,Péronne-en-Mélantois,59,1004,True,0.0,0.0,0.0,,2.93,0.93,-0.93,-100.0
59479,Quarouble,59,3131,False,4.18,1.33,0.98,74.0,0.51,2.08,2.1,101.0
59482,Quesnoy-sur-Deûle,59,6920,True,10.97,1.6,0.22,14.0,1.87,8.5,2.47,29.0
59485,Quiévy,59,1801,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59487,Radinghem-en-Weppes,59,1393,True,0.21,0.15,0.0,0.0,0.0,0.0,0.21,inf
59489,Raimbeaucourt,59,4015,False,1.7,0.42,0.06,15.0,1.55,1.21,0.5,41.0
59491,Raismes,59,12055,False,15.66,1.29,0.54,42.0,0.59,29.44,-13.77,-47.0
59497,Renescure,59,2128,False,0.2,0.09,0.09,100.0,0.0,0.0,0.2,inf
59499,Rexpoëde,59,1992,False,1.79,0.9,0.0,0.0,0.13,1.79,0.0,0.0
59501,Rieulay,59,1243,False,8.09,6.6,0.0,0.0,5.28,9.9,-1.81,-18.0
59502,Rieux-en-Cambrésis,59,1438,False,1.44,1.0,0.0,0.0,1.3,0.75,0.68,91.0
59507,Ronchin,59,19437,True,19.53,1.0,0.28,28.0,0.03,18.94,0.59,3.0
59508,Roncq,59,13784,True,31.82,2.29,0.96,42.0,0.46,27.36,4.46,16.0
59509,Roost-Warendin,59,5976,False,6.33,1.06,0.56,53.0,0.79,6.19,0.15,2.0
59511,Rosult,59,1973,False,8.42,4.22,0.66,16.0,0.0,7.9,0.53,7.0
59512,Roubaix,59,98892,True,94.88,0.95,0.18,19.0,0.24,79.46,15.41,19.0
59519,Rumegies,59,1740,False,3.42,1.97,0.44,22.0,0.0,2.78,0.64,23.0
59486,Râches,59,2660,False,7.76,2.93,2.08,71.0,1.02,8.33,-0.58,-7.0
59504,Rœulx,59,3779,False,1.46,0.39,0.18,47.0,0.0,4.73,-3.27,-69.0
59522,Sailly-lez-Lannoy,59,1949,True,5.36,2.77,1.14,41.0,0.0,5.41,-0.05,-1.0
59523,Sainghin-en-Mélantois,59,2848,True,11.26,3.96,2.65,67.0,1.85,9.59,1.67,17.0
59524,Sainghin-en-Weppes,59,5641,True,6.3,1.11,0.65,58.0,0.41,4.06,2.24,55.0
59526,Saint-Amand-les-Eaux,59,15980,False,30.79,1.92,1.18,61.0,1.23,34.17,-3.39,-10.0
59527,Saint-André-lez-Lille,59,12942,True,17.78,1.38,0.71,51.0,0.81,14.77,3.01,20.0
59535,Saint-Jans-Cappel,59,1642,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59544,Saint-Saulve,59,11117,False,15.69,1.41,0.52,37.0,0.33,16.24,-0.56,-3.0
59546,Saint-Sylvestre-Cappel,59,1154,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59550,Salomé,59,3051,True,0.1,0.03,0.03,100.0,2.89,0.08,0.02,22.0
59551,Saméon,59,1738,False,0.86,0.5,0.0,0.0,0.0,0.0,0.86,inf
59553,Santes,59,5660,True,7.4,1.31,0.53,41.0,0.82,4.39,3.01,68.0
59557,Saultain,59,2553,False,4.78,1.89,0.82,43.0,1.42,5.42,-0.64,-12.0
59559,Sebourg,59,1977,False,0.0,0.0,0.0,,3.88,0.18,-0.18,-100.0
59560,Seclin,59,12834,True,14.22,1.09,0.4,36.0,1.42,13.3,0.92,7.0
59566,Sequedin,59,4762,True,6.46,1.37,1.09,80.0,0.76,5.71,0.75,13.0
59569,Sin-le-Noble,59,15603,False,13.98,0.88,0.71,81.0,0.95,13.62,0.36,3.0
59574,Somain,59,11790,False,14.21,1.19,0.35,29.0,0.43,10.82,3.39,31.0
59578,Steenbecque,59,1650,False,0.0,0.0,0.0,,0.0,0.32,-0.32,-100.0
59580,Steenvoorde,59,4324,False,10.67,2.48,1.89,76.0,0.07,7.72,2.94,38.0
59581,Steenwerck,59,3540,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59585,Templemars,59,3635,True,4.91,1.35,0.6,44.0,1.56,5.99,-1.08,-18.0
59586,Templeuve-en-Pévèle,59,6705,False,6.84,0.98,0.31,31.0,0.67,7.04,-0.2,-3.0
59592,Thumeries,59,4029,False,0.24,0.06,0.0,0.0,1.68,0.24,0.0,0.0
59594,Thun-Saint-Amand,59,1110,False,2.49,2.26,1.34,59.0,3.12,2.34,0.15,6.0
59598,Toufflers,59,3910,True,4.2,1.06,0.75,71.0,0.0,7.33,-3.13,-43.0
59599,Tourcoing,59,99011,True,80.8,0.81,0.15,18.0,0.19,63.4,17.4,27.0
59602,Tressin,59,1395,True,5.26,3.79,2.44,64.0,0.39,5.52,-0.26,-5.0
59603,Trith-Saint-Léger,59,6124,False,3.99,0.66,0.55,83.0,0.0,0.0,3.99,inf
59588,Téteghem-Coudekerque-Village,59,8384,False,19.89,2.4,0.12,5.0,5.03,21.82,-1.93,-9.0
59606,Valenciennes,59,42991,False,44.45,1.03,0.46,44.0,0.35,35.6,8.84,25.0
59609,Vendeville,59,1546,True,0.9,0.56,0.56,100.0,1.13,0.0,0.9,inf
59610,Verchain-Maugré,59,1102,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59611,Verlinghem,59,2673,True,7.69,2.87,0.05,2.0,0.77,9.15,-1.46,-16.0
59615,Vieux-Berquin,59,2649,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59616,Vieux-Condé,59,10446,False,4.17,0.4,0.39,99.0,1.21,3.07,1.09,36.0
59009,Villeneuve-d'Ascq,59,62067,True,89.72,1.44,0.84,58.0,1.04,88.37,1.35,2.0
59622,Villers-en-Cauchies,59,1161,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59629,Vred,59,1311,False,0.66,0.5,0.0,0.0,1.18,0.73,-0.07,-10.0
59630,Wahagnies,59,2605,False,7.26,2.8,1.98,71.0,0.0,3.97,3.29,83.0
59632,Wallers,59,5598,False,11.27,2.01,0.28,14.0,0.0,9.38,1.88,20.0
59636,Wambrechies,59,10798,True,21.39,1.95,1.42,73.0,1.81,20.22,1.16,6.0
59637,Wandignies-Hamage,59,1318,False,0.0,0.0,0.0,,3.6,0.0,0.0,
59638,Wannehain,59,1331,False,0.45,0.34,0.34,100.0,0.0,0.45,0.0,0.0
59639,Wargnies-le-Grand,59,1101,False,3.19,2.86,0.0,0.0,0.0,0.0,3.19,inf
59641,Warhem,59,2022,False,4.71,2.31,0.0,0.0,0.0,4.71,0.0,0.0
59646,Wasquehal,59,20836,True,20.76,1.0,0.49,49.0,0.42,21.94,-1.18,-5.0
59647,Watten,59,2577,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59648,Wattignies,59,15531,True,8.91,0.57,0.05,8.0,0.17,7.42,1.49,20.0
59650,Wattrelos,59,40836,True,23.95,0.59,0.36,61.0,0.13,22.8,1.15,5.0
59651,Wavrechain-sous-Denain,59,1616,False,1.6,1.0,0.98,98.0,0.0,1.58,0.02,1.0
59653,Wavrin,59,7773,True,14.03,1.8,1.3,72.0,2.24,7.57,6.46,85.0
59654,Waziers,59,7354,False,4.63,0.63,0.25,39.0,0.58,4.26,0.37,9.0
59656,Wervicq-Sud,59,5299,True,4.61,0.85,0.43,51.0,0.53,3.62,0.99,27.0
59660,Willems,59,2996,True,3.98,1.34,0.22,17.0,0.01,3.76,0.22,6.0
59662,Winnezeele,59,1300,False,0.0,0.0,0.0,,0.0,0.0,0.0,
59663,Wormhout,59,5705,False,12.83,2.27,0.0,0.0,0.6,14.79,-1.95,-13.0
59185,Écaillon,59,1910,False,3.48,1.85,1.03,55.0,1.55,3.48,-0.0,-0.0
62004,Achicourt,62,7938,False,2.78,0.35,0.16,46.0,0.47,3.81,-1.03,-27.0
62013,Agny,62,1879,False,1.85,0.99,0.21,21.0,0.28,1.71,0.14,8.0
62014,Aire-sur-la-Lys,62,9585,False,18.79,1.96,1.47,75.0,2.78,24.38,-5.6,-23.0
62019,Aix-Noulette,62,3913,False,1.3,0.33,0.04,12.0,2.33,4.04,-2.74,-68.0
62032,Angres,62,4842,False,0.0,0.0,0.0,100.0,0.81,0.0,0.0,0.0
62033,Annay,62,4517,False,7.07,1.56,1.08,69.0,0.0,7.36,-0.29,-4.0
62034,Annequin,62,2145,False,2.6,1.21,0.57,47.0,0.0,1.21,1.39,115.0
62035,Annezin,62,5813,False,4.35,0.75,0.75,100.0,0.73,4.7,-0.36,-8.0
62037,Anzin-Saint-Aubin,62,2806,False,7.34,2.59,1.99,77.0,0.67,10.86,-3.52,-32.0
62040,Arques,62,9655,False,5.52,0.58,0.16,27.0,0.25,5.13,0.39,8.0
62041,Arras,62,42600,False,61.49,1.44,0.21,14.0,0.28,54.17,7.32,14.0
62042,Athies,62,1059,False,2.98,2.84,0.56,20.0,1.54,3.07,-0.09,-3.0
