code_insee,commune,dep,PMUN,dans_MEL,rga_pct_faible,rga_pct_moyen,rga_pct_fort,rga_pct_moyen_fort,rga_alea_dominant
59650,Wattrelos,59,40836,True,17.0,79.7,0.0,79.7,moyen
59651,Wavrechain-sous-Denain,59,1616,False,97.3,0.0,0.0,0.0,faible
59653,Wavrin,59,7773,True,54.7,44.5,0.2,44.7,faible
59654,Waziers,59,7354,False,78.2,0.0,21.4,21.4,faible
59656,Wervicq-Sud,59,5299,True,17.2,60.1,21.5,81.6,moyen
59660,Willems,59,2996,True,31.8,64.8,0.0,64.8,moyen
59662,Winnezeele,59,1300,False,8.5,78.1,11.8,89.9,moyen
59663,Wormhout,59,5705,False,11.5,76.5,11.7,88.2,moyen
59185,Écaillon,59,1910,False,86.3,0.0,11.4,11.4,faible
62004,Achicourt,62,7938,False,70.9,0.0,0.0,0.0,faible
62013,Agny,62,1879,False,63.5,0.0,0.0,0.0,faible
62014,Aire-sur-la-Lys,62,9585,False,54.6,43.4,0.0,43.4,faible
62019,Aix-Noulette,62,3913,False,67.0,10.7,0.0,10.7,faible
62032,Angres,62,4842,False,47.0,4.1,0.0,4.1,nul
62033,Annay,62,4517,False,80.4,0.0,0.0,0.0,faible
62034,Annequin,62,2145,False,63.0,0.0,0.0,0.0,faible
62035,Annezin,62,5813,False,14.4,81.4,0.7,82.1,moyen
62037,Anzin-Saint-Aubin,62,2806,False,43.4,0.0,0.0,0.0,nul
62040,Arques,62,9655,False,26.1,35.7,35.5,71.2,moyen
62041,Arras,62,42600,False,39.3,0.0,0.0,0.0,nul
62042,Athies,62,1059,False,71.8,0.0,0.0,0.0,faible
62048,Auchel,62,10062,False,86.9,0.0,0.0,0.0,faible
62051,Auchy-les-Mines,62,4623,False,95.1,0.0,0.0,0.0,faible
62065,Avion,62,17672,False,87.3,2.2,0.0,2.2,faible
62073,Bailleul-Sir-Berthoult,62,1430,False,76.0,0.0,0.0,0.0,faible
62083,Barlin,62,7366,False,88.7,3.4,0.0,3.4,faible
62099,Beaurains,62,5515,False,75.2,0.0,0.0,0.0,faible
62471,Bellinghem,62,1087,False,51.2,6.9,0.0,6.9,faible
62126,Beuvry,62,9111,False,64.2,30.0,0.0,30.0,faible
62128,Biache-Saint-Vaast,62,4481,False,86.1,7.6,0.0,7.6,faible
62132,Billy-Berclau,62,5059,False,99.8,0.0,0.0,0.0,faible
62133,Billy-Montigny,62,8117,False,59.8,0.0,0.0,0.0,faible
62160,Boulogne-sur-Mer,62,40910,False,0.9,44.8,0.0,44.8,nul
62164,Bourlon,62,1140,False,38.6,17.3,8.3,25.6,faible
62170,Bouvigny-Boyeffles,62,2371,False,81.9,2.6,0.0,2.6,faible
62173,Brebières,62,5169,False,84.6,15.4,0.0,15.4,faible
62178,Bruay-la-Buissière,62,21827,False,70.7,18.1,0.1,18.2,faible
62181,Bucquoy,62,1480,False,88.2,0.0,0.0,0.0,faible
62186,Bully-les-Mines,62,12221,False,47.3,0.0,0.0,0.0,nul
62188,Burbure,62,2819,False,70.9,0.2,0.0,0.2,faible
62190,Busnes,62,1245,False,9.7,85.3,5.0,90.3,moyen
62119,Béthune,62,24992,False,49.0,36.0,0.0,36.0,faible
62193,Calais,62,67380,False,24.1,30.5,15.1,45.6,moyen
62194,Calonne-Ricouart,62,5463,False,76.5,0.0,0.0,0.0,faible
62195,Calonne-sur-la-Lys,62,1560,False,12.4,87.6,0.0,87.6,moyen
62200,Cambrin,62,1228,False,99.7,0.0,0.0,0.0,faible
62215,Carvin,62,17852,False,53.2,39.5,0.0,39.5,faible
62224,Chocques,62,2824,False,34.0,56.4,1.9,58.3,moyen
62240,Corbehem,62,2266,False,89.1,9.6,0.1,9.7,faible
62249,Courcelles-lès-Lens,62,8213,False,81.1,9.1,0.0,9.1,faible
62250,Courrières,62,10199,False,39.2,55.4,0.0,55.4,moyen
62262,Cuinchy,62,1754,False,93.8,0.8,0.0,0.8,faible
62263,Dainville,62,5703,False,55.0,0.0,0.0,0.0,faible
62274,Dourges,62,5997,False,47.4,49.5,0.0,49.5,moyen
62276,Douvrin,62,5795,False,88.0,0.0,0.0,0.0,faible
62277,Drocourt,62,2943,False,82.6,0.0,0.0,0.0,faible
62279,Duisans,62,1383,False,59.4,0.0,0.0,0.0,faible
62310,Essars,62,1755,False,12.1,87.9,0.0,87.9,moyen
62311,Estevelles,62,2024,False,60.3,0.0,0.0,0.0,faible
62323,Fampoux,62,1219,False,52.3,8.9,0.0,8.9,faible
62330,Festubert,62,1266,False,40.1,59.9,0.0,59.9,moyen
62331,Feuchy,62,1015,False,53.6,0.0,0.0,0.0,faible
62338,Fleurbaix,62,2862,False,0.0,100.0,0.0,100.0,moyen
62349,Fouquereuil,62,1632,False,24.2,74.6,0.0,74.6,moyen
62350,Fouquières-lès-Béthune,62,1115,False,24.5,75.5,0.0,75.5,moyen
62351,Fouquières-lès-Lens,62,6233,False,65.0,0.0,0.0,0.0,faible
62371,Givenchy-en-Gohelle,62,2026,False,71.7,13.1,0.0,13.1,faible
62373,Givenchy-lès-la-Bassée,62,1006,False,37.9,57.3,0.0,57.3,moyen
62376,Gonnehem,62,2507,False,31.8,46.4,21.8,68.2,moyen
62383,Gouy-sous-Bellonne,62,1396,False,26.2,32.5,0.0,32.5,nul
62386,Grenay,62,6704,False,20.3,0.0,0.0,0.0,nul
62391,Guarbecque,62,1369,False,17.1,82.9,0.0,82.9,moyen
62400,Haillicourt,62,4884,False,82.4,0.0,0.0,0.0,faible
62401,Haisnes,62,4427,False,58.1,0.0,0.0,0.0,faible
62412,Hardinghen,62,1219,False,71.3,0.1,20.5,20.6,faible
62413,Harnes,62,12317,False,93.8,0.0,0.0,0.0,faible
62443,Hersin-Coupigny,62,6147,False,85.4,3.2,0.0,3.2,faible
62452,Heuringhem,62,1379,False,38.2,30.0,15.0,45.0,faible
62454,Hinges,62,2417,False,2.9,62.8,34.4,97.2,moyen
62457,Houdain,62,7030,False,99.4,0.0,0.0,0.0,faible
62464,Hulluch,62,3367,False,34.8,0.0,0.0,0.0,nul
62427,Hénin-Beaumont,62,26035,False,87.1,3.1,0.0,3.1,faible
62476,Izel-lès-Équerchin,62,1058,False,89.0,0.0,0.0,0.0,faible
62252,La Couture,62,2616,False,15.7,84.3,0.0,84.3,moyen
62479,Labeuvrière,62,1654,False,19.8,64.3,0.0,64.3,moyen
62480,Labourse,62,2894,False,37.1,0.0,0.0,0.0,nul
62489,Lapugnoy,62,3518,False,13.9,47.3,17.1,64.4,moyen
62491,Laventie,62,4969,False,1.0,99.0,0.0,99.0,moyen
62497,Leforest,62,7179,False,28.2,36.8,12.4,49.2,moyen
62498,Lens,62,32618,False,45.7,0.3,0.0,0.3,nul
62502,Lestrem,62,5073,False,12.1,87.9,0.0,87.9,moyen
62907,Libercourt,62,8138,False,32.2,56.8,0.0,56.8,moyen
62516,Lillers,62,9988,False,67.1,24.6,4.9,29.5,faible
62510,Liévin,62,30149,False,33.4,4.0,0.0,4.0,nul
62520,Locon,62,2342,False,6.5,93.1,0.4,93.5,moyen
62523,Loison-sous-Lens,62,5255,False,80.1,0.0,0.0,0.0,faible
62525,Longuenesse,62,10568,False,42.4,43.8,0.2,44.0,moyen
62528,Loos-en-Gohelle,62,6896,False,15.6,0.0,0.0,0.0,nul
62529,Lorgies,62,1609,False,3.6,83.4,0.8,84.2,moyen
62540,Maisnil-lès-Ruitz,62,1691,False,89.0,5.9,0.0,5.9,faible
62543,Mametz,62,1998,False,65.6,18.5,0.0,18.5,faible
62557,Marœuil,62,2441,False,77.6,0.0,0.0,0.0,faible
62563,Mazingarbe,62,8068,False,31.3,0.0,0.0,0.0,nul
62573,Meurchin,62,3717,False,73.0,0.0,0.0,0.0,faible
62584,Mont-Bernanchon,62,1316,False,6.3,85.7,7.9,93.6,moyen
62587,Montigny-en-Gohelle,62,9870,False,73.6,7.9,0.0,7.9,faible
62570,Méricourt,62,11431,False,86.7,0.5,0.0,0.5,faible
62606,Neuve-Chapelle,62,1419,False,0.0,100.0,0.0,100.0,moyen
62609,Neuville-Saint-Vaast,62,1603,False,81.0,0.0,0.0,0.0,faible
62620,Norrent-Fontes,62,1362,False,91.5,0.0,0.0,0.0,faible
62624,Noyelles-Godault,62,5906,False,68.6,25.8,0.0,25.8,faible
62626,Noyelles-lès-Vermelles,62,2294,False,64.0,0.0,0.0,0.0,faible
62628,Noyelles-sous-Lens,62,6659,False,98.4,0.0,0.0,0.0,faible
62617,Nœux-les-Mines,62,11520,False,51.7,14.5,0.0,14.5,faible
62637,Oignies,62,10210,False,56.3,32.0,0.0,32.0,faible
62638,Oisy-le-Verger,62,1188,False,27.6,28.9,0.0,28.9,nul
62666,Pont-à-Vendin,62,3136,False,56.1,0.0,0.0,0.0,faible
62684,Racquinghem,62,2214,False,24.8,67.8,6.7,74.5,moyen
62693,Rebreuve-Ranchicourt,62,1071,False,100.0,0.0,0.0,0.0,faible
62706,Richebourg,62,2618,False,2.9,97.1,0.0,97.1,moyen
62712,Rivière,62,1124,False,84.7,0.7,0.0,0.7,faible
62713,Robecq,62,1329,False,16.6,82.5,0.9,83.4,moyen
62724,Rouvroy,62,8797,False,94.8,0.0,0.0,0.0,faible
62727,Ruitz,62,1509,False,85.7,1.5,0.0,1.5,faible
62718,Rœux,62,1390,False,26.4,44.8,0.0,44.8,moyen
62735,Sailly-Labourse,62,2577,False,75.9,0.0,0.0,0.0,faible
62736,Sailly-sur-la-Lys,62,3883,False,11.3,88.7,0.0,88.7,moyen
62737,Sains-en-Gohelle,62,5995,False,55.6,0.0,0.0,0.0,faible
62753,Saint-Laurent-Blangy,62,6507,False,38.4,0.0,0.0,0.0,nul
62764,Saint-Nicolas,62,4603,False,34.2,0.0,0.0,0.0,nul
62765,Saint-Omer,62,14661,False,95.0,3.0,0.0,3.0,faible
62770,Saint-Venant,62,3022,False,21.6,78.3,0.0,78.3,moyen
62744,Sainte-Catherine,62,3594,False,79.4,0.0,0.0,0.0,faible
62771,Sallaumines,62,9650,False,99.7,0.0,0.0,0.0,faible
62793,Servins,62,1134,False,93.1,0.0,0.0,0.0,faible
62801,Souchez,62,2658,False,89.5,1.0,0.0,1.0,faible
62810,Thélus,62,1271,False,74.9,0.0,0.0,0.0,faible
62817,Tilloy-lès-Mofflaines,62,1519,False,46.5,0.0,0.0,0.0,nul
62836,Vaudricourt,62,1104,False,24.1,48.6,0.0,48.6,moyen
62842,Vendin-le-Vieil,62,8381,False,90.6,0.0,0.0,0.0,faible
62841,Vendin-lès-Béthune,62,2393,False,0.0,89.7,5.9,95.6,moyen
62846,Vermelles,62,4748,False,33.9,0.0,0.0,0.0,nul
62847,Verquigneul,62,2016,False,22.5,77.5,0.0,77.5,moyen
62848,Verquin,62,3459,False,1.3,69.1,0.0,69.1,moyen
62861,Vimy,62,4307,False,81.9,5.3,0.0,5.3,faible
62863,Violaines,62,3831,False,34.2,61.2,0.0,61.2,moyen
62865,Vitry-en-Artois,62,4787,False,60.7,17.5,0.0,17.5,faible
62869,Wailly,62,1081,False,67.7,0.2,0.0,0.2,faible
62875,Wardrecques,62,1346,False,14.9,84.2,1.0,85.2,moyen
62895,Wingles,62,8742,False,100.0,0.0,0.0,0.0,faible
62905,Zudausques,62,1040,False,72.2,0.0,0.0,0.0,faible
62284,Écourt-Saint-Quentin,62,1691,False,64.3,9.1,0.0,9.1,faible
62291,Éleu-dit-Leauwette,62,2829,False,34.4,7.3,0.0,7.3,nul
62321,Évin-Malmaison,62,4674,False,41.6,44.9,0.0,44.9,moyen
