code_insee,commune,dep,PMUN,dans_MEL,cambriolages_taux,degradations_taux,violences_hors_famille_taux,vols_dans_vehicules_taux,vols_de_vehicule_taux,vols_sans_violence_taux,cambriolages_taux_2024,degradations_taux_2024,violences_hors_famille_taux_2024,vols_dans_vehicules_taux_2024,vols_de_vehicule_taux_2024,vols_sans_violence_taux_2024,securite_pct_estime
59043,Bailleul,59,14869,False,5.96,8.85,3.01,1.9,1.36,5.32,8.09,8.48,3.26,2.38,1.36,4.34,0.0
59044,Baisieux,59,5177,True,6.06,5.16,1.42,1.22,0.91,3.7,4.88,3.79,1.8,1.08,0.9,4.33,0.0
59052,Bauvin,59,4999,True,4.23,7.49,2.17,1.49,2.11,2.63,3.9,7.62,3.43,1.33,1.52,2.48,0.0
59054,Bavinchove,59,1046,False,4.68,4.05,4.17,0.83,1.41,2.08,5.27,4.14,1.38,0.0,1.62,2.09,0.83
59064,Bellaing,59,1329,False,4.68,8.68,1.41,0.83,1.41,2.08,5.27,7.69,1.38,0.0,1.62,2.09,0.67
59071,Bersée,59,2296,False,8.96,3.94,1.41,1.31,2.83,2.08,9.95,4.31,1.38,1.43,2.59,2.09,0.5
59079,Beuvrages,59,6784,False,2.51,8.68,3.29,1.32,1.47,3.09,1.71,8.83,3.83,1.18,1.47,3.24,0.0
59080,Beuvry-la-Forêt,59,2834,False,4.68,4.08,1.41,1.31,1.41,3.15,5.27,3.84,1.38,1.43,1.62,2.09,0.83
59082,Bierne,59,1772,False,4.68,4.22,1.41,1.31,1.41,2.08,5.27,4.66,1.38,1.43,1.62,2.09,0.83
59084,Blaringhem,59,2043,False,4.68,4.05,1.41,0.48,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59086,Boeschepe,59,2179,False,4.68,2.99,1.41,1.31,1.41,2.08,5.27,3.12,1.38,1.43,1.62,2.09,0.83
59088,Bois-Grenier,59,1793,True,14.81,5.48,1.41,1.31,1.41,2.08,10.15,3.94,1.38,1.43,1.62,2.09,0.67
59089,Bollezeele,59,1423,False,4.68,4.05,0.46,1.31,0.38,2.08,5.27,4.14,1.38,1.43,0.0,2.09,0.83
59090,Bondues,59,9713,True,16.65,5.86,1.2,5.56,3.57,5.32,14.48,5.64,0.92,4.31,3.69,4.21,0.0
59094,Bourbourg,59,7023,False,3.37,9.94,3.22,2.69,1.41,3.6,3.27,8.37,2.74,4.76,1.62,3.03,0.17
59096,Bourghelles,59,1673,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59098,Bousbecque,59,4847,True,5.76,4.09,1.41,1.68,2.88,2.08,7.2,5.02,1.38,1.41,4.02,2.21,0.17
59105,Bouvignies,59,1548,False,4.68,4.05,1.41,0.83,1.02,2.08,5.27,4.14,1.38,0.0,1.62,2.09,0.83
59112,Bruay-sur-l'Escaut,59,11309,False,5.4,10.32,4.04,1.75,1.92,3.21,5.73,10.05,3.44,1.63,2.23,2.58,0.0
59114,Bruille-Saint-Amand,59,1682,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59113,Bruille-lez-Marchiennes,59,1350,False,4.68,5.33,1.41,1.31,1.41,2.08,5.27,5.97,1.38,1.43,1.62,2.09,0.83
59117,Bugnicourt,59,1074,False,4.68,4.05,1.41,1.31,1.41,3.51,5.27,4.14,1.38,1.43,1.62,6.39,0.83
59122,Cambrai,59,31425,False,4.81,16.23,7.9,2.87,2.19,10.01,4.15,14.04,7.8,2.31,2.06,9.67,0.0
59123,Camphin-en-Carembault,59,1714,False,8.64,5.57,1.41,1.31,1.41,2.08,10.37,3.45,1.38,1.43,1.62,2.09,0.67
59124,Camphin-en-Pévèle,59,2501,False,13.83,2.39,1.41,2.02,1.41,2.08,12.45,2.78,1.38,3.57,1.62,2.09,0.5
59126,Cantin,59,1770,False,4.68,4.22,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59128,Capinghem,59,2474,True,7.2,10.28,1.56,9.57,1.41,7.45,5.27,11.73,1.83,4.4,1.62,8.8,0.33
59129,Cappelle-en-Pévèle,59,2262,False,4.68,5.61,1.41,1.31,1.41,2.08,5.27,3.99,1.38,1.43,1.62,2.09,0.83
59133,Carnin,59,1076,True,6.88,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59135,Cassel,59,2227,False,6.83,9.53,1.41,1.31,1.41,2.45,11.7,7.73,1.38,1.43,1.62,2.09,0.67
59120,Caëstre,59,2006,False,5.77,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59146,Chéreng,59,3001,True,14.8,3.38,1.41,1.31,2.83,2.08,18.38,2.27,1.38,1.43,3.25,2.09,0.5
59152,Comines,59,12671,True,4.97,7.4,2.28,2.07,2.81,4.57,5.64,7.54,3.06,1.81,4.4,4.63,0.0
59153,Condé-sur-l'Escaut,59,9396,False,7.9,11.19,5.21,1.62,1.8,4.78,7.46,12.86,5.4,1.95,1.84,5.08,0.0
59155,Coudekerque-Branche,59,20765,False,4.4,8.06,3.08,1.73,0.85,3.64,3.33,7.79,2.74,2.02,1.01,4.14,0.0
59156,Courchelettes,59,2881,False,4.68,7.47,2.47,1.31,1.41,2.08,5.27,7.36,4.55,1.43,1.62,2.09,0.67
59158,Coutiches,59,3246,False,5.57,2.84,1.41,1.31,1.41,2.08,4.36,3.49,1.38,1.43,1.62,2.09,0.67
59163,Croix,59,20778,True,11.73,8.17,2.13,5.67,3.44,6.82,10.37,8.12,2.43,6.27,4.18,5.98,0.0
59165,Cuincy,59,6472,False,9.27,6.89,1.8,1.46,3.19,2.62,9.05,5.88,2.16,1.43,2.78,2.16,0.17
59166,Curgies,59,1347,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59168,Cysoing,59,4722,False,5.52,4.93,1.46,1.31,2.02,4.6,8.71,4.75,1.03,1.43,2.89,4.34,0.17
59170,Dechy,59,5351,False,8.7,10.68,4.74,3.06,1.87,6.8,7.79,8.99,4.68,3.0,2.06,6.74,0.0
59172,Denain,59,20640,False,6.6,17.92,6.28,3.34,2.7,10.12,5.17,17.86,7.26,4.31,2.81,9.24,0.0
59173,Deûlémont,59,1819,True,4.68,3.36,1.41,1.77,1.41,2.74,5.27,2.81,1.38,2.81,1.62,3.37,0.5
59670,Don,59,1412,True,4.68,6.72,1.41,1.31,1.41,2.08,5.27,7.93,1.38,1.43,1.62,2.09,0.83
59178,Douai,59,39648,False,7.37,14.52,7.99,5.9,3.04,11.19,8.65,12.97,7.23,10.86,2.58,10.93,0.0
59179,Douchy-les-Mines,59,10207,False,3.63,9.66,3.17,2.11,1.91,3.59,3.4,8.41,3.26,2.28,2.57,2.97,0.0
59183,Dunkerque,59,86788,False,5.58,12.11,5.22,2.84,1.73,9.97,4.64,10.69,5.17,3.15,1.53,9.85,0.0
59189,Eecke,59,1221,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59193,Emmerin,59,3053,True,8.13,6.28,1.41,1.77,3.41,2.53,11.08,5.95,1.38,1.43,2.97,2.64,0.33
59196,Ennetières-en-Weppes,59,1293,True,7.84,12.47,1.41,17.93,1.41,10.4,5.27,8.59,1.38,27.34,1.62,9.38,0.5
59197,Ennevelin,59,2356,False,4.68,4.97,1.41,1.58,1.41,2.08,5.27,6.21,1.38,1.43,1.62,2.09,0.83
59202,Erquinghem-Lys,59,5356,True,5.13,5.93,1.41,1.31,2.12,2.0,5.27,7.86,1.38,1.43,2.25,2.06,0.5
59203,Erre,59,1574,False,4.68,5.48,1.41,1.31,1.41,2.08,5.27,3.15,1.38,1.43,1.62,2.09,0.83
59205,Escaudain,59,9253,False,7.75,10.61,2.58,2.1,1.84,2.76,6.13,11.4,2.66,3.65,1.88,2.77,0.0
59207,Escautpont,59,4152,False,9.39,9.61,3.29,1.31,2.94,3.42,10.29,12.38,6.43,1.43,3.57,3.09,0.17
59210,Esquelbecq,59,2134,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.68,1.38,1.43,1.62,2.09,0.83
59212,Estaires,59,6496,False,4.24,8.63,3.11,0.97,1.74,4.8,3.78,9.2,3.68,1.23,2.61,4.75,0.0
59214,Estrées,59,1116,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59220,Faches-Thumesnil,59,18110,True,12.13,8.83,1.76,9.99,3.9,6.81,12.13,9.45,2.26,11.65,3.87,5.75,0.0
59221,Famars,59,2475,False,4.28,6.07,1.41,1.31,2.14,4.59,4.07,7.68,1.38,1.43,1.62,4.45,0.5
59222,Faumont,59,2251,False,4.68,4.7,1.41,1.31,1.41,2.08,5.27,5.27,1.38,1.43,1.62,2.09,0.83
59227,Fenain,59,5529,False,3.54,5.72,1.95,1.16,1.4,2.99,4.25,4.78,2.21,1.1,1.29,2.76,0.0
59234,Flers-en-Escrebieux,59,5642,False,6.49,11.3,3.06,5.52,3.12,8.44,10.7,9.96,3.13,7.74,4.42,9.59,0.0
59239,Flines-lez-Raches,59,5610,False,4.51,5.07,1.41,1.92,1.6,2.08,2.78,5.22,1.38,2.44,2.61,2.09,0.33
59238,Flines-lès-Mortagne,59,1649,False,4.68,4.96,1.41,1.31,1.41,2.08,5.27,4.75,1.38,1.43,1.62,2.09,0.83
59244,Fontaine-Notre-Dame,59,1763,False,4.68,8.74,1.41,1.31,1.41,2.08,5.27,12.54,1.38,1.43,1.62,2.09,0.83
59247,Forest-sur-Marque,59,1659,True,20.45,5.22,1.41,1.31,6.82,2.08,14.6,4.21,1.38,1.43,7.82,2.09,0.5
59250,Fournes-en-Weppes,59,2190,True,4.68,4.9,1.41,1.31,2.53,2.08,5.27,4.59,1.38,1.43,3.21,2.09,0.67
59252,Frelinghien,59,2581,True,9.61,5.23,1.41,1.31,1.41,4.21,9.33,6.13,1.38,1.43,1.62,1.92,0.5
59253,Fresnes-sur-Escaut,59,7486,False,7.43,10.11,4.42,1.15,2.44,3.2,9.16,12.24,4.08,0.95,2.72,3.81,0.0
59256,Fretin,59,3227,True,4.68,6.32,1.41,4.15,5.18,4.87,5.27,6.22,1.38,6.53,8.4,3.73,0.33
59257,Fromelles,59,1076,True,6.92,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59224,Féchain,59,1658,False,4.68,7.11,1.41,1.31,1.41,2.08,5.27,9.17,1.38,1.43,1.62,2.09,0.83
59228,Férin,59,1447,False,4.68,7.43,1.41,5.57,1.41,2.08,5.27,10.47,1.38,5.59,1.62,2.09,0.67
59258,Genech,59,2825,False,4.68,4.28,1.41,1.31,1.41,4.99,5.27,5.35,1.38,1.43,1.62,7.49,0.67
59260,Ghyvelde,59,4119,False,4.68,5.33,1.41,1.31,1.41,2.13,5.27,2.66,1.38,1.43,1.62,2.09,0.83
59262,Godewaersvelde,59,2053,False,5.51,3.29,1.41,1.31,1.41,2.08,7.74,2.47,1.38,1.43,1.62,2.09,0.67
59265,Gommegnies,59,2300,False,4.68,4.05,1.41,0.83,1.41,2.08,5.27,4.14,1.38,0.0,1.62,2.09,0.83
59266,Gondecourt,59,4050,False,11.12,5.49,1.38,1.31,2.66,2.08,12.24,3.86,1.38,1.43,4.1,2.09,0.5
59271,Grande-Synthe,59,20331,False,2.93,12.36,5.01,2.6,1.66,5.16,4.52,12.15,3.06,4.15,1.48,5.04,0.0
59275,Gruson,59,1237,True,4.68,4.05,0.95,1.31,1.41,2.08,5.27,4.14,0.0,1.43,1.62,2.09,0.83
59276,Guesnain,59,4656,False,8.53,10.2,4.81,1.54,1.29,2.59,8.06,10.14,4.1,1.43,1.29,1.94,0.17
59263,Gœulzin,59,1042,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59278,Hallennes-lez-Haubourdin,59,4718,True,4.02,7.88,3.15,4.75,2.69,4.11,3.86,8.54,2.14,5.98,3.2,3.63,0.0
59279,Halluin,59,20829,True,6.01,9.76,2.56,1.87,3.51,4.48,7.73,11.73,3.28,2.22,4.06,5.17,0.0
59281,Hantay,59,1259,True,4.68,4.57,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59284,Hasnon,59,3874,False,4.68,4.16,1.41,1.41,2.68,2.58,5.27,5.72,1.38,1.43,2.6,3.38,0.5
59286,Haubourdin,59,14757,True,6.15,9.83,2.44,3.6,3.62,5.61,6.24,8.56,3.25,2.92,3.91,5.37,0.0
59292,Haveluy,59,3250,False,4.68,6.21,1.41,1.41,1.41,2.08,5.27,5.28,1.38,1.43,1.62,2.09,0.83
59293,Haverskerque,59,1401,False,4.68,7.0,1.41,1.31,1.41,2.08,5.27,5.81,1.38,1.43,1.62,2.09,0.83
59295,Hazebrouck,59,21498,False,2.25,8.72,3.19,1.4,0.5,5.52,2.16,8.08,2.65,1.55,0.55,5.25,0.0
59299,Hem,59,18713,True,12.74,7.12,2.24,2.94,5.24,4.2,9.06,6.46,2.58,3.55,4.95,3.39,0.0
59301,Hergnies,59,4463,False,6.21,3.35,1.41,1.31,1.41,2.08,5.85,4.02,1.38,1.43,1.62,2.09,0.67
59303,Herlies,59,2323,True,6.89,5.72,1.41,1.31,2.62,2.08,5.27,5.29,1.38,1.43,1.62,2.09,0.83
59305,Herzeele,59,1634,False,5.74,4.05,1.41,1.31,1.41,2.08,8.43,4.14,1.38,1.43,1.62,2.09,0.83
59309,Hondschoote,59,4026,False,4.68,7.46,1.93,1.31,1.41,2.95,5.27,6.32,2.27,1.43,1.62,3.79,0.5
59314,Hornaing,59,3535,False,4.68,4.95,1.76,1.31,1.41,2.08,5.27,4.29,1.43,1.43,1.62,2.09,0.67
59316,Houplin-Ancoisne,59,3275,True,11.13,4.93,1.41,3.82,4.22,2.71,10.02,5.41,1.38,2.71,4.81,3.01,0.17
59317,Houplines,59,7897,True,4.83,6.36,3.71,1.39,2.74,3.28,3.19,5.43,3.66,1.26,2.15,2.9,0.0
59297,Hélesmes,59,1921,False,7.92,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59302,Hérin,59,4129,False,3.38,9.11,2.12,2.0,1.58,2.96,4.27,9.59,3.12,1.43,1.62,1.44,0.33
59320,Illies,59,1664,True,4.68,8.02,1.41,1.31,1.41,2.08,5.27,7.01,1.38,1.43,1.62,2.09,0.83
59051,La Bassée,59,6622,True,3.29,9.06,4.81,2.3,1.6,6.01,4.78,10.38,5.86,1.95,1.8,6.92,0.0
59143,La Chapelle-d'Armentières,59,8719,True,12.22,6.47,1.67,2.82,2.28,3.42,10.36,7.2,2.06,2.06,2.74,3.66,0.0
59268,La Gorgue,59,5599,False,5.7,6.85,1.73,1.31,1.28,4.23,6.37,6.59,1.42,1.43,1.25,4.1,0.17
59368,La Madeleine,59,22488,True,7.23,7.7,1.89,4.8,4.53,7.71,6.51,8.35,1.84,5.05,4.68,7.76,0.0
59564,La Sentinelle,59,3143,False,5.22,14.01,4.49,8.98,2.57,12.1,3.26,12.89,5.48,7.41,1.62,9.67,0.17
59327,Lallaing,59,6250,False,3.88,6.61,2.82,1.17,1.17,2.39,2.74,5.41,2.86,1.43,0.95,1.91,0.0
59328,Lambersart,59,27121,True,9.98,7.39,1.76,3.68,3.8,4.54,11.8,8.79,2.62,4.84,4.87,4.06,0.0
59329,Lambres-lez-Douai,59,4926,False,13.55,7.84,1.7,3.34,2.46,4.91,14.98,6.35,1.02,3.89,3.89,4.71,0.0
59330,Landas,59,2447,False,6.48,3.64,1.41,1.31,1.41,2.07,4.63,4.14,1.38,1.43,1.62,2.09,0.83
59332,Lannoy,59,1800,True,4.68,11.44,1.41,11.63,4.43,5.73,5.27,7.73,1.38,10.49,4.97,6.62,0.33
59334,Lauwin-Planque,59,1582,False,4.68,8.74,1.41,1.31,1.41,7.28,5.27,8.71,1.38,1.43,1.62,5.6,0.67
59180,Le Doulieu,59,1454,False,4.68,3.92,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59335,Lecelles,59,3004,False,5.71,4.81,0.89,1.31,1.41,2.08,4.47,4.92,1.38,1.43,1.62,2.09,0.67
59339,Leers,59,9588,True,13.21,9.34,2.31,8.22,7.1,9.93,17.56,9.14,1.89,10.29,7.04,8.09,0.0
59340,Leffrinckoucke,59,4124,False,4.68,5.88,1.76,1.31,1.41,3.83,5.27,5.64,1.38,1.43,1.62,3.43,0.67
59343,Lesquin,59,9241,True,7.03,8.23,2.84,19.29,4.51,11.2,6.55,7.6,3.12,21.88,5.62,10.62,0.0
59345,Lewarde,59,2403,False,4.68,7.33,1.41,1.31,1.41,2.38,5.27,6.37,1.38,1.43,1.62,2.09,0.83
59346,Lezennes,59,3019,True,14.0,12.66,1.86,13.79,8.29,9.86,11.39,13.43,2.35,16.12,10.75,9.4,0.0
59348,Lieu-Saint-Amand,59,1461,False,4.68,5.41,1.41,1.31,1.41,2.08,5.27,8.21,1.38,1.43,1.62,2.09,0.83
59350,Lille,59,236710,True,8.93,12.83,6.21,21.6,4.17,31.93,9.45,11.88,5.75,19.83,4.36,30.17,0.0
59352,Linselles,59,8192,True,6.91,6.41,1.27,2.16,4.25,2.78,7.37,6.25,1.47,1.59,6.62,2.57,0.0
59356,Lompret,59,2182,True,6.17,5.09,0.95,2.95,2.1,2.84,9.74,5.57,0.0,1.43,1.62,2.32,0.33
59360,Loos,59,23013,True,5.81,11.43,2.91,5.19,2.97,7.42,6.39,10.72,3.1,5.72,3.28,7.09,0.0
59361,Lourches,59,3814,False,9.17,16.31,4.01,1.31,3.56,4.19,9.17,17.14,2.68,1.43,4.55,5.89,0.17
59367,Lys-lez-Lannoy,59,13793,True,9.9,9.58,2.68,5.7,4.87,4.71,10.17,8.26,3.13,6.55,4.98,3.99,0.0
59369,Maing,59,4004,False,4.55,4.72,1.41,1.31,1.41,2.08,4.87,5.31,1.38,1.43,1.62,2.09,0.67
59375,Marchiennes,59,4539,False,4.23,5.55,1.41,1.31,1.41,2.44,5.27,5.77,1.38,1.43,1.62,2.22,0.67
59378,Marcq-en-Barœul,59,39356,True,11.57,6.64,1.45,3.61,2.71,6.8,8.6,6.25,1.64,3.21,3.09,5.5,0.0
59382,Maretz,59,1417,False,4.68,4.36,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59383,Marly,59,12024,False,4.94,11.23,3.45,2.86,1.72,5.56,3.45,10.25,3.58,2.75,1.67,5.09,0.0
59387,Marquette-en-Ostrevant,59,1931,False,4.68,5.24,1.41,1.31,1.41,2.08,5.27,7.72,1.38,1.43,1.62,2.09,0.83
59386,Marquette-lez-Lille,59,11213,True,7.59,6.81,1.49,7.02,4.61,5.07,7.59,6.73,1.11,5.78,6.73,4.12,0.0
59388,Marquillies,59,1982,True,4.68,5.26,1.41,1.31,1.41,2.08,5.27,2.55,1.38,1.43,1.62,2.09,0.83
59390,Masny,59,4056,False,4.68,7.07,5.49,1.31,1.41,4.99,5.27,6.25,5.75,1.43,1.62,5.25,0.5
59392,Maubeuge,59,29066,False,5.85,13.24,6.86,2.16,1.91,7.93,4.87,13.49,7.75,1.95,2.16,8.41,0.0
59399,Merris,59,1049,False,4.68,4.05,0.46,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59400,Merville,59,9652,False,3.72,12.06,4.46,1.43,1.87,4.8,3.19,14.27,4.59,2.35,2.55,4.89,0.0
59408,Moncheaux,59,1703,False,4.68,4.59,1.41,1.31,1.41,2.08,5.27,5.41,1.38,1.43,1.62,2.09,0.83
59409,Monchecourt,59,2501,False,4.68,7.98,1.41,1.31,1.41,2.08,5.27,7.95,1.38,1.43,1.62,2.09,0.83
59410,Mons-en-Barœul,59,21467,True,10.31,7.74,2.13,3.48,3.79,5.36,11.95,7.72,2.61,3.7,3.84,5.83,0.0
59411,Mons-en-Pévèle,59,2089,False,6.98,5.46,1.41,1.31,1.41,2.08,12.16,5.78,1.38,1.43,1.62,2.09,0.67
59414,Montigny-en-Ostrevent,59,4681,False,4.68,6.92,1.41,1.31,1.41,2.21,5.27,5.78,1.38,1.43,1.62,2.67,0.67
59416,Morbecque,59,2509,False,4.92,4.69,1.41,1.31,1.41,2.19,5.97,4.28,1.38,1.43,1.62,2.09,0.67
59418,Mortagne-du-Nord,59,1584,False,4.68,8.14,3.66,1.31,1.41,2.08,5.27,11.26,8.13,1.43,1.62,2.09,0.67
59419,Mouchin,59,1441,False,5.76,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59421,Mouvaux,59,13173,True,14.58,5.53,1.0,5.42,4.2,4.8,8.49,4.49,0.82,7.18,4.79,5.24,0.0
59398,Mérignies,59,3360,False,12.72,4.84,2.65,1.31,1.41,2.56,14.84,4.82,5.1,1.43,1.62,1.7,0.33
59401,Méteren,59,2256,False,15.21,4.93,1.41,1.31,1.41,2.15,15.21,5.83,1.38,1.43,1.62,2.09,0.67
59423,Neuf-Berquin,59,1403,False,4.68,5.08,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59426,Neuville-en-Ferrain,59,10160,True,10.17,7.6,1.79,6.61,5.82,7.67,11.32,7.3,1.2,9.1,9.2,5.6,0.0
59431,Nieppe,59,7606,False,11.52,8.49,1.59,2.24,2.53,4.66,9.42,8.5,1.93,1.42,2.06,3.48,0.0
59434,Nivelle,59,1379,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59435,Nomain,59,2585,False,7.05,5.31,1.41,1.31,1.41,2.08,7.93,1.89,1.38,1.43,1.62,2.09,0.67
59447,Onnaing,59,8719,False,6.41,11.52,3.3,2.36,2.08,4.74,7.85,13.09,5.54,2.36,2.71,4.25,0.0
59449,Orchies,59,8455,False,4.08,9.25,2.42,3.65,2.34,6.75,4.32,8.34,2.02,3.22,2.86,5.6,0.0
59452,Ostricourt,59,5829,False,4.86,9.06,3.19,1.7,2.31,4.28,5.67,8.36,2.95,2.46,2.95,4.76,0.0
59456,Pecquencourt,59,6232,False,5.06,9.22,3.98,1.27,2.73,3.11,2.53,8.04,5.75,1.43,3.45,2.13,0.17
59459,Petite-Forêt,59,5058,False,4.7,17.93,4.02,9.56,3.16,11.47,5.72,16.42,3.36,9.1,2.57,12.07,0.0
59462,Phalempin,59,4849,False,4.97,5.08,1.41,5.15,1.65,2.82,5.26,5.57,1.38,5.78,1.44,2.48,0.17
59466,Pont-à-Marcq,59,2883,False,5.19,6.93,2.84,1.31,1.81,3.19,5.62,6.63,2.32,1.43,1.62,3.98,0.33
59475,Prouvy,59,2173,False,4.68,12.06,1.41,3.81,2.74,4.35,5.27,12.86,1.38,2.75,3.21,5.05,0.33
59477,Provin,59,4469,True,4.14,7.74,2.93,1.31,1.74,3.23,3.63,10.61,2.71,1.43,2.26,4.07,0.17
59470,Prémesques,59,2060,True,6.35,6.24,1.41,1.31,1.41,2.08,5.27,6.4,1.38,1.43,1.62,2.09,0.83
59471,Préseau,59,2065,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59457,Pérenchies,59,8519,True,6.45,8.47,1.34,2.91,3.19,5.04,8.75,6.51,1.18,3.08,4.38,4.85,0.0
59458,Péronne-en-Mélantois,59,1004,True,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59479,Quarouble,59,3131,False,5.44,9.44,1.41,1.64,1.41,2.12,8.16,10.49,1.38,1.43,1.62,1.91,0.5
59482,Quesnoy-sur-Deûle,59,6920,True,7.09,5.87,1.41,2.35,3.03,3.27,8.23,5.44,1.38,3.38,4.7,4.11,0.17
59485,Quiévy,59,1801,False,4.68,4.44,1.41,1.31,1.41,2.08,5.27,4.99,1.38,1.43,1.62,2.09,0.83
59487,Radinghem-en-Weppes,59,1393,True,4.68,3.85,1.41,1.31,1.41,2.08,5.27,3.55,1.38,1.43,1.62,2.09,0.83
59489,Raimbeaucourt,59,4015,False,6.81,2.83,1.41,1.31,2.2,2.16,6.07,3.0,1.38,1.43,4.0,2.25,0.33
