code_insee,commune,dep,PMUN,dans_MEL,navetteurs_MEL,actifs_occ_residents,part_MEL,EPCI,ZE2020,AAV2020,BV2022
59609,Vendeville,59,1546,True,677,778,87.0,200093201,3216,004,59350
59610,Verchain-Maugré,59,1102,False,36,455,8.0,245901160,3222,038,59606
59611,Verlinghem,59,2673,True,1074,1195,89.9,200093201,3216,004,59350
59615,Vieux-Berquin,59,2649,False,417,1199,34.7,200040947,3216,004,59400
59616,Vieux-Condé,59,10446,False,223,3514,6.3,245901160,3222,038,59616
59009,Villeneuve-d'Ascq,59,62067,True,21184,23605,89.7,200093201,3216,004,59350
59622,Villers-en-Cauchies,59,1161,False,29,423,6.8,200068500,3208,038,59037
59629,Vred,59,1311,False,145,605,23.9,245901152,3212,004,59574
59630,Wahagnies,59,2605,False,555,1128,49.2,200041960,3216,004,62498
59632,Wallers,59,5598,False,240,1966,12.2,200042190,3222,038,59172
59636,Wambrechies,59,10798,True,4548,4916,92.5,200093201,3216,004,59350
59637,Wandignies-Hamage,59,1318,False,168,667,25.1,245901152,3222,004,59375
59638,Wannehain,59,1331,False,392,621,63.0,200041960,3216,004,59168
59639,Wargnies-le-Grand,59,1101,False,48,516,9.4,200043321,3222,038,59606
59641,Warhem,59,2022,False,60,979,6.2,200040954,3213,048,59067
59646,Wasquehal,59,20836,True,8684,9494,91.5,200093201,3216,004,59350
59647,Watten,59,2577,False,50,930,5.3,200040954,3219,048,62765
59648,Wattignies,59,15531,True,5544,6275,88.3,200093201,3216,004,59350
59650,Wattrelos,59,40836,True,13237,15837,83.6,200093201,3218,004,59350
59651,Wavrechain-sous-Denain,59,1616,False,50,580,8.6,200042190,3222,038,59172
59653,Wavrin,59,7773,True,2994,3485,85.9,200093201,3216,004,59653
59654,Waziers,59,7354,False,278,2181,12.7,200044618,3212,059,59178
59656,Wervicq-Sud,59,5299,True,1910,2218,86.1,200093201,3218,004,59350
59660,Willems,59,2996,True,1093,1229,88.9,200093201,3218,004,59350
59662,Winnezeele,59,1300,False,85,588,14.4,200040947,3213,000,59580
59663,Wormhout,59,5705,False,131,2227,5.9,200040954,3213,048,59663
59185,Écaillon,59,1910,False,64,686,9.3,245901152,3212,059,59574
62004,Achicourt,62,7938,False,171,3099,5.5,200033579,3203,069,62041
62013,Agny,62,1879,False,40,747,5.3,200033579,3203,069,62041
62014,Aire-sur-la-Lys,62,9585,False,165,3370,4.9,200069037,3219,263,62014
62019,Aix-Noulette,62,3913,False,94,1487,6.3,246200364,3215,042,62498
62032,Angres,62,4842,False,95,1793,5.3,246200364,3215,042,62498
62033,Annay,62,4517,False,393,1630,24.1,246200364,3215,042,62498
62034,Annequin,62,2145,False,175,882,19.9,200072460,3205,221,59051
62035,Annezin,62,5813,False,208,2334,8.9,200072460,3205,125,62119
62037,Anzin-Saint-Aubin,62,2806,False,74,1201,6.2,200033579,3203,069,62041
62040,Arques,62,9655,False,123,3560,3.5,200069037,3219,096,62765
62041,Arras,62,42600,False,1219,16139,7.6,200033579,3203,069,62041
62042,Athies,62,1059,False,61,555,10.9,200033579,3203,069,62041
62048,Auchel,62,10062,False,183,3028,6.0,200072460,3205,156,62048
62051,Auchy-les-Mines,62,4623,False,611,1781,34.3,200072460,3215,004,59051
62065,Avion,62,17672,False,617,5933,10.4,246200364,3215,042,62498
62073,Bailleul-Sir-Berthoult,62,1430,False,65,655,9.9,200033579,3203,069,62041
62083,Barlin,62,7366,False,185,2541,7.3,200072460,3205,221,62617
62099,Beaurains,62,5515,False,124,2324,5.4,200033579,3203,069,62041
62471,Bellinghem,62,1087,False,25,447,5.7,200069037,3219,096,62014
62126,Beuvry,62,9111,False,453,3348,13.5,200072460,3205,125,62119
62128,Biache-Saint-Vaast,62,4481,False,147,1968,7.5,200044048,3203,069,59178
62132,Billy-Berclau,62,5059,False,870,2247,38.7,200072460,3215,004,62895
62133,Billy-Montigny,62,8117,False,459,2918,15.7,246200364,3215,042,62498
62160,Boulogne-sur-Mer,62,40910,False,173,14183,1.2,246200729,3206,068,62160
62164,Bourlon,62,1140,False,29,508,5.7,200044048,3208,108,59122
62170,Bouvigny-Boyeffles,62,2371,False,114,1014,11.2,246200364,3215,042,62498
62173,Brebières,62,5169,False,188,2316,8.1,200044048,3212,059,59178
62178,Bruay-la-Buissière,62,21827,False,362,7163,5.1,200072460,3205,256,62178
62181,Bucquoy,62,1480,False,35,658,5.3,200035442,3203,069,62080
62186,Bully-les-Mines,62,12221,False,332,4405,7.5,246200364,3215,042,62498
62188,Burbure,62,2819,False,71,1162,6.1,200072460,3205,156,62048
62190,Busnes,62,1245,False,30,529,5.7,200072460,3205,000,62048
62119,Béthune,62,24992,False,1163,9131,12.7,200072460,3205,125,62119
62193,Calais,62,67380,False,530,22621,2.3,200090751,3207,073,62193
62194,Calonne-Ricouart,62,5463,False,97,1777,5.4,200072460,3205,156,62048
62195,Calonne-sur-la-Lys,62,1560,False,113,685,16.5,200072460,3205,000,59400
62200,Cambrin,62,1228,False,148,566,26.1,200072460,3205,004,59051
62215,Carvin,62,17852,False,2708,6965,38.9,246200299,3215,004,62498
62224,Chocques,62,2824,False,120,1152,10.4,200072460,3205,125,62119
62240,Corbehem,62,2266,False,89,845,10.6,200044048,3212,059,59178
62249,Courcelles-lès-Lens,62,8213,False,644,2806,23.0,246200299,3215,004,62498
62250,Courrières,62,10199,False,919,3750,24.5,246200299,3215,042,62498
62262,Cuinchy,62,1754,False,224,720,31.1,200072460,3205,004,59051
62263,Dainville,62,5703,False,150,2164,6.9,200033579,3203,069,62041
62274,Dourges,62,5997,False,579,2500,23.1,246200299,3215,042,62498
62276,Douvrin,62,5795,False,1048,2543,41.2,200072460,3215,004,62895
62277,Drocourt,62,2943,False,197,1203,16.4,246200299,3215,042,62498
62279,Duisans,62,1383,False,51,629,8.1,200069482,3203,069,62041
62310,Essars,62,1755,False,108,760,14.3,200072460,3205,125,62119
62311,Estevelles,62,2024,False,298,849,35.1,246200364,3215,004,62498
62323,Fampoux,62,1219,False,46,559,8.3,200033579,3203,069,59178
62330,Festubert,62,1266,False,164,582,28.2,200072460,3205,004,59051
