code_insee,commune,dep,PMUN,dans_MEL,prix_maison_m2,n_ventes_maison,evol_prix_maison_24_25_pct,prix_appart_m2,n_ventes_appart,loyers_maison_m2,loyers_appart_m2,prix_maison_faible_echantillon
62128,Biache-Saint-Vaast,62,4481,False,2095.0,57,7.5,,0,9.49,10.95,False
62132,Billy-Berclau,62,5059,False,1829.0,117,6.4,1558.0,1,9.53,11.84,False
62133,Billy-Montigny,62,8117,False,1333.0,77,2.3,1544.0,1,8.79,11.15,False
62160,Boulogne-sur-Mer,62,40910,False,1586.0,410,10.8,1515.0,286,9.54,11.45,False
62164,Bourlon,62,1140,False,1143.0,11,,875.0,2,7.91,9.74,True
62170,Bouvigny-Boyeffles,62,2371,False,1532.0,34,,,0,9.25,11.6,False
62173,Brebières,62,5169,False,1863.0,108,9.1,1400.0,2,10.44,11.19,False
62178,Bruay-la-Buissière,62,21827,False,1306.0,211,-4.3,1451.0,6,8.45,10.57,False
62181,Bucquoy,62,1480,False,1419.0,16,,,0,9.1,10.46,False
62186,Bully-les-Mines,62,12221,False,1601.0,138,7.8,1085.0,3,8.89,10.72,False
62188,Burbure,62,2819,False,1225.0,48,-6.0,,0,7.99,10.42,False
62190,Busnes,62,1245,False,1025.0,19,,,0,8.23,10.08,False
62119,Béthune,62,24992,False,1485.0,414,-4.9,1723.0,118,8.8,11.52,False
62193,Calais,62,67380,False,1521.0,1131,1.5,1672.0,195,8.81,11.57,False
62194,Calonne-Ricouart,62,5463,False,1333.0,53,22.4,787.0,1,7.96,10.31,False
62195,Calonne-sur-la-Lys,62,1560,False,1482.0,24,,,0,8.59,10.08,False
62200,Cambrin,62,1228,False,1820.0,16,,,0,8.97,11.02,False
62215,Carvin,62,17852,False,1814.0,278,1.3,1388.0,16,9.28,11.67,False
62224,Chocques,62,2824,False,1602.0,30,,,0,8.52,10.42,False
62240,Corbehem,62,2266,False,1549.0,42,18.1,,0,8.72,11.26,False
62249,Courcelles-lès-Lens,62,8213,False,1886.0,114,2.1,,0,9.43,11.2,False
62250,Courrières,62,10199,False,1770.0,189,12.5,1203.0,1,9.71,11.25,False
62262,Cuinchy,62,1754,False,1954.0,20,,,0,8.97,11.38,False
62263,Dainville,62,5703,False,1959.0,83,12.5,,0,10.12,13.08,False
