code_insee,commune,dep,PMUN,dans_MEL,air_no2_ugm3,air_station_nom,air_station_dist_km,air_station_annee,air_pm25_ugm3,air_pm10_ugm3
59214,Estrées,59,1116,False,11.0,Douai Theuriet,9.0,2025,11.0,17.0
59220,Faches-Thumesnil,59,18110,True,10.0,Wattignies,1.7,2025,11.0,18.0
59221,Famars,59,2475,False,13.0,Valenciennes Acacias,5.2,2024,11.0,14.0
59222,Faumont,59,2251,False,11.0,Douai Theuriet,9.7,2025,11.0,17.0
59227,Fenain,59,5529,False,12.0,Denain Villars,8.4,2025,11.0,17.0
59234,Flers-en-Escrebieux,59,5642,False,11.0,Douai Theuriet,2.8,2025,11.0,17.0
59239,Flines-lez-Raches,59,5610,False,11.0,Douai Theuriet,9.3,2025,11.0,17.0
59238,Flines-lès-Mortagne,59,1649,False,7.0,Saint Amand,7.5,2024,11.0,14.0
59244,Fontaine-Notre-Dame,59,1763,False,12.0,Denain Villars,23.5,2025,11.0,17.0
59247,Forest-sur-Marque,59,1659,True,10.0,Wattignies,10.6,2025,11.0,18.0
59250,Fournes-en-Weppes,59,2190,True,10.0,Wattignies,11.1,2025,11.0,17.0
59252,Frelinghien,59,2581,True,10.0,Wattignies,13.6,2025,11.0,18.0
59253,Fresnes-sur-Escaut,59,7486,False,13.0,Valenciennes Acacias,9.6,2024,11.0,14.0
59256,Fretin,59,3227,True,10.0,Wattignies,6.8,2025,11.0,18.0
59257,Fromelles,59,1076,True,10.0,Wattignies,13.9,2025,11.0,17.0
59224,Féchain,59,1658,False,12.0,Denain Villars,14.4,2025,11.0,17.0
59228,Férin,59,1447,False,11.0,Douai Theuriet,5.3,2025,11.0,17.0
59258,Genech,59,2825,False,10.0,Wattignies,14.4,2025,11.0,17.0
59260,Ghyvelde,59,4119,False,8.0,Cappelle,12.4,2024,12.0,18.0
59262,Godewaersvelde,59,2053,False,10.0,St Omer Ribot,27.6,2023,12.0,17.0
59265,Gommegnies,59,2300,False,13.0,Valenciennes Acacias,17.6,2024,10.0,14.0
59266,Gondecourt,59,4050,False,10.0,Wattignies,7.4,2025,11.0,17.0
59271,Grande-Synthe,59,20331,False,11.0,St Pol mer - cheminots,3.4,2025,12.0,18.0
59275,Gruson,59,1237,True,10.0,Wattignies,11.8,2025,11.0,18.0
59276,Guesnain,59,4656,False,11.0,Douai Theuriet,6.7,2025,11.0,17.0
59263,Gœulzin,59,1042,False,11.0,Douai Theuriet,7.0,2025,11.0,17.0
59278,Hallennes-lez-Haubourdin,59,4718,True,10.0,Wattignies,6.9,2025,11.0,18.0
59279,Halluin,59,20829,True,13.0,Halluin stade,0.1,2025,12.0,18.0
59281,Hantay,59,1259,True,12.0,Harnes Serres,10.1,2025,7.0,20.0
59284,Hasnon,59,3874,False,7.0,Saint Amand,5.6,2024,11.0,17.0
59286,Haubourdin,59,14757,True,10.0,Wattignies,4.5,2025,11.0,18.0
59292,Haveluy,59,3250,False,12.0,Denain Villars,3.4,2025,11.0,17.0
59293,Haverskerque,59,1401,False,11.0,Bethune Stade,13.2,2025,12.0,17.0
59295,Hazebrouck,59,21498,False,10.0,St Omer Ribot,19.8,2023,12.0,17.0
59299,Hem,59,18713,True,12.0,Tourcoing Stade,8.9,2025,12.0,18.0
59301,Hergnies,59,4463,False,7.0,Saint Amand,7.8,2024,11.0,14.0
59303,Herlies,59,2323,True,10.0,Wattignies,14.0,2025,11.0,17.0
59305,Herzeele,59,1634,False,8.0,Cappelle,17.1,2024,12.0,22.0
59309,Hondschoote,59,4026,False,8.0,Cappelle,15.8,2024,12.0,18.0
59314,Hornaing,59,3535,False,12.0,Denain Villars,6.7,2025,11.0,17.0
59316,Houplin-Ancoisne,59,3275,True,10.0,Wattignies,5.0,2025,11.0,18.0
59317,Houplines,59,7897,True,10.0,Wattignies,12.9,2025,11.0,18.0
59297,Hélesmes,59,1921,False,12.0,Denain Villars,5.7,2025,11.0,17.0
59302,Hérin,59,4129,False,13.0,Valenciennes Acacias,4.2,2024,11.0,14.0
59320,Illies,59,1664,True,12.0,Harnes Serres,13.6,2025,7.0,17.0
59051,La Bassée,59,6622,True,6.0,Noeux-les-Mines,11.5,2024,7.0,20.0
59143,La Chapelle-d'Armentières,59,8719,True,10.0,Wattignies,13.2,2025,11.0,18.0
59268,La Gorgue,59,5599,False,11.0,Bethune Stade,12.9,2025,12.0,17.0
59368,La Madeleine,59,22488,True,10.0,Wattignies,6.5,2025,11.0,18.0
59564,La Sentinelle,59,3143,False,13.0,Valenciennes Acacias,2.6,2024,11.0,14.0
59327,Lallaing,59,6250,False,11.0,Douai Theuriet,7.4,2025,11.0,17.0
59328,Lambersart,59,27121,True,10.0,Wattignies,6.3,2025,11.0,18.0
59329,Lambres-lez-Douai,59,4926,False,11.0,Douai Theuriet,2.8,2025,11.0,17.0
59330,Landas,59,2447,False,7.0,Saint Amand,9.6,2024,11.0,17.0
59332,Lannoy,59,1800,True,12.0,Tourcoing Stade,8.1,2025,12.0,18.0
59334,Lauwin-Planque,59,1582,False,11.0,Douai Theuriet,3.0,2025,11.0,17.0
59180,Le Doulieu,59,1454,False,11.0,Bethune Stade,16.7,2025,12.0,17.0
59335,Lecelles,59,3004,False,7.0,Saint Amand,2.9,2024,11.0,14.0
59339,Leers,59,9588,True,12.0,Tourcoing Stade,7.7,2025,12.0,18.0
59340,Leffrinckoucke,59,4124,False,8.0,Cappelle,8.4,2024,12.0,18.0
59343,Lesquin,59,9241,True,10.0,Wattignies,4.5,2025,11.0,18.0
59345,Lewarde,59,2403,False,11.0,Douai Theuriet,8.6,2025,11.0,17.0
59346,Lezennes,59,3019,True,10.0,Wattignies,5.1,2025,11.0,18.0
59348,Lieu-Saint-Amand,59,1461,False,12.0,Denain Villars,6.5,2025,11.0,17.0
59350,Lille,59,236710,True,10.0,Wattignies,3.8,2025,11.0,18.0
59352,Linselles,59,8192,True,13.0,Halluin stade,5.7,2025,12.0,18.0
59356,Lompret,59,2182,True,10.0,Wattignies,8.3,2025,11.0,18.0
59360,Loos,59,23013,True,10.0,Wattignies,2.4,2025,11.0,18.0
59361,Lourches,59,3814,False,12.0,Denain Villars,3.0,2025,11.0,17.0
59367,Lys-lez-Lannoy,59,13793,True,12.0,Tourcoing Stade,7.7,2025,12.0,18.0
59369,Maing,59,4004,False,13.0,Valenciennes Acacias,6.2,2024,11.0,14.0
59375,Marchiennes,59,4539,False,7.0,Saint Amand,12.6,2024,11.0,17.0
59378,Marcq-en-Barœul,59,39356,True,12.0,Tourcoing Stade,7.9,2025,12.0,18.0
59382,Maretz,59,1417,False,13.0,P. Roth St Quentin,23.6,2025,10.0,15.0
59383,Marly,59,12024,False,13.0,Valenciennes Acacias,3.3,2024,11.0,14.0
59387,Marquette-en-Ostrevant,59,1931,False,12.0,Denain Villars,9.5,2025,11.0,17.0
59386,Marquette-lez-Lille,59,11213,True,10.0,Wattignies,8.5,2025,11.0,18.0
59388,Marquillies,59,1982,True,12.0,Harnes Serres,11.5,2025,7.0,20.0
59390,Masny,59,4056,False,11.0,Douai Theuriet,10.1,2025,11.0,17.0
59392,Maubeuge,59,29066,False,9.0,Maubeuge Joyeuse,1.1,2024,10.0,14.0
59399,Merris,59,1049,False,11.0,Bethune Stade,20.4,2025,12.0,17.0
59400,Merville,59,9652,False,11.0,Bethune Stade,12.2,2025,12.0,17.0
59408,Moncheaux,59,1703,False,11.0,Douai Theuriet,8.9,2025,11.0,17.0
59409,Monchecourt,59,2501,False,11.0,Douai Theuriet,13.0,2025,11.0,17.0
59410,Mons-en-Barœul,59,21467,True,10.0,Wattignies,6.5,2025,11.0,18.0
59411,Mons-en-Pévèle,59,2089,False,11.0,Douai Theuriet,11.8,2025,11.0,17.0
59414,Montigny-en-Ostrevent,59,4681,False,11.0,Douai Theuriet,8.2,2025,11.0,17.0
59416,Morbecque,59,2509,False,11.0,Bethune Stade,17.2,2025,12.0,17.0
59418,Mortagne-du-Nord,59,1584,False,7.0,Saint Amand,5.2,2024,11.0,14.0
59419,Mouchin,59,1441,False,7.0,Saint Amand,12.0,2024,11.0,17.0
59421,Mouvaux,59,13173,True,12.0,Tourcoing Stade,3.9,2025,12.0,18.0
59398,Mérignies,59,3360,False,10.0,Wattignies,11.3,2025,11.0,17.0
59401,Méteren,59,2256,False,11.0,Bethune Stade,23.9,2025,12.0,17.0
59423,Neuf-Berquin,59,1403,False,11.0,Bethune Stade,14.6,2025,12.0,17.0
59426,Neuville-en-Ferrain,59,10160,True,12.0,Tourcoing Stade,2.2,2025,12.0,18.0
59431,Nieppe,59,7606,False,10.0,Wattignies,19.0,2025,11.0,17.0
59434,Nivelle,59,1379,False,7.0,Saint Amand,2.7,2024,11.0,14.0
59435,Nomain,59,2585,False,7.0,Saint Amand,14.3,2024,11.0,17.0
59447,Onnaing,59,8719,False,13.0,Valenciennes Acacias,7.0,2024,11.0,14.0
59449,Orchies,59,8455,False,7.0,Saint Amand,13.4,2024,11.0,17.0
59452,Ostricourt,59,5829,False,11.0,Douai Theuriet,9.1,2025,11.0,17.0
59456,Pecquencourt,59,6232,False,11.0,Douai Theuriet,10.9,2025,11.0,17.0
59459,Petite-Forêt,59,5058,False,13.0,Valenciennes Acacias,2.9,2024,11.0,14.0
59462,Phalempin,59,4849,False,10.0,Wattignies,9.6,2025,11.0,17.0
59466,Pont-à-Marcq,59,2883,False,10.0,Wattignies,9.7,2025,11.0,17.0
59475,Prouvy,59,2173,False,12.0,Denain Villars,4.4,2025,11.0,17.0
59477,Provin,59,4469,True,12.0,Harnes Serres,7.1,2025,7.0,20.0
59470,Prémesques,59,2060,True,10.0,Wattignies,10.0,2025,11.0,18.0
59471,Préseau,59,2065,False,13.0,Valenciennes Acacias,7.0,2024,11.0,14.0
59457,Pérenchies,59,8519,True,10.0,Wattignies,9.9,2025,11.0,18.0
59458,Péronne-en-Mélantois,59,1004,True,10.0,Wattignies,9.3,2025,11.0,18.0
59479,Quarouble,59,3131,False,13.0,Valenciennes Acacias,9.8,2024,11.0,14.0
59482,Quesnoy-sur-Deûle,59,6920,True,13.0,Halluin stade,10.9,2025,12.0,18.0
59485,Quiévy,59,1801,False,12.0,Denain Villars,17.9,2025,11.0,17.0
59487,Radinghem-en-Weppes,59,1393,True,10.0,Wattignies,11.2,2025,11.0,17.0
59489,Raimbeaucourt,59,4015,False,11.0,Douai Theuriet,7.0,2025,11.0,17.0
59491,Raismes,59,12055,False,13.0,Valenciennes Acacias,6.0,2024,11.0,14.0
59497,Renescure,59,2128,False,10.0,St Omer Ribot,8.5,2023,12.0,17.0
59499,Rexpoëde,59,1992,False,8.0,Cappelle,14.2,2024,12.0,22.0
59501,Rieulay,59,1243,False,12.0,Denain Villars,11.7,2025,11.0,17.0
59502,Rieux-en-Cambrésis,59,1438,False,12.0,Denain Villars,13.5,2025,11.0,17.0
59507,Ronchin,59,19437,True,10.0,Wattignies,3.1,2025,11.0,18.0
59508,Roncq,59,13784,True,13.0,Halluin stade,3.2,2025,12.0,18.0
59509,Roost-Warendin,59,5976,False,11.0,Douai Theuriet,4.9,2025,11.0,17.0
59511,Rosult,59,1973,False,7.0,Saint Amand,4.6,2024,11.0,17.0
59512,Roubaix,59,98892,True,12.0,Tourcoing Stade,5.1,2025,12.0,18.0
59519,Rumegies,59,1740,False,7.0,Saint Amand,6.6,2024,11.0,14.0
59486,Râches,59,2660,False,11.0,Douai Theuriet,6.9,2025,11.0,17.0
59504,Rœulx,59,3779,False,12.0,Denain Villars,4.9,2025,11.0,17.0
59522,Sailly-lez-Lannoy,59,1949,True,12.0,Tourcoing Stade,10.6,2025,12.0,18.0
59523,Sainghin-en-Mélantois,59,2848,True,10.0,Wattignies,8.1,2025,11.0,18.0
59524,Sainghin-en-Weppes,59,5641,True,10.0,Wattignies,11.6,2025,11.0,20.0
59526,Saint-Amand-les-Eaux,59,15980,False,7.0,Saint Amand,2.1,2024,11.0,14.0
59527,Saint-André-lez-Lille,59,12942,True,10.0,Wattignies,7.0,2025,11.0,18.0
59535,Saint-Jans-Cappel,59,1642,False,11.0,Bethune Stade,26.7,2025,12.0,17.0
59544,Saint-Saulve,59,11117,False,13.0,Valenciennes Acacias,4.5,2024,11.0,14.0
59546,Saint-Sylvestre-Cappel,59,1154,False,10.0,St Omer Ribot,20.7,2023,12.0,17.0
59550,Salomé,59,3051,True,12.0,Harnes Serres,10.6,2025,7.0,20.0
59551,Saméon,59,1738,False,7.0,Saint Amand,7.1,2024,11.0,17.0
59553,Santes,59,5660,True,10.0,Wattignies,6.3,2025,11.0,18.0
59557,Saultain,59,2553,False,13.0,Valenciennes Acacias,5.7,2024,11.0,14.0
59559,Sebourg,59,1977,False,13.0,Valenciennes Acacias,9.9,2024,11.0,14.0
59560,Seclin,59,12834,True,10.0,Wattignies,5.8,2025,11.0,17.0
59566,Sequedin,59,4762,True,10.0,Wattignies,5.6,2025,11.0,18.0
59569,Sin-le-Noble,59,15603,False,11.0,Douai Theuriet,4.0,2025,11.0,17.0
59574,Somain,59,11790,False,12.0,Denain Villars,9.5,2025,11.0,17.0
59578,Steenbecque,59,1650,False,10.0,St Omer Ribot,17.9,2023,12.0,17.0
59580,Steenvoorde,59,4324,False,10.0,St Omer Ribot,24.3,2023,12.0,17.0
59581,Steenwerck,59,3540,False,11.0,Bethune Stade,19.3,2025,12.0,17.0
59585,Templemars,59,3635,True,10.0,Wattignies,3.1,2025,11.0,18.0
59586,Templeuve-en-Pévèle,59,6705,False,10.0,Wattignies,11.4,2025,11.0,17.0
59592,Thumeries,59,4029,False,11.0,Douai Theuriet,10.6,2025,11.0,17.0
59594,Thun-Saint-Amand,59,1110,False,7.0,Saint Amand,3.5,2024,11.0,14.0
59598,Toufflers,59,3910,True,12.0,Tourcoing Stade,9.3,2025,12.0,18.0
59599,Tourcoing,59,99011,True,12.0,Tourcoing Stade,1.0,2025,12.0,18.0
59602,Tressin,59,1395,True,10.0,Wattignies,10.1,2025,11.0,18.0
59603,Trith-Saint-Léger,59,6124,False,13.0,Valenciennes Acacias,3.5,2024,11.0,14.0
59588,Téteghem-Coudekerque-Village,59,8384,False,8.0,Cappelle,5.4,2024,12.0,18.0
59606,Valenciennes,59,42991,False,13.0,Valenciennes Acacias,0.6,2024,11.0,14.0
59609,Vendeville,59,1546,True,10.0,Wattignies,3.5,2025,11.0,18.0
59610,Verchain-Maugré,59,1102,False,12.0,Denain Villars,7.9,2025,11.0,17.0
59611,Verlinghem,59,2673,True,10.0,Wattignies,10.0,2025,11.0,18.0
59615,Vieux-Berquin,59,2649,False,11.0,Bethune Stade,17.6,2025,12.0,17.0
59616,Vieux-Condé,59,10446,False,7.0,Saint Amand,10.0,2024,11.0,14.0
59009,Villeneuve-d'Ascq,59,62067,True,10.0,Wattignies,8.3,2025,11.0,18.0
59622,Villers-en-Cauchies,59,1161,False,12.0,Denain Villars,10.8,2025,11.0,17.0
59629,Vred,59,1311,False,11.0,Douai Theuriet,11.9,2025,11.0,17.0
59630,Wahagnies,59,2605,False,12.0,Harnes Serres,10.0,2025,7.0,17.0
59632,Wallers,59,5598,False,12.0,Denain Villars,6.5,2025,11.0,17.0
59636,Wambrechies,59,10798,True,12.0,Tourcoing Stade,9.4,2025,12.0,18.0
59637,Wandignies-Hamage,59,1318,False,12.0,Denain Villars,9.7,2025,11.0,17.0
59638,Wannehain,59,1331,False,10.0,Wattignies,15.8,2025,11.0,18.0
59639,Wargnies-le-Grand,59,1101,False,13.0,Valenciennes Acacias,12.1,2024,11.0,14.0
59641,Warhem,59,2022,False,8.0,Cappelle,9.8,2024,12.0,22.0
59646,Wasquehal,59,20836,True,12.0,Tourcoing Stade,7.0,2025,12.0,18.0
59647,Watten,59,2577,False,10.0,St Omer Ribot,9.9,2023,12.0,17.0
59648,Wattignies,59,15531,True,10.0,Wattignies,1.4,2025,11.0,18.0
59650,Wattrelos,59,40836,True,12.0,Tourcoing Stade,4.7,2025,12.0,18.0
59651,Wavrechain-sous-Denain,59,1616,False,12.0,Denain Villars,2.3,2025,11.0,17.0
59653,Wavrin,59,7773,True,10.0,Wattignies,8.7,2025,11.0,20.0
59654,Waziers,59,7354,False,11.0,Douai Theuriet,3.4,2025,11.0,17.0
59656,Wervicq-Sud,59,5299,True,13.0,Halluin stade,5.5,2025,12.0,18.0
59660,Willems,59,2996,True,12.0,Tourcoing Stade,12.2,2025,12.0,18.0
59662,Winnezeele,59,1300,False,8.0,Cappelle,21.3,2024,12.0,22.0
59663,Wormhout,59,5705,False,8.0,Cappelle,15.3,2024,12.0,22.0
59185,Écaillon,59,1910,False,11.0,Douai Theuriet,11.1,2025,11.0,17.0
62004,Achicourt,62,7938,False,10.0,St-Laurent-Blangy,5.5,2025,8.0,17.0
62013,Agny,62,1879,False,10.0,St-Laurent-Blangy,7.1,2025,8.0,17.0
62014,Aire-sur-la-Lys,62,9585,False,10.0,St Omer Ribot,15.0,2023,12.0,17.0
62019,Aix-Noulette,62,3913,False,6.0,Noeux-les-Mines,8.3,2024,7.0,20.0
62032,Angres,62,4842,False,6.0,Noeux-les-Mines,10.7,2024,7.0,20.0
62033,Annay,62,4517,False,12.0,Harnes Serres,1.9,2025,7.0,20.0
62034,Annequin,62,2145,False,6.0,Noeux-les-Mines,4.1,2024,12.0,20.0
62035,Annezin,62,5813,False,11.0,Bethune Stade,1.2,2025,12.0,17.0
62037,Anzin-Saint-Aubin,62,2806,False,10.0,St-Laurent-Blangy,4.9,2025,8.0,17.0
62040,Arques,62,9655,False,10.0,St Omer Ribot,4.3,2023,8.0,17.0
62041,Arras,62,42600,False,10.0,St-Laurent-Blangy,3.6,2025,8.0,17.0
62042,Athies,62,1059,False,10.0,St-Laurent-Blangy,2.4,2025,8.0,17.0
62048,Auchel,62,10062,False,11.0,Bethune Stade,12.1,2025,12.0,17.0
62051,Auchy-les-Mines,62,4623,False,6.0,Noeux-les-Mines,8.3,2024,7.0,20.0
62065,Avion,62,17672,False,12.0,Harnes Serres,7.2,2025,7.0,17.0
62073,Bailleul-Sir-Berthoult,62,1430,False,10.0,St-Laurent-Blangy,4.0,2025,8.0,17.0
62083,Barlin,62,7366,False,6.0,Noeux-les-Mines,5.2,2024,12.0,20.0
62099,Beaurains,62,5515,False,10.0,St-Laurent-Blangy,5.7,2025,8.0,17.0
62471,Bellinghem,62,1087,False,10.0,St Omer Ribot,9.9,2023,8.0,17.0
62126,Beuvry,62,9111,False,11.0,Bethune Stade,3.9,2025,12.0,17.0
62128,Biache-Saint-Vaast,62,4481,False,10.0,St-Laurent-Blangy,9.5,2025,8.0,17.0
62132,Billy-Berclau,62,5059,False,12.0,Harnes Serres,8.2,2025,7.0,20.0
62133,Billy-Montigny,62,8117,False,12.0,Harnes Serres,3.8,2025,7.0,17.0
62160,Boulogne-sur-Mer,62,40910,False,6.0,Outreau,4.2,2024,12.0,17.0
62164,Bourlon,62,1140,False,11.0,Douai Theuriet,22.3,2025,11.0,17.0
62170,Bouvigny-Boyeffles,62,2371,False,6.0,Noeux-les-Mines,7.4,2024,12.0,20.0
62173,Brebières,62,5169,False,11.0,Douai Theuriet,5.5,2025,11.0,17.0
62178,Bruay-la-Buissière,62,21827,False,11.0,Bethune Stade,7.8,2025,12.0,17.0
62181,Bucquoy,62,1480,False,10.0,St-Laurent-Blangy,19.7,2025,8.0,17.0
62186,Bully-les-Mines,62,12221,False,6.0,Noeux-les-Mines,6.2,2024,12.0,20.0
62188,Burbure,62,2819,False,11.0,Bethune Stade,12.2,2025,12.0,17.0
62190,Busnes,62,1245,False,11.0,Bethune Stade,10.5,2025,12.0,17.0
62119,Béthune,62,24992,False,11.0,Bethune Stade,0.9,2025,12.0,17.0
62193,Calais,62,67380,False,11.0,Calais Parmentier,1.3,2024,12.0,16.0
62194,Calonne-Ricouart,62,5463,False,11.0,Bethune Stade,11.7,2025,12.0,17.0
62195,Calonne-sur-la-Lys,62,1560,False,11.0,Bethune Stade,8.8,2025,12.0,17.0
62200,Cambrin,62,1228,False,6.0,Noeux-les-Mines,5.6,2024,12.0,20.0
62215,Carvin,62,17852,False,12.0,Harnes Serres,5.7,2025,7.0,17.0
62224,Chocques,62,2824,False,11.0,Bethune Stade,5.2,2025,12.0,17.0
62240,Corbehem,62,2266,False,11.0,Douai Theuriet,5.0,2025,11.0,17.0
62249,Courcelles-lès-Lens,62,8213,False,11.0,Douai Theuriet,5.4,2025,11.0,17.0
62250,Courrières,62,10199,False,12.0,Harnes Serres,3.3,2025,7.0,17.0
62262,Cuinchy,62,1754,False,6.0,Noeux-les-Mines,6.5,2024,12.0,20.0
62263,Dainville,62,5703,False,10.0,St-Laurent-Blangy,7.5,2025,8.0,17.0
62274,Dourges,62,5997,False,12.0,Harnes Serres,6.2,2025,7.0,17.0
62276,Douvrin,62,5795,False,12.0,Harnes Serres,8.7,2025,7.0,20.0
62277,Drocourt,62,2943,False,12.0,Harnes Serres,7.0,2025,7.0,17.0
62279,Duisans,62,1383,False,10.0,St-Laurent-Blangy,8.0,2025,8.0,17.0
62310,Essars,62,1755,False,11.0,Bethune Stade,2.4,2025,12.0,17.0
62311,Estevelles,62,2024,False,12.0,Harnes Serres,3.4,2025,7.0,17.0
62323,Fampoux,62,1219,False,10.0,St-Laurent-Blangy,4.7,2025,8.0,17.0
62330,Festubert,62,1266,False,11.0,Bethune Stade,7.2,2025,12.0,17.0
62331,Feuchy,62,1015,False,10.0,St-Laurent-Blangy,4.0,2025,8.0,17.0
62338,Fleurbaix,62,2862,False,10.0,Wattignies,16.1,2025,11.0,17.0
62349,Fouquereuil,62,1632,False,11.0,Bethune Stade,3.0,2025,12.0,17.0
62350,Fouquières-lès-Béthune,62,1115,False,11.0,Bethune Stade,3.0,2025,12.0,17.0
62351,Fouquières-lès-Lens,62,6233,False,12.0,Harnes Serres,2.2,2025,7.0,17.0
62371,Givenchy-en-Gohelle,62,2026,False,10.0,St-Laurent-Blangy,9.5,2025,8.0,17.0
62373,Givenchy-lès-la-Bassée,62,1006,False,6.0,Noeux-les-Mines,8.1,2024,12.0,20.0
62376,Gonnehem,62,2507,False,11.0,Bethune Stade,5.8,2025,12.0,17.0
62383,Gouy-sous-Bellonne,62,1396,False,11.0,Douai Theuriet,7.1,2025,11.0,17.0
62386,Grenay,62,6704,False,6.0,Noeux-les-Mines,7.1,2024,7.0,20.0
62391,Guarbecque,62,1369,False,11.0,Bethune Stade,13.0,2025,12.0,17.0
62400,Haillicourt,62,4884,False,6.0,Noeux-les-Mines,6.4,2024,12.0,20.0
62401,Haisnes,62,4427,False,12.0,Harnes Serres,9.3,2025,7.0,20.0
62412,Hardinghen,62,1219,False,18.0,Calais Berthelot,16.8,2025,12.0,17.0
62413,Harnes,62,12317,False,12.0,Harnes Serres,0.4,2025,7.0,17.0
62443,Hersin-Coupigny,62,6147,False,6.0,Noeux-les-Mines,5.2,2024,12.0,20.0
62452,Heuringhem,62,1379,False,10.0,St Omer Ribot,6.3,2023,8.0,17.0
