code_insee,commune,dep,PMUN,dans_MEL,part_logts_vacants,part_maisons,part_proprietaires,part_hlm,part_menages_sans_voiture,part_menages_2voit_plus,evol_pop_2016_2022_pct
59594,Thun-Saint-Amand,59,1110,False,2.6,98.6,84.7,1.7,6.8,52.5,-2.6
59598,Toufflers,59,3910,True,5.1,95.4,75.2,16.8,9.2,52.2,1.0
59599,Tourcoing,59,99011,True,9.1,53.0,48.0,25.5,24.8,25.3,1.7
59602,Tressin,59,1395,True,3.1,98.5,76.6,10.4,4.0,56.5,-1.2
59603,Trith-Saint-Léger,59,6124,False,8.8,77.9,56.6,24.0,18.4,32.6,-3.2
59588,Téteghem-Coudekerque-Village,59,8384,False,6.4,81.7,73.5,18.0,7.0,49.9,2.0
59606,Valenciennes,59,42991,False,12.5,38.4,33.1,23.2,29.9,19.1,-1.6
59609,Vendeville,59,1546,True,4.0,84.0,82.3,2.0,2.4,53.3,-0.7
59610,Verchain-Maugré,59,1102,False,10.0,99.6,84.4,6.1,8.1,59.8,13.7
59611,Verlinghem,59,2673,True,2.9,88.8,75.6,8.5,4.7,58.0,9.5
59615,Vieux-Berquin,59,2649,False,7.5,97.4,80.4,4.9,5.4,57.2,5.1
59616,Vieux-Condé,59,10446,False,4.9,92.8,55.2,26.1,19.7,34.8,0.6
59009,Villeneuve-d'Ascq,59,62067,True,3.7,39.1,40.8,31.2,25.8,27.2,-0.0
59622,Villers-en-Cauchies,59,1161,False,7.2,97.9,77.0,1.6,7.5,50.7,-10.2
59629,Vred,59,1311,False,7.7,99.8,92.2,1.1,10.1,53.9,-5.1
59630,Wahagnies,59,2605,False,4.1,91.0,78.0,12.3,10.7,44.7,-0.4
59632,Wallers,59,5598,False,7.4,98.0,58.9,21.3,11.3,45.6,2.3
59636,Wambrechies,59,10798,True,4.4,66.0,60.4,21.3,11.4,40.7,4.2
59637,Wandignies-Hamage,59,1318,False,8.6,99.3,90.9,0.0,6.2,62.3,1.7
59638,Wannehain,59,1331,False,4.6,99.4,81.4,14.0,3.1,62.1,12.1
59639,Wargnies-le-Grand,59,1101,False,4.9,96.2,80.1,4.7,5.0,56.8,2.0
59641,Warhem,59,2022,False,2.4,78.1,87.7,1.8,4.1,55.4,-0.8
59646,Wasquehal,59,20836,True,5.7,58.9,55.9,20.3,15.6,32.9,-0.2
59647,Watten,59,2577,False,7.3,86.1,56.1,18.2,17.5,34.0,0.2
59648,Wattignies,59,15531,True,4.7,45.3,47.3,26.2,18.9,28.9,8.8
59650,Wattrelos,59,40836,True,3.9,73.6,56.8,29.9,19.0,33.3,-1.1
59651,Wavrechain-sous-Denain,59,1616,False,8.7,91.2,59.3,23.3,23.0,30.6,-2.9
59653,Wavrin,59,7773,True,3.7,83.7,68.6,18.0,9.2,44.7,2.0
59654,Waziers,59,7354,False,6.7,87.8,45.2,35.9,22.1,33.1,-2.2
59656,Wervicq-Sud,59,5299,True,3.3,74.5,61.1,25.9,11.7,44.1,0.6
59660,Willems,59,2996,True,5.3,88.7,67.0,21.9,9.6,48.2,-1.5
59662,Winnezeele,59,1300,False,5.6,96.6,87.3,1.4,5.9,61.0,0.1
59663,Wormhout,59,5705,False,5.4,85.3,70.9,5.6,8.0,45.4,0.8
59185,Écaillon,59,1910,False,7.2,91.2,49.5,38.6,17.3,37.6,-3.0
62004,Achicourt,62,7938,False,5.7,71.4,59.3,25.6,16.5,32.2,2.9
62013,Agny,62,1879,False,5.8,95.3,77.5,8.9,6.9,48.1,-3.5
62014,Aire-sur-la-Lys,62,9585,False,10.9,78.8,61.0,13.0,16.1,36.0,-3.0
62019,Aix-Noulette,62,3913,False,5.0,88.6,69.3,16.6,7.3,46.8,0.4
62032,Angres,62,4842,False,3.2,96.1,55.3,26.6,12.9,41.9,6.3
62033,Annay,62,4517,False,6.1,93.1,73.0,14.7,11.1,43.7,5.7
62034,Annequin,62,2145,False,4.1,93.0,50.6,25.2,9.8,43.7,-4.1
62035,Annezin,62,5813,False,5.9,92.6,69.3,10.1,9.9,40.6,-1.2
62037,Anzin-Saint-Aubin,62,2806,False,11.7,83.4,76.9,7.2,5.1,51.8,2.8
62040,Arques,62,9655,False,4.8,76.0,58.2,22.7,15.1,32.4,-3.3
62041,Arras,62,42600,False,10.3,33.5,33.5,30.6,29.0,17.6,4.3
62042,Athies,62,1059,False,5.3,97.4,84.0,5.9,7.9,52.1,5.6
62048,Auchel,62,10062,False,13.7,81.0,45.4,29.5,24.1,29.8,-3.1
62051,Auchy-les-Mines,62,4623,False,5.2,91.3,59.5,20.1,15.0,40.5,-0.5
62065,Avion,62,17672,False,6.6,76.1,41.9,33.8,21.6,29.0,-1.8
62073,Bailleul-Sir-Berthoult,62,1430,False,4.4,95.1,82.1,4.9,8.1,53.4,2.1
62083,Barlin,62,7366,False,8.0,88.2,41.2,33.6,18.6,33.2,-5.1
62099,Beaurains,62,5515,False,4.7,75.3,58.5,24.5,12.7,34.2,-2.9
62471,Bellinghem,62,1087,False,4.9,98.7,84.2,4.4,3.0,61.4,0.2
62126,Beuvry,62,9111,False,8.2,77.8,62.6,17.0,15.4,39.2,-5.3
62128,Biache-Saint-Vaast,62,4481,False,5.1,91.7,77.8,7.8,11.8,45.6,11.4
62132,Billy-Berclau,62,5059,False,4.1,93.3,74.1,12.9,7.7,48.4,11.3
62133,Billy-Montigny,62,8117,False,8.7,73.8,42.0,38.4,24.5,27.8,-1.7
62160,Boulogne-sur-Mer,62,40910,False,8.5,26.4,30.0,32.8,35.7,14.0,-1.5
62164,Bourlon,62,1140,False,9.0,94.5,79.9,0.4,8.9,48.6,-2.3
62170,Bouvigny-Boyeffles,62,2371,False,5.6,98.1,80.2,6.4,4.4,50.1,-1.8
62173,Brebières,62,5169,False,5.2,88.6,72.9,13.1,10.8,45.2,6.2
62178,Bruay-la-Buissière,62,21827,False,8.6,79.0,35.8,38.5,25.2,26.6,-1.0
62181,Bucquoy,62,1480,False,7.4,92.3,71.5,7.9,9.1,49.6,2.7
62186,Bully-les-Mines,62,12221,False,8.9,82.2,48.0,33.8,18.8,34.2,-1.0
62188,Burbure,62,2819,False,8.1,98.2,74.1,7.3,11.3,41.6,-3.4
62190,Busnes,62,1245,False,9.2,97.5,83.5,1.6,4.9,51.3,-3.8
