code_insee,commune,dep,PMUN,dans_MEL,acces_gare_proche_min_min,acces_gare_proche_moy_min,gare_utile,gare_utile_uic,gare_utile_commune,gare_utile_sur_place,acces_gare_utile_min,desserte_directe_faible,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,attente_ter_min,egress_lille_min,porte_a_porte_median_min,trajet_ter_realiste_min,tc_trajets_jour,tc_arr_lille_matin,tc_trajet_median_min,tc_trajet_min_min,tc_trajet_realiste_min,tc_premier_arr_lille,tc_dernier_dep,tc_part_direct,tc_metro_sur_place,meilleur_temps_vers_lille_min,meilleur_mode_vers_lille,ter_billet_normal_eur,ter_abo_hebdo_eur,ter_abo_mensuel_eur,ter_abo_mensuel_estime,ter_abo_mensuel_reste_a_charge_eur,velo_min,velo_ter_min,voiture_min,voiture_bouchons_min,voiture_km,voiture_cout_carburant_eur,voiture_cout_mensuel_est_eur,ilevia_abo_mensuel_eur,ilevia_abo_reste_a_charge_eur,gare_sur_territoire,cout_mensuel_meilleur_mode_eur,temps_sans_voiture_min,mode_sans_voiture,cout_sans_voiture_eur,surcout_temps_sans_voiture_min,ratio_alternatif_vs_voiture,option_sans_voiture,cout_transit_min_eur,ratio_sansvoiture_vs_voiture
59019,Artres,59,1064,False,8.1,9.3,Le Poirier Université,87343210,Trith-Saint-Léger,False,11.9,False,11.0,3.0,2.0,2.0,42.0,41.0,06:13,21:14,15.0,Flandres,K61,11.0,3.0,20:05,0.0,12.0,6,53.9,71.9,,,,,,,,,,71.9,TER,,,,False,,,83.0,66.0,17.0,59.0,496.0,596.0,,,False,,83.0,velo+TER,,11.0,1.09,1,,1.26
59022,Attiches,59,2238,False,6.9,9.7,Phalempin,87286500,Phalempin,False,6.2,False,21.0,7.0,6.0,6.0,19.0,18.0,06:14,21:14,15.0,Flandres,C40,22.0,6.0,22:27,0.0,10.7,6,25.2,41.9,,,,,,,,,,41.9,TER,4.4,12.7,46.0,False,23.0,,51.0,42.0,15.0,18.2,153.0,253.0,,,False,23.0,51.0,velo+TER,23.0,9.0,1.0,1,23.0,1.21
59024,Auberchicourt,59,4626,False,6.0,8.5,Montigny-en-Ostrevent,87345306,Montigny-en-Ostrevent,False,11.6,False,11.0,4.0,3.0,2.0,31.0,29.0,06:08,21:05,15.0,Flandres,K40,11.0,3.0,20:23,0.0,12.0,6,42.6,60.6,,,,,,,,,,60.6,TER,9.7,26.1,94.0,False,47.0,,72.0,68.0,15.0,47.6,400.0,500.0,,,False,47.0,72.0,velo+TER,47.0,11.0,0.89,1,47.0,1.06
59025,Aubers,59,1722,True,8.1,10.5,Salomé,87342451,Salomé,False,14.0,False,11.0,4.0,3.0,3.0,37.0,37.0,06:07,20:07,14.0,Flandres,C50,12.0,3.0,20:16,0.0,12.0,6,51.0,69.0,56.0,12.0,55.3,40.7,68.3,07:43,18:44,0.0,False,68.3,TC urbain ~ TER,6.5,,64.0,True,32.0,,,53.0,19.0,25.1,211.0,311.0,56.5,28.25,False,28.25,68.3,TC urbain,28.25,0.0,1.29,1,28.25,1.29
59026,Aubigny-au-Bac,59,1159,False,1.0,2.1,Montigny-en-Ostrevent,87345306,Montigny-en-Ostrevent,False,20.0,False,11.0,4.0,3.0,2.0,31.0,29.0,06:08,21:05,15.0,Flandres,K40,11.0,3.0,20:23,0.0,12.0,6,51.0,69.0,,,,,,,,,,69.0,TER,9.7,26.1,94.0,False,47.0,,,69.0,21.0,54.4,457.0,557.0,,,True,47.0,69.0,TER,47.0,0.0,1.0,1,47.0,1.0
59027,Aubry-du-Hainaut,59,1726,False,5.2,6.7,Valenciennes,87343004,Valenciennes,False,15.2,False,53.0,14.0,14.0,13.0,44.0,34.0,05:35,21:49,16.2,Flandres,"C60, K60, K61",52.0,14.0,21:39,0.0,5.4,6,59.2,70.6,,,,,,,,,,70.6,TER,10.8,29.1,105.0,False,52.0,,80.0,55.0,15.0,47.7,401.0,501.0,,,False,52.0,80.0,velo+TER,52.0,9.0,1.28,1,52.0,1.45
59028,Auby,59,7188,False,1.1,4.9,Leforest,87345223,Leforest,False,5.0,False,21.0,7.0,6.0,7.0,33.0,31.0,06:00,21:00,15.0,Flandres,C40,22.0,6.0,22:27,0.0,10.7,6,38.0,54.7,,,,,,,,,,54.7,TER ~ velo+TER,6.8,18.6,67.0,False,33.0,,58.0,57.0,22.0,37.1,312.0,412.0,,,False,33.0,58.0,velo+TER,33.0,3.0,0.96,1,33.0,1.02
59029,Auchy-lez-Orchies,59,1486,False,2.8,5.7,Orchies,87286583,Orchies,False,10.2,False,53.0,14.0,14.0,13.0,21.0,15.0,05:58,22:09,16.2,Flandres,"C60, K60, K61",52.0,14.0,21:39,0.0,5.4,6,31.2,42.6,,,,,,,,,,42.6,TER,5.8,16.6,60.0,False,30.0,,52.0,46.0,16.0,28.1,236.0,336.0,,,False,30.0,52.0,velo+TER,30.0,9.0,0.93,1,30.0,1.13
59032,Aulnoy-lez-Valenciennes,59,7183,False,1.1,3.9,Le Poirier Université,87343210,Trith-Saint-Léger,False,8.8,False,11.0,3.0,2.0,2.0,42.0,41.0,06:13,21:14,15.0,Flandres,K61,11.0,3.0,20:05,0.0,12.0,6,50.8,68.8,,,,,,,,,,68.8,TER ~ velo+TER,,,,False,,,73.0,62.0,15.0,55.5,466.0,566.0,,,False,,73.0,velo+TER,,4.0,1.11,1,,1.18
59034,Avelin,59,2600,False,6.0,8.2,Seclin,87286518,Seclin,False,15.3,False,44.0,13.0,13.0,13.0,11.0,10.0,05:27,21:18,15.8,Flandres,"C40, C41",42.0,13.0,22:27,0.0,5.8,6,26.3,38.1,,,,,,,,,,38.1,TER ~ velo+TER,3.5,10.1,36.0,False,18.0,55.0,42.0,36.0,11.0,15.5,130.0,230.0,,,False,18.0,42.0,velo+TER,18.0,4.0,1.06,1,18.0,1.17
59038,Avesnes-le-Sec,59,1447,False,6.8,8.2,Cambrai,87345520,Cambrai,False,20.9,False,11.0,3.0,3.0,3.0,60.0,59.0,05:38,20:38,15.0,Flandres,K40,11.0,3.0,20:23,0.0,12.0,6,80.9,98.9,,,,,,,,,,98.9,TER,13.4,36.0,130.0,False,65.0,,,71.0,17.0,66.7,560.0,660.0,,,False,65.0,,,,,1.39,0,65.0,
59042,Bachy,59,1883,False,8.6,11.9,Templeuve,87286625,Templeuve-en-Pévèle,False,15.7,False,29.0,9.0,9.0,7.0,16.0,11.0,06:04,22:05,16.0,Flandres,"C60, K61",27.0,8.0,21:39,0.0,8.3,6,31.7,46.0,,,,,,,,,,46.0,TER,4.1,11.9,43.0,False,21.0,,,41.0,6.0,24.4,205.0,305.0,,,False,21.0,,,,,1.12,0,21.0,
59043,Bailleul,59,14869,False,1.0,3.5,Bailleul,87286179,Bailleul,True,1.0,False,45.0,16.0,15.0,12.0,24.0,22.0,05:01,21:25,16.4,Flandres,"C70, K70, K71",47.0,16.0,22:13,0.0,4.7,6,25.0,35.7,,,,,,,,,,35.7,TER ~ velo+TER,8.0,21.1,76.0,False,38.0,,37.0,54.0,21.0,32.6,274.0,374.0,,,True,38.0,35.7,TER ~ velo+TER,38.0,0.0,0.66,1,38.0,0.66
59044,Baisieux,59,5177,True,1.0,3.2,Baisieux,87286872,Baisieux,True,1.0,False,18.0,5.0,5.0,5.0,15.0,13.0,06:35,21:37,15.0,Flandres,P81,16.0,4.0,22:08,0.0,12.0,6,16.0,34.0,15.0,9.0,61.0,55.0,74.0,07:13,17:10,0.0,False,34.0,TER ~ velo+TER,3.5,10.1,36.0,False,18.0,,39.0,31.0,6.0,18.1,152.0,252.0,56.5,28.25,True,18.0,34.0,TER ~ velo+TER,18.0,0.0,1.1,1,18.0,1.1
59052,Bauvin,59,4999,True,1.0,2.1,Bauvin - Provin,87345280,Bauvin,True,1.0,False,21.0,7.0,6.0,6.0,27.0,27.0,06:07,20:35,14.5,Flandres,"C51, K51",24.0,7.0,20:47,0.0,10.7,6,28.0,44.7,,,,,,,,,,44.7,TER,6.0,17.1,61.0,False,31.0,,50.0,58.0,20.0,31.6,265.0,365.0,56.5,28.25,True,31.0,44.7,TER,31.0,0.0,0.77,1,28.25,0.77
59054,Bavinchove,59,1046,False,1.0,2.1,Cassel,87281139,Bavinchove,True,1.0,False,11.0,3.0,4.0,3.0,43.0,42.0,05:37,20:37,15.0,Flandres,K70,12.0,4.0,20:40,0.0,12.0,6,44.0,62.0,,,,,,,,,,62.0,TER,12.2,32.8,118.0,False,59.0,,72.0,70.0,18.0,58.2,489.0,589.0,,,True,59.0,62.0,TER,59.0,0.0,0.89,1,59.0,0.89
59064,Bellaing,59,1329,False,3.9,5.9,Valenciennes,87343004,Valenciennes,False,17.2,False,53.0,14.0,14.0,13.0,44.0,34.0,05:35,21:49,16.2,Flandres,"C60, K60, K61",52.0,14.0,21:39,0.0,5.4,6,61.2,72.6,,,,,,,,,,72.6,TER,10.8,29.1,105.0,False,52.0,,,58.0,15.0,48.3,406.0,506.0,,,False,52.0,,,,,1.25,0,52.0,
59071,Bersée,59,2296,False,5.1,9.3,Templeuve,87286625,Templeuve-en-Pévèle,False,15.2,False,29.0,9.0,9.0,7.0,16.0,11.0,06:04,22:05,16.0,Flandres,"C60, K61",27.0,8.0,21:39,0.0,8.3,6,31.2,45.5,,,,,,,,,,45.5,TER,4.1,11.9,43.0,False,21.0,,,49.0,13.0,24.2,203.0,303.0,,,False,21.0,,,,,0.93,0,21.0,
59079,Beuvrages,59,6784,False,1.0,2.5,Valenciennes,87343004,Valenciennes,False,14.2,False,53.0,14.0,14.0,13.0,44.0,34.0,05:35,21:49,16.2,Flandres,"C60, K60, K61",52.0,14.0,21:39,0.0,5.4,6,58.2,69.6,,,,,,,,,,69.6,TER ~ velo+TER,10.8,29.1,105.0,False,52.0,,71.0,57.0,16.0,49.6,417.0,517.0,,,True,52.0,69.6,TER ~ velo+TER,52.0,0.0,1.22,1,52.0,1.22
59080,Beuvry-la-Forêt,59,2834,False,1.0,5.0,Landas,87286575,Landas,False,7.8,False,27.0,7.0,7.0,7.0,27.0,25.0,05:54,21:54,16.0,Flandres,C60,26.0,7.0,21:39,0.0,10.7,6,34.8,51.5,,,,,,,,,,51.5,TER ~ velo+TER,6.5,18.1,65.0,False,32.0,,55.0,50.0,15.0,30.3,255.0,355.0,,,False,32.0,55.0,velo+TER,32.0,4.0,1.03,1,32.0,1.1
59082,Bierne,59,1772,False,2.1,4.4,Bergues,87281105,Bergues,False,2.5,False,11.0,4.0,4.0,3.0,61.0,61.0,05:19,20:19,15.0,Flandres,K70,12.0,4.0,20:40,0.0,12.0,6,63.5,81.5,,,,,,,,,,81.5,TER,16.0,42.9,154.0,False,77.0,,88.0,69.0,17.0,70.2,590.0,690.0,,,False,77.0,88.0,velo+TER,77.0,6.0,1.18,1,77.0,1.28
59084,Blaringhem,59,2043,False,3.6,8.1,Hazebrouck,87286302,Hazebrouck,False,18.4,False,45.0,16.0,15.0,13.0,35.0,32.0,04:51,21:14,16.4,Flandres,"C70, K70, K71",47.0,16.0,22:13,0.0,4.7,6,53.4,64.1,,,,,,,,,,64.1,TER,10.4,28.1,101.0,False,50.0,,,73.0,18.0,60.5,508.0,608.0,,,False,50.0,,,,,0.88,0,50.0,
59086,Boeschepe,59,2179,False,10.6,16.2,Bailleul,87286179,Bailleul,False,17.8,False,45.0,16.0,15.0,12.0,24.0,22.0,05:01,21:25,16.4,Flandres,"C70, K70, K71",47.0,16.0,22:13,0.0,4.7,6,41.8,52.5,,,,,,,,,,52.5,TER,8.0,21.1,76.0,False,38.0,,,64.0,18.0,46.0,386.0,486.0,,,False,38.0,,,,,0.82,0,38.0,
59088,Bois-Grenier,59,1793,True,2.8,5.5,Armentières,87286146,Armentières,False,8.3,False,45.0,16.0,15.0,11.0,15.0,14.0,05:13,21:33,16.3,Flandres,"C70, K70, K71",47.0,16.0,22:13,0.0,4.7,6,23.3,34.0,52.0,10.0,50.1,24.2,63.1,07:48,18:59,0.0,False,34.0,TER,5.3,15.5,56.0,False,28.0,,44.0,46.0,19.0,20.6,173.0,273.0,56.5,28.25,False,28.0,44.0,velo+TER,28.0,10.0,0.74,1,28.0,0.96
59089,Bollezeele,59,1423,False,3.6,8.3,Esquelbecq,87281113,Esquelbecq,False,9.1,False,11.0,4.0,4.0,3.0,55.0,54.0,05:25,20:25,15.0,Flandres,K70,12.0,4.0,20:40,0.0,12.0,6,64.1,82.1,,,,,,,,,,82.1,TER,14.6,38.8,140.0,False,70.0,,,76.0,16.0,78.1,656.0,756.0,,,False,70.0,,,,,1.08,0,70.0,
59090,Bondues,59,9713,True,4.0,8.3,Croix - Wasquehal,87286716,Wasquehal,False,20.6,False,5.0,2.0,2.0,2.0,8.0,8.0,07:43,18:43,11.0,Flandres,K80,4.0,2.0,18:09,0.0,12.0,6,28.6,46.6,549.0,95.0,26.0,17.0,39.0,06:15,22:05,0.96,False,39.0,TC urbain ~ velo,2.4,,25.0,False,13.0,43.0,49.0,35.0,9.0,13.4,113.0,213.0,56.5,28.25,False,28.25,39.0,TC urbain ~ velo,28.25,0.0,1.11,1,13.0,1.11
59094,Bourbourg,59,7023,False,1.0,2.7,Audruicq,87281428,Audruicq,False,20.0,False,9.0,3.0,3.0,4.0,64.0,64.0,05:43,20:42,15.0,Flandres,K71,9.0,3.0,21:13,0.0,12.0,6,84.0,102.0,,,,,,,,,,102.0,TER,17.5,47.2,170.0,False,85.0,,,80.0,15.0,88.6,744.0,844.0,,,True,85.0,102.0,TER,85.0,0.0,1.27,1,85.0,1.27
59096,Bourghelles,59,1673,False,10.6,12.5,Baisieux,87286872,Baisieux,False,17.2,False,18.0,5.0,5.0,5.0,15.0,13.0,06:35,21:37,15.0,Flandres,P81,16.0,4.0,22:08,0.0,12.0,6,32.2,50.2,,,,,,,,,,50.2,TER,3.5,10.1,36.0,False,18.0,,,38.0,6.0,23.3,196.0,296.0,,,False,18.0,,,,,1.32,0,18.0,
59098,Bousbecque,59,4847,True,11.9,15.4,Tourcoing,87286542,Tourcoing,False,23.0,False,15.0,5.0,5.0,5.0,14.0,14.0,06:37,21:37,15.0,Flandres,"K80, P80",14.0,4.0,22:09,3.0,12.0,6,37.0,55.0,168.0,49.0,47.0,37.0,60.0,06:54,21:46,1.0,False,55.0,TER ~ TC urbain,3.7,10.7,38.0,False,19.0,,,40.0,10.0,20.1,169.0,269.0,56.5,28.25,False,19.0,60.0,TC urbain,28.25,5.0,1.38,1,19.0,1.5
59105,Bouvignies,59,1548,False,8.1,11.7,Orchies,87286583,Orchies,False,14.2,False,53.0,14.0,14.0,13.0,21.0,15.0,05:58,22:09,16.2,Flandres,"C60, K60, K61",52.0,14.0,21:39,0.0,5.4,6,35.2,46.6,,,,,,,,,,46.6,TER,5.8,16.6,60.0,False,30.0,,,52.0,16.0,32.2,270.0,370.0,,,False,30.0,,,,,0.9,0,30.0,
59112,Bruay-sur-l'Escaut,59,11309,False,2.5,6.6,Valenciennes,87343004,Valenciennes,False,12.7,False,53.0,14.0,14.0,13.0,44.0,34.0,05:35,21:49,16.2,Flandres,"C60, K60, K61",52.0,14.0,21:39,0.0,5.4,6,56.7,68.1,,,,,,,,,,68.1,TER,10.8,29.1,105.0,False,52.0,,76.0,60.0,16.0,51.7,434.0,534.0,,,False,52.0,76.0,velo+TER,52.0,8.0,1.14,1,52.0,1.27
59114,Bruille-Saint-Amand,59,1682,False,8.5,11.5,Saint-Amand-les-Eaux,87343103,Saint-Amand-les-Eaux,False,12.3,False,53.0,15.0,14.0,14.0,34.0,24.0,05:45,22:00,16.2,Flandres,"C60, K60, K61",52.0,14.0,21:39,0.0,5.0,6,46.3,57.3,,,,,,,,,,57.3,TER,8.5,22.6,81.0,False,41.0,,,60.0,6.0,54.8,460.0,560.0,,,False,41.0,,,,,0.96,0,41.0,
59113,Bruille-lez-Marchiennes,59,1350,False,3.6,4.8,Somain,87345314,Somain,False,9.0,False,11.0,4.0,3.0,2.0,37.0,36.0,06:01,20:59,15.0,Flandres,K40,11.0,3.0,20:23,0.0,12.0,6,46.0,64.0,,,,,,,,,,64.0,TER ~ velo+TER,10.8,29.1,105.0,False,52.0,,68.0,61.0,16.0,42.5,357.0,457.0,,,False,52.0,68.0,velo+TER,52.0,4.0,1.05,1,52.0,1.11
59117,Bugnicourt,59,1074,False,2.4,4.2,Montigny-en-Ostrevent,87345306,Montigny-en-Ostrevent,False,15.6,False,11.0,4.0,3.0,2.0,31.0,29.0,06:08,21:05,15.0,Flandres,K40,11.0,3.0,20:23,0.0,12.0,6,46.6,64.6,,,,,,,,,,64.6,TER,9.7,26.1,94.0,False,47.0,,,66.0,22.0,51.2,430.0,530.0,,,False,47.0,,,,,0.98,0,47.0,
59122,Cambrai,59,31425,False,1.0,3.9,Cambrai,87345520,Cambrai,True,1.0,False,11.0,3.0,3.0,3.0,60.0,59.0,05:38,20:38,15.0,Flandres,K40,11.0,3.0,20:23,0.0,12.0,6,61.0,79.0,,,,,,,,,,79.0,TER ~ velo+TER,13.4,36.0,130.0,False,65.0,,82.0,78.0,20.0,80.3,675.0,775.0,,,True,65.0,79.0,TER ~ velo+TER,65.0,0.0,1.01,1,65.0,1.01
59123,Camphin-en-Carembault,59,1714,False,3.7,6.1,Phalempin,87286500,Phalempin,False,6.9,False,21.0,7.0,6.0,6.0,19.0,18.0,06:14,21:14,15.0,Flandres,C40,22.0,6.0,22:27,0.0,10.7,6,25.9,42.6,,,,,,,,,,42.6,TER ~ velo+TER,4.4,12.7,46.0,False,23.0,,47.0,48.0,17.0,21.0,176.0,276.0,,,False,23.0,47.0,velo+TER,23.0,4.0,0.89,1,23.0,0.98
59124,Camphin-en-Pévèle,59,2501,False,5.3,8.5,Baisieux,87286872,Baisieux,False,9.9,False,18.0,5.0,5.0,5.0,15.0,13.0,06:35,21:37,15.0,Flandres,P81,16.0,4.0,22:08,0.0,12.0,6,24.9,42.9,,,,,,,,,,42.9,TER,3.5,10.1,36.0,False,18.0,,50.0,30.0,5.0,17.9,150.0,250.0,,,False,18.0,50.0,velo+TER,18.0,7.0,1.43,1,18.0,1.67
59126,Cantin,59,1770,False,1.0,1.7,Douai,87345009,Douai,False,16.9,False,46.0,14.0,12.0,12.0,23.0,19.0,05:51,21:57,16.1,Flandres,"C40, K40, K44, K45",48.0,13.0,22:27,0.0,5.4,6,39.9,51.3,,,,,,,,,,51.3,TER,8.3,22.1,79.0,False,40.0,,,64.0,21.0,47.6,400.0,500.0,,,True,40.0,51.3,TER,40.0,0.0,0.8,1,40.0,0.8
59128,Capinghem,59,2474,True,5.8,7.2,Pérenchies,87286278,Pérenchies,False,8.8,False,20.0,7.0,6.0,6.0,15.0,14.0,06:22,20:22,14.0,Flandres,C70,19.0,7.0,20:23,0.0,10.7,6,23.8,40.5,421.0,77.0,27.5,23.7,40.5,06:20,22:16,0.0,False,39.0,velo ~ TER,3.7,10.7,38.0,False,19.0,39.0,44.0,39.0,14.0,15.7,132.0,232.0,56.5,28.25,False,0.0,39.0,velo ~ TC urbain,0.0,0.0,1.0,1,19.0,1.0
59129,Cappelle-en-Pévèle,59,2262,False,1.0,4.9,Templeuve,87286625,Templeuve-en-Pévèle,False,7.3,False,29.0,9.0,9.0,7.0,16.0,11.0,06:04,22:05,16.0,Flandres,"C60, K61",27.0,8.0,21:39,0.0,8.3,6,23.3,37.6,,,,,,,,,,37.6,TER,4.1,11.9,43.0,False,21.0,,44.0,45.0,12.0,23.4,197.0,297.0,,,False,21.0,44.0,velo+TER,21.0,6.0,0.84,1,21.0,0.98
59133,Carnin,59,1076,True,5.6,7.1,Bauvin - Provin,87345280,Bauvin,False,10.1,False,21.0,7.0,6.0,6.0,27.0,27.0,06:07,20:35,14.5,Flandres,"C51, K51",24.0,7.0,20:47,0.0,10.7,6,37.1,53.8,,,,,,,,,,53.8,TER,6.0,17.1,61.0,False,31.0,,64.0,49.0,18.0,22.2,186.0,286.0,56.5,28.25,False,31.0,64.0,velo+TER,31.0,10.0,1.1,1,28.25,1.31
59135,Cassel,59,2227,False,1.4,4.2,Cassel,87281139,Bavinchove,False,5.0,False,11.0,3.0,4.0,3.0,43.0,42.0,05:37,20:37,15.0,Flandres,K70,12.0,4.0,20:40,0.0,12.0,6,48.0,66.0,,,,,,,,,,66.0,TER,12.2,32.8,118.0,False,59.0,,74.0,66.0,18.0,51.4,432.0,532.0,,,False,59.0,74.0,velo+TER,59.0,8.0,1.0,1,59.0,1.12
59120,Caëstre,59,2006,False,3.7,6.2,Strazeele,87286203,Strazeele,False,6.2,False,20.0,7.0,6.0,7.0,40.0,39.0,05:57,19:57,14.0,Flandres,C70,19.0,7.0,20:23,0.0,10.7,6,46.2,62.9,,,,,,,,,,62.9,TER,9.4,,90.0,False,45.0,,,59.0,20.0,42.7,359.0,459.0,,,False,45.0,,,,,1.07,0,45.0,
59146,Chéreng,59,3001,True,3.0,5.8,Baisieux,87286872,Baisieux,False,7.7,False,18.0,5.0,5.0,5.0,15.0,13.0,06:35,21:37,15.0,Flandres,P81,16.0,4.0,22:08,0.0,12.0,6,22.7,40.7,15.0,9.0,65.4,59.0,78.4,07:13,17:05,0.0,False,40.7,TER ~ velo+TER,3.5,10.1,36.0,False,18.0,52.0,44.0,35.0,8.0,14.1,118.0,218.0,56.5,28.25,False,18.0,44.0,velo+TER,18.0,3.0,1.16,1,18.0,1.26
