code_insee,commune,dep,PMUN,dans_MEL,voiture_pointe_min,voiture_libre_min,bouchons_min,voiture_km,temps_sans_voiture_min,mode_sans_voiture,meilleur_temps_vers_lille_min,gare_utile_sur_place,indice_congestion,part_trajet_bouchons_pct,min_perdues_jour,h_perdues_an,vitesse_pointe_kmh,vitesse_libre_kmh,sans_alternative
59574,Somain,59,11790,False,52.2,35.1,17.1,39.6,56.0,TER ~ velo+TER,56.0,True,1.487,32.8,34.0,125.0,46.0,68.0,False
59227,Fenain,59,5529,False,51.9,34.8,17.1,39.5,66.0,velo+TER,59.7,False,1.491,32.9,34.0,125.0,46.0,68.0,False
59606,Valenciennes,59,42991,False,51.5,34.5,17.0,51.3,56.4,TER ~ velo+TER,56.4,True,1.493,33.0,34.0,125.0,60.0,89.0,False
59179,Douchy-les-Mines,59,10207,False,56.8,39.8,17.0,60.0,,,73.5,False,1.427,29.9,34.0,125.0,63.0,90.0,True
62452,Heuringhem,62,1379,False,72.3,55.3,17.0,69.0,,,78.9,False,1.307,23.5,34.0,125.0,57.0,75.0,True
59462,Phalempin,59,4849,False,38.1,21.1,17.0,19.6,36.7,TER ~ velo+TER,36.7,True,1.806,44.6,34.0,125.0,31.0,56.0,False
59293,Haverskerque,59,1401,False,65.0,48.0,17.0,55.6,,,60.2,False,1.354,26.2,34.0,125.0,51.0,70.0,True
59499,Rexpoëde,59,1992,False,60.9,44.0,16.9,63.4,,,93.1,False,1.384,27.8,34.0,124.0,62.0,86.0,True
59501,Rieulay,59,1243,False,49.3,32.4,16.9,36.8,74.0,velo+TER,61.8,False,1.522,34.3,34.0,124.0,45.0,68.0,False
59414,Montigny-en-Ostrevent,59,4681,False,55.2,38.5,16.8,39.8,50.0,TER ~ velo+TER,50.0,True,1.434,30.4,34.0,123.0,43.0,62.0,False
59018,Arnèke,59,1561,False,65.4,48.7,16.8,66.8,68.0,TER,68.0,True,1.343,25.7,34.0,123.0,61.0,82.0,False
59348,Lieu-Saint-Amand,59,1461,False,62.5,45.8,16.7,65.3,,,71.0,False,1.365,26.7,33.0,122.0,63.0,86.0,True
59369,Maing,59,4004,False,57.8,41.1,16.7,57.9,76.0,velo+TER,66.1,False,1.406,28.9,33.0,122.0,60.0,85.0,False
62471,Bellinghem,62,1087,False,77.1,60.3,16.7,76.2,,,84.0,False,1.279,21.7,33.0,122.0,59.0,76.0,True
59082,Bierne,59,1772,False,60.9,44.2,16.7,70.2,88.0,velo+TER,83.3,False,1.378,27.4,33.0,122.0,69.0,95.0,False
59019,Artres,59,1064,False,58.0,41.3,16.7,59.0,83.0,velo+TER,68.1,False,1.404,28.8,33.0,122.0,61.0,86.0,False
59203,Erre,59,1574,False,54.2,37.6,16.6,40.6,71.0,velo+TER,61.2,False,1.441,30.6,33.0,122.0,45.0,65.0,False
59038,Avesnes-le-Sec,59,1447,False,63.0,46.4,16.6,66.7,,,96.1,False,1.358,26.3,33.0,122.0,64.0,86.0,True
59361,Lourches,59,3814,False,58.5,42.0,16.5,50.8,,,67.0,False,1.393,28.2,33.0,121.0,52.0,73.0,True
59610,Verchain-Maugré,59,1102,False,59.6,43.3,16.3,64.0,,,72.2,False,1.376,27.3,33.0,120.0,64.0,89.0,True
59002,Abscon,59,4203,False,56.7,40.4,16.3,47.4,73.0,velo+TER,61.6,False,1.403,28.7,33.0,120.0,50.0,70.0,False
59309,Hondschoote,59,4026,False,62.9,46.6,16.3,66.1,,,96.0,False,1.35,25.9,33.0,120.0,63.0,85.0,True
59588,Téteghem-Coudekerque-Village,59,8384,False,66.5,50.2,16.3,76.6,102.0,velo+TER,86.9,False,1.325,24.5,33.0,120.0,69.0,92.0,False
59641,Warhem,59,2022,False,64.7,48.5,16.2,73.6,,,88.3,False,1.334,25.0,32.0,119.0,68.0,91.0,True
62543,Mametz,62,1998,False,75.2,59.0,16.2,73.5,,,88.7,False,1.275,21.5,32.0,119.0,59.0,75.0,True
