code_insee,commune,dep,PMUN,dans_MEL,risque_inondation,risque_remontee_nappe,risque_minier,risque_mvt_terrain,risque_techno,catnat_total_n,catnat_inondation_n,catnat_secheresse_n,catnat_inondation_depuis_2010_n,catnat_derniere_annee,nb_risques_naturels,catnat_inondation_par_decennie
59146,Chéreng,59,3001,True,1,0,0,1,0,5,2,2,0,2023,2,0.5
59152,Comines,59,12671,True,1,0,0,0,0,8,6,0,2,2023,1,1.4
59153,Condé-sur-l'Escaut,59,9396,False,1,0,1,1,0,4,3,0,1,2022,3,0.7
59155,Coudekerque-Branche,59,20765,False,1,0,0,1,1,10,6,3,0,1999,2,1.4
59156,Courchelettes,59,2881,False,1,0,0,1,1,7,6,0,0,2005,2,1.4
59158,Coutiches,59,3246,False,1,0,0,1,0,11,5,5,1,2023,2,1.2
59163,Croix,59,20778,True,1,0,0,0,0,14,6,6,0,2023,1,1.4
59165,Cuincy,59,6472,False,1,0,0,1,0,6,5,0,0,2005,2,1.2
59166,Curgies,59,1347,False,0,0,0,1,0,3,2,0,0,2007,1,0.5
59168,Cysoing,59,4722,False,1,0,0,1,0,12,7,4,3,2024,2,1.6
59170,Dechy,59,5351,False,1,0,1,1,0,5,3,1,0,2022,3,0.7
59172,Denain,59,20640,False,1,0,1,1,1,7,4,1,0,1999,3,0.9
59173,Deûlémont,59,1819,True,1,0,0,0,0,5,3,1,0,2024,1,0.7
59670,Don,59,1412,True,0,0,0,0,0,2,1,0,0,1999,0,0.2
59178,Douai,59,39648,False,1,0,1,1,1,14,10,2,2,2026,3,2.3
59179,Douchy-les-Mines,59,10207,False,1,0,1,1,1,4,2,1,0,1999,3,0.5
59183,Dunkerque,59,86788,False,1,0,0,1,1,26,10,15,0,2023,2,2.3
59189,Eecke,59,1221,False,1,0,0,1,0,8,4,3,0,2023,2,0.9
59193,Emmerin,59,3053,True,0,0,0,0,1,4,2,1,1,2024,0,0.5
59196,Ennetières-en-Weppes,59,1293,True,1,0,0,1,1,12,9,2,4,2023,2,2.1
59197,Ennevelin,59,2356,False,1,0,0,1,0,10,7,2,2,2024,2,1.6
59202,Erquinghem-Lys,59,5356,True,1,0,0,0,0,7,3,3,0,2023,1,0.7
59203,Erre,59,1574,False,1,0,0,1,0,8,4,3,1,2023,2,0.9
59205,Escaudain,59,9253,False,1,0,1,0,0,5,3,0,1,2011,2,0.7
59207,Escautpont,59,4152,False,1,0,1,0,0,2,1,0,0,1999,2,0.2
59210,Esquelbecq,59,2134,False,1,0,0,1,0,22,11,10,5,2026,2,2.6
59212,Estaires,59,6496,False,1,0,0,1,0,18,9,8,3,2024,2,2.1
59214,Estrées,59,1116,False,1,0,0,1,0,3,2,0,0,1999,2,0.5
59220,Faches-Thumesnil,59,18110,True,1,0,0,1,0,10,6,1,2,2023,2,1.4
59221,Famars,59,2475,False,0,0,0,0,0,3,2,0,0,1999,0,0.5
59222,Faumont,59,2251,False,1,0,0,1,0,10,5,3,1,2023,2,1.2
59227,Fenain,59,5529,False,1,0,1,1,0,13,7,5,3,2023,3,1.6
59234,Flers-en-Escrebieux,59,5642,False,1,0,1,1,0,3,2,0,0,1999,3,0.5
59239,Flines-lez-Raches,59,5610,False,1,0,1,1,1,9,7,1,1,2023,3,1.6
59238,Flines-lès-Mortagne,59,1649,False,1,0,0,1,0,3,2,0,1,2018,2,0.5
59244,Fontaine-Notre-Dame,59,1763,False,1,0,0,1,0,8,2,5,0,2023,2,0.5
59247,Forest-sur-Marque,59,1659,True,1,0,0,0,0,7,4,2,2,2024,1,0.9
59250,Fournes-en-Weppes,59,2190,True,1,0,0,0,0,6,3,2,1,2024,1,0.7
59252,Frelinghien,59,2581,True,1,0,0,0,0,7,4,2,1,2023,1,0.9
59253,Fresnes-sur-Escaut,59,7486,False,1,0,1,0,0,2,1,0,0,1999,2,0.2
59256,Fretin,59,3227,True,1,0,0,0,0,9,8,0,2,2024,1,1.9
59257,Fromelles,59,1076,True,1,0,0,1,0,8,3,4,1,2023,2,0.7
59224,Féchain,59,1658,False,0,0,0,1,0,2,1,0,0,1999,1,0.2
59228,Férin,59,1447,False,0,0,0,0,1,2,1,0,0,1999,0,0.2
59258,Genech,59,2825,False,1,0,0,1,0,10,6,3,1,2023,2,1.4
59260,Ghyvelde,59,4119,False,1,0,0,1,0,16,3,12,0,2023,2,0.7
59262,Godewaersvelde,59,2053,False,1,0,0,1,0,16,7,8,1,2023,2,1.6
59265,Gommegnies,59,2300,False,1,0,0,0,0,5,4,0,0,2002,1,0.9
59266,Gondecourt,59,4050,False,1,0,0,0,0,5,4,0,2,2016,1,0.9
59271,Grande-Synthe,59,20331,False,1,0,0,1,1,3,1,1,0,2000,2,0.2
59275,Gruson,59,1237,True,1,0,0,0,0,7,4,2,2,2024,1,0.9
59276,Guesnain,59,4656,False,1,0,1,1,0,10,6,3,0,2023,3,1.4
59263,Gœulzin,59,1042,False,1,0,0,1,0,5,4,0,0,1999,2,0.9
59278,Hallennes-lez-Haubourdin,59,4718,True,1,0,0,1,1,5,4,0,0,2007,2,0.9
59279,Halluin,59,20829,True,1,0,0,1,1,12,8,3,0,2021,2,1.9
59281,Hantay,59,1259,True,1,0,0,0,0,3,2,0,0,1999,1,0.5
59284,Hasnon,59,3874,False,1,0,1,0,0,3,2,0,1,2018,2,0.5
59286,Haubourdin,59,14757,True,1,0,0,0,1,8,6,1,0,2002,1,1.4
59292,Haveluy,59,3250,False,1,0,1,0,0,7,2,4,0,2023,2,0.5
59293,Haverskerque,59,1401,False,1,0,0,1,0,10,6,3,3,2024,2,1.4
59295,Hazebrouck,59,21498,False,1,0,0,1,0,22,15,6,7,2023,2,3.5
59299,Hem,59,18713,True,1,0,0,1,0,14,5,8,0,2023,2,1.2
59301,Hergnies,59,4463,False,1,0,1,0,0,2,1,0,0,1999,2,0.2
59303,Herlies,59,2323,True,1,0,0,0,0,6,3,2,0,2024,1,0.7
59305,Herzeele,59,1634,False,1,0,0,1,0,14,4,9,1,2023,2,0.9
59309,Hondschoote,59,4026,False,1,0,0,1,0,15,3,11,0,2026,2,0.7
59314,Hornaing,59,3535,False,1,0,1,1,0,8,4,3,1,2023,3,0.9
59316,Houplin-Ancoisne,59,3275,True,1,0,0,0,0,5,4,0,1,2016,1,0.9
59317,Houplines,59,7897,True,1,0,0,0,0,10,6,3,1,2023,1,1.4
59297,Hélesmes,59,1921,False,1,0,0,0,0,6,3,2,0,2023,1,0.7
59302,Hérin,59,4129,False,1,0,1,1,0,4,3,0,0,1999,3,0.7
59320,Illies,59,1664,True,0,0,0,1,0,7,3,3,0,2023,1,0.7
59051,La Bassée,59,6622,True,0,0,0,0,0,4,3,0,2,2016,0,0.7
59143,La Chapelle-d'Armentières,59,8719,True,1,0,0,0,0,5,3,1,0,2023,1,0.7
59268,La Gorgue,59,5599,False,1,0,0,0,0,16,10,5,6,2026,1,2.3
59368,La Madeleine,59,22488,True,1,0,0,0,1,5,4,0,0,1999,1,0.9
59564,La Sentinelle,59,3143,False,0,0,1,1,0,2,1,0,0,1999,2,0.2
59327,Lallaing,59,6250,False,1,0,1,0,0,6,5,0,0,1999,2,1.2
59328,Lambersart,59,27121,True,1,0,0,0,1,10,7,2,1,2023,1,1.6
59329,Lambres-lez-Douai,59,4926,False,1,0,0,1,1,7,6,0,0,2005,2,1.4
59330,Landas,59,2447,False,1,0,0,1,0,6,3,2,0,2023,2,0.7
59332,Lannoy,59,1800,True,0,0,0,0,0,3,2,0,0,1999,0,0.5
59334,Lauwin-Planque,59,1582,False,0,0,0,1,0,2,1,0,0,1999,1,0.2
59180,Le Doulieu,59,1454,False,1,0,0,1,0,19,9,9,5,2024,2,2.1
59335,Lecelles,59,3004,False,1,0,0,0,0,6,5,0,2,2016,1,1.2
59339,Leers,59,9588,True,1,0,0,0,0,10,7,1,0,2024,1,1.6
59340,Leffrinckoucke,59,4124,False,1,0,0,1,0,6,2,3,1,2024,2,0.5
59343,Lesquin,59,9241,True,1,0,0,1,0,3,2,0,0,1999,2,0.5
59345,Lewarde,59,2403,False,1,0,1,1,0,3,2,0,0,1999,3,0.5
59346,Lezennes,59,3019,True,1,0,0,1,0,4,3,0,0,1999,2,0.7
59348,Lieu-Saint-Amand,59,1461,False,1,0,0,1,0,4,2,1,0,1999,2,0.5
59350,Lille,59,236710,True,1,0,0,1,1,19,14,4,0,2024,2,3.3
59352,Linselles,59,8192,True,1,0,0,1,0,10,4,5,1,2023,2,0.9
59356,Lompret,59,2182,True,1,0,0,0,0,8,7,0,2,2023,1,1.6
59360,Loos,59,23013,True,1,0,0,1,1,7,5,0,0,2005,2,1.2
59361,Lourches,59,3814,False,0,0,1,1,0,3,2,0,0,1999,2,0.5
59367,Lys-lez-Lannoy,59,13793,True,1,0,0,0,0,4,3,0,0,1999,1,0.7
59369,Maing,59,4004,False,1,0,0,1,0,5,4,0,1,2012,2,0.9
59375,Marchiennes,59,4539,False,1,0,1,0,0,8,4,3,1,2026,2,0.9
59378,Marcq-en-Barœul,59,39356,True,1,0,0,0,1,9,8,0,1,2016,1,1.9
59382,Maretz,59,1417,False,1,0,0,1,0,6,2,1,1,2026,2,0.5
59383,Marly,59,12024,False,1,0,0,1,0,5,2,0,0,2020,2,0.5
59387,Marquette-en-Ostrevant,59,1931,False,0,0,0,1,0,3,2,0,1,2018,1,0.5
59386,Marquette-lez-Lille,59,11213,True,0,0,0,1,1,3,2,0,1,2016,1,0.5
59388,Marquillies,59,1982,True,1,0,0,0,0,5,3,1,0,2021,1,0.7
59390,Masny,59,4056,False,0,0,1,1,0,2,1,0,0,1999,2,0.2
59392,Maubeuge,59,29066,False,1,0,0,1,0,15,9,5,1,2023,2,2.1
59399,Merris,59,1049,False,1,0,0,1,0,13,5,7,2,2023,2,1.2
59400,Merville,59,9652,False,1,0,0,1,0,21,13,7,7,2024,2,3.0
59408,Moncheaux,59,1703,False,1,0,0,1,0,7,4,2,0,2026,2,0.9
59409,Monchecourt,59,2501,False,1,0,1,1,0,2,1,0,0,1999,3,0.2
59410,Mons-en-Barœul,59,21467,True,1,0,0,1,0,7,4,2,0,2023,2,0.9
59411,Mons-en-Pévèle,59,2089,False,1,0,0,1,0,12,8,3,2,2024,2,1.9
59414,Montigny-en-Ostrevent,59,4681,False,1,0,0,0,0,7,6,0,0,1999,1,1.4
59416,Morbecque,59,2509,False,1,0,0,1,0,17,8,8,3,2023,2,1.9
59418,Mortagne-du-Nord,59,1584,False,1,0,0,1,0,2,1,0,0,1999,2,0.2
59419,Mouchin,59,1441,False,0,0,0,1,0,6,4,1,2,2024,1,0.9
59421,Mouvaux,59,13173,True,1,0,0,0,0,14,7,5,0,2023,1,1.6
59398,Mérignies,59,3360,False,1,0,0,1,0,13,5,7,2,2026,2,1.2
59401,Méteren,59,2256,False,1,0,0,1,0,13,7,5,2,2023,2,1.6
59423,Neuf-Berquin,59,1403,False,1,0,0,1,0,17,8,8,3,2024,2,1.9
59426,Neuville-en-Ferrain,59,10160,True,1,0,0,1,0,10,5,4,0,2023,2,1.2
59431,Nieppe,59,7606,False,1,0,0,1,0,9,4,3,0,2023,2,0.9
59434,Nivelle,59,1379,False,1,0,0,0,0,3,2,0,0,1999,1,0.5
59435,Nomain,59,2585,False,1,0,0,1,0,10,5,4,1,2023,2,1.2
59447,Onnaing,59,8719,False,1,0,1,1,0,5,4,0,0,2007,3,0.9
59449,Orchies,59,8455,False,1,0,0,1,0,12,10,1,2,2024,2,2.3
59452,Ostricourt,59,5829,False,0,0,1,1,1,6,2,3,0,2026,2,0.5
59456,Pecquencourt,59,6232,False,1,0,1,0,0,10,7,2,0,2023,2,1.6
59459,Petite-Forêt,59,5058,False,1,0,1,1,0,9,4,4,1,2023,3,0.9
59462,Phalempin,59,4849,False,1,0,0,1,0,6,5,0,1,2024,2,1.2
59466,Pont-à-Marcq,59,2883,False,1,0,0,1,0,7,6,0,2,2024,2,1.4
59475,Prouvy,59,2173,False,1,0,0,1,1,3,2,0,0,1999,2,0.5
59477,Provin,59,4469,True,1,0,0,0,1,9,8,0,1,2015,1,1.9
59470,Prémesques,59,2060,True,1,0,0,1,0,10,5,4,2,2023,2,1.2
59471,Préseau,59,2065,False,1,0,0,0,0,6,5,0,0,2008,1,1.2
59457,Pérenchies,59,8519,True,1,0,0,1,0,10,7,2,2,2023,2,1.6
59458,Péronne-en-Mélantois,59,1004,True,1,0,0,0,0,5,4,0,0,1999,1,0.9
59479,Quarouble,59,3131,False,1,0,0,1,0,2,1,0,0,1999,2,0.2
59482,Quesnoy-sur-Deûle,59,6920,True,1,0,0,0,0,6,5,0,2,2023,1,1.2
59485,Quiévy,59,1801,False,1,0,0,1,0,3,2,0,0,2002,2,0.5
59487,Radinghem-en-Weppes,59,1393,True,1,0,0,0,0,9,3,5,1,2026,1,0.7
59489,Raimbeaucourt,59,4015,False,1,0,0,1,0,8,6,1,1,2021,2,1.4
59491,Raismes,59,12055,False,1,0,1,0,0,6,4,1,2,2019,2,0.9
59497,Renescure,59,2128,False,1,0,0,1,0,15,7,7,2,2022,2,1.6
59499,Rexpoëde,59,1992,False,1,0,0,1,0,12,4,7,1,2023,2,0.9
59501,Rieulay,59,1243,False,1,0,0,0,0,4,3,0,0,1999,1,0.7
59502,Rieux-en-Cambrésis,59,1438,False,1,0,0,0,0,3,2,0,0,2002,1,0.5
59507,Ronchin,59,19437,True,1,0,0,1,0,5,4,0,1,2016,2,0.9
59508,Roncq,59,13784,True,1,0,0,1,0,12,5,6,1,2023,2,1.2
59509,Roost-Warendin,59,5976,False,1,0,1,0,0,5,4,0,1,2016,2,0.9
59511,Rosult,59,1973,False,0,0,0,0,0,3,2,0,1,2016,0,0.5
59512,Roubaix,59,98892,True,1,0,0,0,0,16,10,5,1,2023,1,2.3
59519,Rumegies,59,1740,False,0,0,0,0,0,5,3,1,2,2024,0,0.7
59486,Râches,59,2660,False,1,0,0,1,0,6,4,1,1,2023,2,0.9
59504,Rœulx,59,3779,False,1,0,1,0,0,4,3,0,0,1999,2,0.7
59522,Sailly-lez-Lannoy,59,1949,True,1,0,0,1,0,3,2,0,0,1999,2,0.5
59523,Sainghin-en-Mélantois,59,2848,True,1,0,0,0,0,4,3,0,1,2016,1,0.7
59524,Sainghin-en-Weppes,59,5641,True,1,0,0,0,0,5,3,1,0,2023,1,0.7
59526,Saint-Amand-les-Eaux,59,15980,False,1,0,0,0,0,4,3,0,1,2018,1,0.7
59527,Saint-André-lez-Lille,59,12942,True,1,0,0,0,1,9,7,1,1,2024,1,1.6
59535,Saint-Jans-Cappel,59,1642,False,1,0,0,1,0,15,7,7,1,2023,2,1.6
59544,Saint-Saulve,59,11117,False,1,0,1,1,0,7,5,1,1,2021,3,1.2
59546,Saint-Sylvestre-Cappel,59,1154,False,1,0,0,1,0,10,4,5,1,2021,2,0.9
59550,Salomé,59,3051,True,0,0,0,0,0,2,1,0,0,1999,0,0.2
59551,Saméon,59,1738,False,0,0,0,1,0,4,2,1,1,2024,1,0.5
59553,Santes,59,5660,True,1,0,0,1,1,5,3,1,0,2001,2,0.7
59557,Saultain,59,2553,False,1,0,0,0,1,8,6,1,1,2023,1,1.4
59559,Sebourg,59,1977,False,1,0,0,1,0,8,7,0,2,2018,2,1.6
59560,Seclin,59,12834,True,1,0,0,1,0,12,10,1,1,2016,2,2.3
59566,Sequedin,59,4762,True,1,0,0,1,1,5,3,1,0,2023,2,0.7
59569,Sin-le-Noble,59,15603,False,1,0,1,1,1,8,7,0,1,2017,3,1.6
59574,Somain,59,11790,False,1,0,1,1,0,12,7,4,0,2023,3,1.6
59578,Steenbecque,59,1650,False,1,0,0,1,0,14,9,4,4,2023,2,2.1
59580,Steenvoorde,59,4324,False,1,0,0,1,0,23,13,9,3,2023,2,3.0
59581,Steenwerck,59,3540,False,1,0,0,1,0,20,12,7,6,2024,2,2.8
59585,Templemars,59,3635,True,1,0,0,1,0,5,4,0,1,2015,2,0.9
59586,Templeuve-en-Pévèle,59,6705,False,1,0,0,1,0,15,9,5,1,2023,2,2.1
59592,Thumeries,59,4029,False,0,0,0,1,1,4,1,2,0,2023,1,0.2
59594,Thun-Saint-Amand,59,1110,False,1,0,0,0,0,2,1,0,0,1999,1,0.2
59598,Toufflers,59,3910,True,1,0,0,0,0,4,3,0,1,2024,1,0.7
59599,Tourcoing,59,99011,True,1,0,0,0,0,20,13,5,1,2021,1,3.0
59602,Tressin,59,1395,True,1,0,0,0,0,5,4,0,0,2004,1,0.9
59603,Trith-Saint-Léger,59,6124,False,1,0,0,1,0,10,9,0,1,2011,2,2.1
59588,Téteghem-Coudekerque-Village,59,8384,False,1,0,0,1,0,21,5,15,0,2023,2,1.2
59606,Valenciennes,59,42991,False,1,0,1,1,0,13,9,2,4,2024,3,2.1
59609,Vendeville,59,1546,True,1,0,0,1,0,2,1,0,0,1999,2,0.2
59610,Verchain-Maugré,59,1102,False,1,0,0,1,0,3,2,0,0,2002,2,0.5
59611,Verlinghem,59,2673,True,1,0,0,1,1,8,7,0,2,2023,2,1.6
59615,Vieux-Berquin,59,2649,False,1,0,0,1,0,20,11,8,5,2024,2,2.6
59616,Vieux-Condé,59,10446,False,1,0,1,0,0,6,4,1,0,1999,2,0.9
59009,Villeneuve-d'Ascq,59,62067,True,1,0,0,1,0,16,11,4,0,2024,2,2.6
59622,Villers-en-Cauchies,59,1161,False,1,0,0,1,0,9,4,0,0,2026,2,0.9
59629,Vred,59,1311,False,1,0,0,0,0,4,3,0,0,1999,1,0.7
59630,Wahagnies,59,2605,False,1,0,0,1,0,8,4,3,1,2024,2,0.9
59632,Wallers,59,5598,False,1,0,1,0,0,9,7,1,4,2021,2,1.6
59636,Wambrechies,59,10798,True,1,0,0,1,1,7,6,0,1,2016,2,1.4
59637,Wandignies-Hamage,59,1318,False,1,0,0,0,0,4,3,0,0,1999,1,0.7
59638,Wannehain,59,1331,False,1,0,0,1,0,9,3,5,2,2024,2,0.7
59639,Wargnies-le-Grand,59,1101,False,1,0,0,0,0,10,7,2,0,2023,1,1.6
59641,Warhem,59,2022,False,1,0,0,1,0,11,3,7,1,2023,2,0.7
59646,Wasquehal,59,20836,True,1,0,0,0,0,11,7,3,1,2023,1,1.6
59647,Watten,59,2577,False,1,0,0,1,0,18,7,10,3,2024,2,1.6
59648,Wattignies,59,15531,True,1,0,0,1,0,11,8,2,1,2023,2,1.9
59650,Wattrelos,59,40836,True,1,0,0,0,0,16,11,4,2,2026,1,2.6
59651,Wavrechain-sous-Denain,59,1616,False,1,0,1,0,1,4,3,0,0,1999,2,0.7
59653,Wavrin,59,7773,True,1,0,0,1,0,4,2,1,0,2024,2,0.5
59654,Waziers,59,7354,False,1,0,1,1,1,11,8,2,1,2024,3,1.9
59656,Wervicq-Sud,59,5299,True,1,0,0,1,0,7,4,2,0,2021,2,0.9
59660,Willems,59,2996,True,1,0,0,0,0,4,2,1,1,2024,1,0.5
59662,Winnezeele,59,1300,False,1,0,0,1,0,16,4,11,2,2026,2,0.9
59663,Wormhout,59,5705,False,1,0,0,1,0,24,13,10,6,2023,2,3.0
59185,Écaillon,59,1910,False,0,0,0,1,0,2,1,0,0,1999,1,0.2
62004,Achicourt,62,7938,False,0,0,0,1,0,7,6,0,0,2005,1,1.4
62013,Agny,62,1879,False,0,0,0,1,0,7,6,0,0,2005,1,1.4
62014,Aire-sur-la-Lys,62,9585,False,0,0,0,0,0,21,18,2,7,2024,0,4.2
62019,Aix-Noulette,62,3913,False,0,0,0,1,0,7,4,2,1,2023,1,0.9
62032,Angres,62,4842,False,0,0,1,1,0,5,3,1,1,2023,2,0.7
62033,Annay,62,4517,False,0,0,0,1,1,14,9,0,3,2016,1,2.1
62034,Annequin,62,2145,False,0,0,1,1,0,7,5,1,1,2023,2,1.2
62035,Annezin,62,5813,False,1,1,1,0,0,8,7,0,1,2016,3,1.6
62037,Anzin-Saint-Aubin,62,2806,False,0,0,0,1,0,5,4,0,2,2016,1,0.9
62040,Arques,62,9655,False,0,0,0,0,1,15,10,4,4,2024,0,2.3
62041,Arras,62,42600,False,0,0,0,1,0,16,4,0,1,2025,1,0.9
62042,Athies,62,1059,False,0,0,0,1,1,5,4,0,0,2005,1,0.9
62048,Auchel,62,10062,False,1,1,1,1,0,8,7,0,1,2015,4,1.6
62051,Auchy-les-Mines,62,4623,False,0,0,1,1,0,8,7,0,4,2024,2,1.6
62065,Avion,62,17672,False,0,0,1,1,0,6,5,0,1,2016,2,1.2
62073,Bailleul-Sir-Berthoult,62,1430,False,0,0,0,1,0,2,1,0,0,1999,1,0.2
62083,Barlin,62,7366,False,0,0,1,1,0,11,9,1,3,2021,2,2.1
62099,Beaurains,62,5515,False,0,0,0,1,0,14,4,2,0,2025,1,0.9
62471,Bellinghem,62,1087,False,0,0,0,1,0,6,5,0,3,2023,1,1.2
62126,Beuvry,62,9111,False,0,0,1,1,1,15,10,3,5,2023,2,2.3
62128,Biache-Saint-Vaast,62,4481,False,0,0,0,1,0,2,1,0,0,1999,1,0.2
62132,Billy-Berclau,62,5059,False,0,0,1,1,0,5,3,1,0,1999,2,0.7
62133,Billy-Montigny,62,8117,False,0,0,1,1,0,4,3,0,1,2013,2,0.7
62160,Boulogne-sur-Mer,62,40910,False,1,0,0,1,0,25,15,3,4,2024,2,3.5
62164,Bourlon,62,1140,False,0,0,0,1,0,7,1,5,0,2026,1,0.2
62170,Bouvigny-Boyeffles,62,2371,False,0,0,1,1,0,10,5,4,1,2023,2,1.2
62173,Brebières,62,5169,False,0,0,0,1,0,3,2,0,0,1999,1,0.5
62178,Bruay-la-Buissière,62,21827,False,1,1,1,1,0,11,8,2,2,2023,4,1.9
62181,Bucquoy,62,1480,False,0,0,0,1,0,5,2,0,0,2014,1,0.5
62186,Bully-les-Mines,62,12221,False,0,0,1,1,0,9,7,0,3,2017,2,1.6
62188,Burbure,62,2819,False,1,1,1,1,0,9,7,0,1,2016,4,1.6
62190,Busnes,62,1245,False,1,1,0,0,0,7,4,2,1,2026,2,0.9
62119,Béthune,62,24992,False,0,0,1,1,1,18,14,3,5,2024,2,3.3
62193,Calais,62,67380,False,1,1,0,0,1,9,4,3,2,2023,2,0.9
62194,Calonne-Ricouart,62,5463,False,1,1,1,1,0,12,9,1,4,2023,4,2.1
62195,Calonne-sur-la-Lys,62,1560,False,1,1,0,0,0,14,8,5,3,2026,2,1.9
62200,Cambrin,62,1228,False,0,0,0,1,0,9,4,4,1,2023,1,0.9
62215,Carvin,62,17852,False,0,0,1,1,0,12,6,5,1,2024,2,1.4
62224,Chocques,62,2824,False,1,1,0,0,1,9,8,0,1,2019,2,1.9
62240,Corbehem,62,2266,False,0,0,0,0,0,3,1,1,0,2023,0,0.2
62249,Courcelles-lès-Lens,62,8213,False,0,0,1,1,0,5,2,1,1,2025,2,0.5
